modeling_row,structure_id,smiles,p_activity_median,endpoints,assay_families,sources,document_year,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
130,STR-BF98F65498BABD560D2A,COc1cc2c(cc(C#N)n2CCO)c(C)c1CN1CCC(Nc2ncnc3sc(CC(F)(F)F)cc23)CC1,7.795880017344075,IC50,in_vivo,PubChem,2018.0,STR-BF98F65498BABD560D2A,c1nc(NC2CCN(Cc3ccc4[nH]ccc4c3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
131,STR-BFC54DF7D74405B04BF7,N#Cc1ccc(OCCCN2CCC(C(O)(c3cccc(F)c3)C3CCCC3)CC2)cc1,6.7055337738384075,IC50,in_vivo,PubChem,2016.0,STR-BFC54DF7D74405B04BF7,c1ccc(OCCCN2CCC(C(c3ccccc3)C3CCCC3)CC2)cc1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,test
132,STR-C0C912780560E33EFE90,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCCCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,7.101020178131401,IC50,in_vivo,PubChem,2021.0,STR-C0C912780560E33EFE90,O=S(=O)(c1ccc(N2CC(CN3CCC(C(CN4CCCCC4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
133,STR-C16923E52D20199D1E6F,C=CC(=O)N1C[C@@H]2C[C@H]1CN2S(=O)(=O)c1ccc(N2CC(CN3CCC([C@@](CN4CCC4)(c4cccc(F)c4)[C@H]4CCC[C@@H]4NC(=O)OC)CC3)(OC)C2)cc1,7.292429823902063,IC50,in_vivo,PubChem,2023.0,STR-C16923E52D20199D1E6F,O=S(=O)(c1ccc(N2CC(CN3CCC(C(CN4CCC4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)N1CC2CC1CN2,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
134,STR-C24FEE7237633011F0F2,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,8.309894379144197,IC50,in_vivo,PubChem,2021.0,STR-C24FEE7237633011F0F2,O=S(=O)(c1ccc(N2CC(CN3CCC(C(CN4CCC4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,test
135,STR-C6C7319A2332D2316F26,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)C5)C4)cc3)C2)CC1,8.610924374808178,IC50,in_vivo,PubChem,2021.0,STR-C6C7319A2332D2316F26,O=C(C=CCN1CCC1)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC(C(CN5CCC5)(c5ccccc5)C5CCCC5)CC4)C3)cc2)C1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,test
136,STR-C92E86A48527711BF43C,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCC1CCN(S(N)(=O)=O)CC1,7.42021640338319,IC50,in_vivo,PubChem,2020.0,STR-C92E86A48527711BF43C,c1nc(NC2CCN(Cc3ccc4c(ccn4CCC4CCNCC4)c3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
137,STR-C97629399879B58050D4,CN(C)CCOc1ccc2ncnc(NC3CCN(CC4CN(c5ccc(S(=O)(=O)C6CC6)cc5)C4)CC3)c2n1,6.522878745280337,IC50,in_vivo,PubChem,2023.0,STR-C97629399879B58050D4,O=S(=O)(c1ccc(N2CC(CN3CCC(Nc4ncnc5cccnc45)CC3)C2)cc1)C1CC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,test
138,STR-CC119FD289E2F37C242E,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1,8.49148333035061,IC50,in_vivo,PubChem,2021.0,STR-CC119FD289E2F37C242E,O=C(C=CCN1CCCCC1)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC(C(CN5CCC5)(c5ccccc5)C5CCCC5)CC4)C3)cc2)C1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
139,STR-CC5B3077D44A183298E0,CC(=O)N1CCC(CCn2c(C#N)cc3c(C)c(CN4CCC(Nc5ncnc6sc(CC(F)(F)F)cc56)CC4)ccc32)CC1,6.886056647693163,IC50,in_vivo,PubChem,2020.0,STR-CC5B3077D44A183298E0,c1nc(NC2CCN(Cc3ccc4c(ccn4CCC4CCNCC4)c3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
