layer,evidence_domain,endpoint,document_decade,evidence_stage,development_stage,rows
source,pk_adme,Efflux ratio,2020s,<missing>,unknown,30
source,pk_adme,Efflux ratio plus inhibitor,2020s,<missing>,unknown,30
source,pk_adme,Emax,1990s,<missing>,unknown,5
source,pk_adme,Emax,2000s,<missing>,unknown,1
source,pk_adme,Emax,2010s,<missing>,unknown,50
source,pk_adme,Emax,2020s,<missing>,unknown,12
source,pk_adme,Enantiomeric composition,1990s,<missing>,unknown,8
source,pk_adme,Enhancement,1980s,<missing>,unknown,12
source,pk_adme,Extraction ratio,2000s,<missing>,unknown,2
source,pk_adme,F,1970s,<missing>,unknown,5
source,pk_adme,F,1980s,<missing>,unknown,121
source,pk_adme,F,1990s,<missing>,unknown,1084
source,pk_adme,F,1990s,preclinical_in_vivo,unknown,10
source,pk_adme,F,2000s,<missing>,unknown,8539
source,pk_adme,F,2000s,preclinical_in_vivo,unknown,6
source,pk_adme,F,2010s,<missing>,unknown,14510
source,pk_adme,F,2020s,<missing>,unknown,8215
source,pk_adme,F,<missing_or_invalid>,<missing>,unknown,37
source,pk_adme,F/dose,2010s,<missing>,unknown,9
source,pk_adme,FC,2000s,<missing>,unknown,47
source,pk_adme,FC,2010s,<missing>,unknown,656
source,pk_adme,FC,2010s,preclinical_ex_vivo,unknown,3
source,pk_adme,FC,2020s,<missing>,unknown,343
source,pk_adme,F_fraction,2010s,<missing>,unknown,308
source,pk_adme,Fa,2020s,<missing>,unknown,22
source,pk_adme,Fabs,2010s,<missing>,unknown,4
source,pk_adme,Fabs,2020s,<missing>,unknown,5
source,pk_adme,Fapp,2000s,<missing>,unknown,2
source,pk_adme,Fapp,2010s,<missing>,unknown,18
source,pk_adme,Fapp,2020s,<missing>,unknown,2
source,pk_adme,Fez,2000s,<missing>,unknown,1
source,pk_adme,Fg,2010s,<missing>,unknown,8
source,pk_adme,Fg,2020s,<missing>,unknown,2
source,pk_adme,Fh,2000s,<missing>,unknown,8
source,pk_adme,Fh,2010s,<missing>,unknown,1
source,pk_adme,Flu intensity,2010s,<missing>,unknown,4
source,pk_adme,Flu intensity,2020s,<missing>,unknown,7
source,pk_adme,Fluorescence,2000s,<missing>,unknown,6
source,pk_adme,Fm,2010s,<missing>,unknown,43
source,pk_adme,Fm,2020s,<missing>,unknown,8
source,pk_adme,Fmax,2010s,<missing>,unknown,106
source,pk_adme,Fmax,2020s,<missing>,unknown,92
source,pk_adme,Fmean,2000s,<missing>,unknown,1
source,pk_adme,Formation,2000s,<missing>,unknown,34
source,pk_adme,Formation of NO2-,1990s,<missing>,unknown,36
source,pk_adme,Formation of NO3-,1990s,<missing>,unknown,4
source,pk_adme,Formation of compound,1990s,<missing>,unknown,4
source,pk_adme,Fos,2000s,<missing>,unknown,2
source,pk_adme,Free,2000s,<missing>,unknown,18
source,pk_adme,Free,2020s,<missing>,unknown,89
source,pk_adme,Fu,1970s,<missing>,unknown,22
source,pk_adme,Fu,1980s,<missing>,unknown,28
source,pk_adme,Fu,1990s,<missing>,unknown,10
source,pk_adme,Fu,2000s,<missing>,unknown,1381
source,pk_adme,Fu,2010s,<missing>,unknown,8228
source,pk_adme,Fu,2010s,preclinical_in_vitro,unknown,7
source,pk_adme,Fu,2010s,preclinical_in_vivo,unknown,1
source,pk_adme,Fu,2020s,<missing>,unknown,4818
source,pk_adme,Fu,2020s,preclinical_ex_vivo,unknown,20
source,pk_adme,Fu,<missing_or_invalid>,<missing>,unknown,7
source,pk_adme,GI,1970s,<missing>,unknown,1
source,pk_adme,GI tolerance,1990s,<missing>,unknown,1
source,pk_adme,GI50,2000s,<missing>,unknown,7
source,pk_adme,GI50,2010s,<missing>,unknown,34
source,pk_adme,GT rate,1990s,<missing>,unknown,38
source,pk_adme,Glucuronidation,2000s,<missing>,unknown,9
source,pk_adme,Glucuronidation rate,1990s,<missing>,unknown,10
source,pk_adme,HEPG2TOX ASSAY - CC50,2010s,<missing>,unknown,19978
source,pk_adme,HEPG2TOX ASSAY - CC90,2010s,<missing>,unknown,19978
source,pk_adme,HMGR activity,1990s,<missing>,unknown,10
source,pk_adme,Hepatic Extraction ratio,2000s,<missing>,unknown,45
source,pk_adme,Hepatocyte stability,2000s,<missing>,unknown,6
source,pk_adme,Hill coefficient,2000s,<missing>,unknown,4
source,pk_adme,IC,1990s,<missing>,unknown,32
source,pk_adme,IC50,1970s,<missing>,unknown,156
source,pk_adme,IC50,1980s,<missing>,unknown,344
source,pk_adme,IC50,1990s,<missing>,unknown,3538
source,pk_adme,IC50,1990s,preclinical_in_vitro,unknown,52
source,pk_adme,IC50,2000s,<missing>,unknown,4073
source,pk_adme,IC50,2000s,preclinical_in_vitro,unknown,156
source,pk_adme,IC50,2010s,<missing>,unknown,19531
source,pk_adme,IC50,2010s,preclinical_in_vitro,unknown,6099
source,pk_adme,IC50,2020s,<missing>,unknown,7454
source,pk_adme,IC50,2020s,preclinical_in_vitro,unknown,3838
source,pk_adme,IC50,2020s,preclinical_in_vivo,unknown,34
source,pk_adme,IC50,<missing_or_invalid>,<missing>,unknown,2044
source,pk_adme,IC50,<missing_or_invalid>,preclinical_in_vitro,unknown,231
source,pk_adme,IC80,2020s,<missing>,unknown,1
source,pk_adme,IC90,2000s,<missing>,unknown,29
source,pk_adme,IC90,2010s,<missing>,unknown,1
source,pk_adme,ID50,1970s,<missing>,unknown,15
source,pk_adme,ID50,1980s,<missing>,unknown,20
source,pk_adme,ID50,1990s,<missing>,unknown,3
source,pk_adme,ID50,1990s,preclinical_in_vivo,unknown,1
source,pk_adme,INH,2000s,<missing>,unknown,24
source,pk_adme,INH,2010s,<missing>,unknown,112
source,pk_adme,INH,2020s,<missing>,unknown,66
source,pk_adme,INH,2020s,preclinical_in_vitro,unknown,6
source,pk_adme,IP,2000s,<missing>,unknown,1
source,pk_adme,IZ,2000s,<missing>,unknown,2
source,pk_adme,Imax,2010s,<missing>,unknown,11
source,pk_adme,Inflection point,2000s,<missing>,unknown,3
source,pk_adme,Inhibition,1970s,<missing>,unknown,75
source,pk_adme,Inhibition,1980s,<missing>,unknown,205
source,pk_adme,Inhibition,1990s,<missing>,unknown,1122
source,pk_adme,Inhibition,1990s,preclinical_ex_vivo,unknown,54
source,pk_adme,Inhibition,1990s,preclinical_in_vivo,unknown,5
source,pk_adme,Inhibition,2000s,<missing>,unknown,1542
source,pk_adme,Inhibition,2000s,preclinical_in_vitro,unknown,125
source,pk_adme,Inhibition,2000s,preclinical_in_vivo,unknown,16
source,pk_adme,Inhibition,2010s,<missing>,unknown,8030
source,pk_adme,Inhibition,2010s,preclinical_in_vitro,unknown,624
source,pk_adme,Inhibition,2010s,preclinical_in_vivo,unknown,20
source,pk_adme,Inhibition,2020s,<missing>,unknown,1897
source,pk_adme,Inhibition,2020s,preclinical_in_vitro,unknown,61
source,pk_adme,Inhibition,<missing_or_invalid>,<missing>,unknown,7
source,pk_adme,Inhibition,<missing_or_invalid>,preclinical_in_vitro,unknown,38
source,pk_adme,Intact,2000s,<missing>,unknown,3
source,pk_adme,Iron mobilization,1990s,preclinical_in_vivo,unknown,10
source,pk_adme,Jss,2010s,<missing>,unknown,7
source,pk_adme,Jss,2020s,<missing>,unknown,3
source,pk_adme,K,2010s,<missing>,unknown,73
source,pk_adme,K,2020s,<missing>,unknown,45
source,pk_adme,"K(p,uu,brain)",2010s,<missing>,unknown,6
source,pk_adme,"K(p,uu,brain)",2020s,<missing>,unknown,14
source,pk_adme,KA,2000s,<missing>,unknown,70
source,pk_adme,Ka,1990s,<missing>,unknown,37
source,pk_adme,Ka,2010s,<missing>,unknown,4
source,pk_adme,Kcat/Km,2020s,<missing>,unknown,2
source,pk_adme,Kd,1990s,<missing>,unknown,38
source,pk_adme,Kd,2010s,<missing>,unknown,4
source,pk_adme,Kd,2010s,preclinical_in_vitro,unknown,7
source,pk_adme,Kdiss,2020s,<missing>,unknown,1
source,pk_adme,Ke,2000s,<missing>,unknown,25
source,pk_adme,Kel,2010s,<missing>,unknown,15
source,pk_adme,Kel,2020s,<missing>,unknown,39
source,pk_adme,Ki,1970s,<missing>,unknown,5
source,pk_adme,Ki,1980s,<missing>,unknown,25
source,pk_adme,Ki,1990s,<missing>,unknown,607
source,pk_adme,Ki,2000s,<missing>,unknown,839
source,pk_adme,Ki,2000s,preclinical_in_vitro,unknown,10
source,pk_adme,Ki,2010s,<missing>,unknown,497
source,pk_adme,Ki,2010s,preclinical_in_vitro,unknown,85
source,pk_adme,Ki,2020s,<missing>,unknown,57
source,pk_adme,Ki,2020s,preclinical_in_vitro,unknown,3
source,pk_adme,Ki,2020s,preclinical_in_vivo,unknown,92
source,pk_adme,Kin,1990s,<missing>,unknown,17
source,pk_adme,Kin,2000s,<missing>,unknown,6
source,pk_adme,Kin x,2000s,<missing>,unknown,2
source,pk_adme,Kin x10e3,2000s,<missing>,unknown,32
source,pk_adme,KinX,1990s,<missing>,unknown,1
source,pk_adme,Kinact,2000s,<missing>,unknown,17
source,pk_adme,Kinact,2010s,<missing>,unknown,48
source,pk_adme,Kinact,2010s,preclinical_in_vitro,unknown,3
source,pk_adme,Kinact,2020s,<missing>,unknown,8
source,pk_adme,Kis,2010s,<missing>,unknown,1
source,pk_adme,Km,1970s,<missing>,unknown,6
source,pk_adme,Km,1980s,<missing>,unknown,68
source,pk_adme,Km,1990s,<missing>,unknown,11
source,pk_adme,Km,2000s,<missing>,unknown,26
source,pk_adme,Km,2010s,<missing>,unknown,299
source,pk_adme,Km,2010s,preclinical_in_vitro,unknown,3
source,pk_adme,Km,2020s,<missing>,unknown,7
source,pk_adme,Km,<missing_or_invalid>,<missing>,unknown,10
source,pk_adme,Km x10e3,2000s,<missing>,unknown,10
source,pk_adme,Km(unbound),2010s,<missing>,unknown,4
source,pk_adme,KmH,2010s,<missing>,unknown,10
source,pk_adme,KmL,2010s,<missing>,unknown,10
source,pk_adme,Kp,2000s,<missing>,unknown,10
source,pk_adme,Kp,2010s,<missing>,unknown,227
source,pk_adme,Kp,2020s,<missing>,unknown,196
source,pk_adme,Ks,1980s,<missing>,unknown,14
source,pk_adme,Ks,2010s,preclinical_in_vitro,unknown,8
source,pk_adme,Ks,2020s,<missing>,unknown,14
source,pk_adme,LBF,2020s,<missing>,unknown,88
source,pk_adme,LC20,2020s,<missing>,unknown,21
source,pk_adme,LC50,2000s,<missing>,unknown,18
source,pk_adme,LC50,2010s,<missing>,unknown,7
source,pk_adme,LC50,2020s,<missing>,unknown,2
source,pk_adme,LM,2000s,<missing>,unknown,46
source,pk_adme,LUCIFERASE EXPRESSION CONTROL - IC50,2010s,<missing>,unknown,19978
source,pk_adme,LUCIFERASE EXPRESSION CONTROL - IC90,2010s,<missing>,unknown,19978
source,pk_adme,LUCIFERASE INFECTION ASSAY - IC50,2010s,<missing>,unknown,19978
source,pk_adme,LUCIFERASE INFECTION ASSAY - IC90,2010s,<missing>,unknown,19978
source,pk_adme,LambdaZ,2020s,<missing>,unknown,6
source,pk_adme,Log 1/Km,2000s,<missing>,unknown,58
source,pk_adme,Log BB,1990s,<missing>,unknown,2
source,pk_adme,Log ESA,2000s,<missing>,unknown,51
source,pk_adme,Log Pe,2000s,<missing>,unknown,69
source,pk_adme,"Log Pe,max",2000s,<missing>,unknown,17
source,pk_adme,Log Po,2000s,<missing>,unknown,17
source,pk_adme,Log k,1980s,<missing>,unknown,11
source,pk_adme,LogD,1970s,<missing>,unknown,76
source,pk_adme,LogD,1980s,<missing>,unknown,850
source,pk_adme,LogD,1990s,<missing>,unknown,1570
source,pk_adme,LogD,2000s,<missing>,unknown,3619
source,pk_adme,LogD,2010s,<missing>,unknown,14820
source,pk_adme,LogD,2020s,<missing>,unknown,10238
source,pk_adme,LogD,<missing_or_invalid>,<missing>,unknown,707
source,pk_adme,LogP,1970s,<missing>,unknown,1098
source,pk_adme,LogP,1980s,<missing>,unknown,2208
source,pk_adme,LogP,1990s,<missing>,unknown,2824
source,pk_adme,LogP,2000s,<missing>,unknown,5111
source,pk_adme,LogP,2010s,<missing>,unknown,7222
source,pk_adme,LogP,2020s,<missing>,unknown,2060
source,pk_adme,LogP,<missing_or_invalid>,<missing>,unknown,148
source,pk_adme,LogP app,2000s,<missing>,unknown,214
source,pk_adme,Logit bioavailability,1990s,<missing>,unknown,12
source,pk_adme,MED,2020s,<missing>,unknown,2
source,pk_adme,MET,2000s,<missing>,unknown,26
source,pk_adme,MF,2000s,<missing>,unknown,35
source,pk_adme,MIC,1970s,<missing>,unknown,6
source,pk_adme,MIC,1990s,<missing>,unknown,201
source,pk_adme,MIC,2000s,<missing>,unknown,130
source,pk_adme,MIC,2010s,<missing>,unknown,155
source,pk_adme,MIC,2020s,<missing>,unknown,118
source,pk_adme,Max response,2000s,<missing>,unknown,4
source,pk_adme,Mean,1990s,<missing>,unknown,4
source,pk_adme,Mean response,1980s,<missing>,unknown,8
source,pk_adme,Mem Rec,<missing_or_invalid>,<missing>,unknown,2
source,pk_adme,Metabolic rate,2000s,<missing>,unknown,2
source,pk_adme,Metabolic stability,1990s,<missing>,unknown,31
source,pk_adme,Metabolic stability,2000s,<missing>,unknown,84
source,pk_adme,Metabolic turnover,1990s,<missing>,unknown,18
source,pk_adme,Metabolism,1990s,<missing>,unknown,61
source,pk_adme,Metabolism,2000s,<missing>,unknown,169
source,pk_adme,Metabolite levels,1980s,<missing>,unknown,30
source,pk_adme,Microsomal stability,2000s,<missing>,unknown,8
source,pk_adme,NA,2000s,<missing>,unknown,2
source,pk_adme,NADPH oxidation,1980s,<missing>,unknown,4
source,pk_adme,ND,2000s,<missing>,unknown,2
source,pk_adme,NOAEL,2010s,<missing>,unknown,3
source,pk_adme,NOAEL,2020s,<missing>,unknown,14
source,pk_adme,NOEC,2000s,<missing>,unknown,27
source,pk_adme,NOL,2000s,<missing>,unknown,2
source,pk_adme,NT,1990s,<missing>,unknown,1
source,pk_adme,NT,2000s,<missing>,unknown,15
source,pk_adme,Net grain counts,1990s,<missing>,unknown,14
source,pk_adme,O2 consumption,1980s,<missing>,unknown,10
source,pk_adme,OD,2020s,<missing>,unknown,20
source,pk_adme,OSAV,1990s,<missing>,unknown,12
source,pk_adme,Observed at,2000s,<missing>,unknown,12
source,pk_adme,Oral activity,2000s,<missing>,unknown,1
source,pk_adme,Oxidation,2000s,<missing>,unknown,1
source,pk_adme,P,2000s,<missing>,unknown,78
source,pk_adme,PB,2000s,<missing>,unknown,2
source,pk_adme,PB,2010s,<missing>,unknown,64
source,pk_adme,PB,2020s,<missing>,unknown,12
source,pk_adme,PCaco-2,2000s,<missing>,unknown,1
source,pk_adme,PDR,2000s,<missing>,unknown,9
source,pk_adme,PPB,1970s,<missing>,unknown,8
source,pk_adme,PPB,1990s,<missing>,unknown,79
source,pk_adme,PPB,1990s,preclinical_in_vivo,unknown,5
source,pk_adme,PPB,2000s,<missing>,unknown,1256
source,pk_adme,PPB,2010s,<missing>,unknown,6350
source,pk_adme,PPB,2010s,preclinical_in_vitro,unknown,6
source,pk_adme,PPB,2010s,preclinical_in_vivo,unknown,6
source,pk_adme,PPB,2020s,<missing>,unknown,4106
source,pk_adme,PPB,<missing_or_invalid>,<missing>,unknown,2904
source,pk_adme,Papp,1980s,<missing>,unknown,14
source,pk_adme,Papp,1990s,<missing>,unknown,40
source,pk_adme,Papp,2000s,<missing>,unknown,2522
source,pk_adme,Papp,2000s,preclinical_in_vitro,unknown,8
source,pk_adme,Papp,2010s,<missing>,unknown,10919
source,pk_adme,Papp,2010s,preclinical_in_vitro,unknown,2
source,pk_adme,Papp,2020s,<missing>,unknown,7264
source,pk_adme,Papp,<missing_or_invalid>,<missing>,unknown,27
source,pk_adme,Papp A to B (mean),2020s,<missing>,unknown,274
source,pk_adme,Papp A to B plus inhibitor (mean),2020s,<missing>,unknown,30
source,pk_adme,Papp B to A (mean),2020s,<missing>,unknown,94
source,pk_adme,Papp B to A plus inhibitor (mean),2020s,<missing>,unknown,30
source,pk_adme,Papp e-6,2000s,<missing>,unknown,8
source,pk_adme,Papps,2000s,<missing>,unknown,7
source,pk_adme,Pc,1980s,<missing>,unknown,25
source,pk_adme,Pc,1990s,<missing>,unknown,9
source,pk_adme,Pc,1990s,preclinical_in_vitro,unknown,5
source,pk_adme,Pc,2000s,<missing>,unknown,71
source,pk_adme,Pcaco2,2000s,<missing>,unknown,14
source,pk_adme,Pe,1990s,<missing>,unknown,11
source,pk_adme,Peff,1990s,<missing>,unknown,31
source,pk_adme,Peff,2010s,<missing>,unknown,1796
source,pk_adme,Peff,2020s,<missing>,unknown,636
source,pk_adme,Percent remaining,2000s,<missing>,unknown,4
source,pk_adme,Permeability,1980s,<missing>,unknown,20
source,pk_adme,Permeability,1990s,<missing>,unknown,16
source,pk_adme,Permeability,2000s,<missing>,unknown,119
source,pk_adme,Permeability,2000s,preclinical_in_vitro,unknown,22
source,pk_adme,Permeability,<missing_or_invalid>,<missing>,unknown,400
source,pk_adme,Permeability coefficient,1980s,<missing>,unknown,6
source,pk_adme,Permeability coefficient,1990s,<missing>,unknown,8
source,pk_adme,Permeability coefficient,2000s,<missing>,unknown,17
source,pk_adme,Permeability index,1990s,<missing>,unknown,2
source,pk_adme,Permeability limited,2000s,<missing>,unknown,1
source,pk_adme,Permeability rate,2000s,<missing>,unknown,4
source,pk_adme,Phospholipidosis_index,2000s,<missing>,unknown,4
source,pk_adme,Plasma level,1990s,<missing>,unknown,76
source,pk_adme,Pm,2000s,<missing>,unknown,46
source,pk_adme,Pm,2010s,<missing>,unknown,36
source,pk_adme,Pm,2020s,<missing>,unknown,21
source,pk_adme,Potency,<missing_or_invalid>,<missing>,unknown,16203
source,pk_adme,Propioaldehyde generated,1980s,<missing>,unknown,9
source,pk_adme,Pt,2000s,<missing>,unknown,9
source,pk_adme,QH,2000s,<missing>,unknown,11
source,pk_adme,QH,2010s,<missing>,unknown,42
source,pk_adme,QH,2020s,<missing>,unknown,246
source,pk_adme,Quantity,1990s,<missing>,unknown,3
source,pk_adme,R,2000s,<missing>,unknown,8
source,pk_adme,R%,2000s,<missing>,unknown,37
source,pk_adme,R%,2010s,<missing>,unknown,95
source,pk_adme,R%,2020s,<missing>,unknown,108
source,pk_adme,RBA,2000s,<missing>,unknown,6
source,pk_adme,RHA,2000s,<missing>,unknown,37
source,pk_adme,RPF,1980s,<missing>,unknown,40
source,pk_adme,Rate,1980s,<missing>,unknown,28
source,pk_adme,Rate,1990s,<missing>,unknown,9
source,pk_adme,Rate,2000s,<missing>,unknown,2
source,pk_adme,Rate of formation,1990s,<missing>,unknown,26
source,pk_adme,Rate of hydrolysis,1990s,<missing>,unknown,27
source,pk_adme,Rate of metabolism,2000s,<missing>,unknown,1
source,pk_adme,Rate of oxidation,1980s,<missing>,unknown,18
source,pk_adme,Ratio,1980s,<missing>,unknown,31
source,pk_adme,Ratio,1990s,<missing>,unknown,96
source,pk_adme,Ratio,2000s,<missing>,unknown,1181
source,pk_adme,Ratio,2010s,<missing>,unknown,7313
source,pk_adme,Ratio,2010s,preclinical_in_vitro,unknown,27
source,pk_adme,Ratio,2020s,<missing>,unknown,4636
source,pk_adme,Ratio,2020s,preclinical_in_vitro,unknown,33
source,pk_adme,Ratio AUC,1970s,<missing>,unknown,1
source,pk_adme,Ratio AUC,2000s,<missing>,unknown,5
source,pk_adme,Ratio CC50/EC50,2020s,<missing>,unknown,24
source,pk_adme,Ratio CC50/IC50,2000s,<missing>,unknown,7
source,pk_adme,Ratio CC50/IC50,2010s,<missing>,unknown,9
source,pk_adme,Ratio EC50,2010s,<missing>,unknown,10
source,pk_adme,Ratio EC50,2020s,<missing>,unknown,13
source,pk_adme,Ratio IC50,1990s,<missing>,unknown,10
source,pk_adme,Ratio IC50,2000s,<missing>,unknown,166
source,pk_adme,Ratio IC50,2010s,<missing>,unknown,1144
source,pk_adme,Ratio IC50,2010s,preclinical_in_vitro,unknown,272
source,pk_adme,Ratio IC50,2020s,<missing>,unknown,206
source,pk_adme,Ratio IC50,2020s,preclinical_in_vitro,unknown,55
source,pk_adme,Ratio Ki,2000s,<missing>,unknown,6
source,pk_adme,Ratio Ki,2010s,<missing>,unknown,40
source,pk_adme,Ratio Ki,2010s,preclinical_in_vitro,unknown,2
source,pk_adme,Ratio LC50/IC50,2020s,<missing>,unknown,1
source,pk_adme,Ratio LD50/IC50,2010s,preclinical_in_vitro,unknown,1
source,pk_adme,Ratio_Papp,2000s,<missing>,unknown,66
source,pk_adme,Recovered,2020s,<missing>,unknown,89
source,pk_adme,Recovery,1990s,<missing>,unknown,2
source,pk_adme,Recovery,<missing_or_invalid>,<missing>,unknown,26
source,pk_adme,Recovery A to B (mean),2020s,<missing>,unknown,274
source,pk_adme,Recovery A to B plus inhibitor (mean),2020s,<missing>,unknown,30
source,pk_adme,Recovery B to A (mean),2020s,<missing>,unknown,94
source,pk_adme,Recovery B to A plus inhibitor (mean),2020s,<missing>,unknown,30
source,pk_adme,Relative Bioavailability,2000s,<missing>,unknown,16
source,pk_adme,Relative F%,1990s,<missing>,unknown,45
source,pk_adme,Relative Potency,1990s,<missing>,unknown,11
source,pk_adme,Relative activity,2000s,<missing>,unknown,6
source,pk_adme,Relative bioavailability,1990s,<missing>,unknown,13
source,pk_adme,Relative metabolic rate,<missing_or_invalid>,<missing>,unknown,8
source,pk_adme,Relative oncentration,1990s,<missing>,unknown,1
source,pk_adme,Relative permiability,1990s,<missing>,unknown,6
source,pk_adme,Relative peroxidation,1980s,<missing>,unknown,1
source,pk_adme,Relative potency,1980s,<missing>,unknown,30
source,pk_adme,Relative potency,1990s,<missing>,unknown,42
source,pk_adme,Relative potency,2000s,<missing>,unknown,18
source,pk_adme,Relative protection,2000s,<missing>,unknown,19
source,pk_adme,Relative rate metabolism,2000s,<missing>,unknown,11
source,pk_adme,Relative rate of hydrolysis,1990s,<missing>,unknown,41
source,pk_adme,Remaining,2000s,<missing>,unknown,111
source,pk_adme,Remaining,2020s,<missing>,unknown,427
source,pk_adme,Remaining (without cofactor),2020s,<missing>,unknown,427
source,pk_adme,Remaining compound,2000s,<missing>,unknown,15
source,pk_adme,Remaining rate,2000s,<missing>,unknown,18
source,pk_adme,Remaining ratio,2000s,<missing>,unknown,16
source,pk_adme,Retention_index,2020s,<missing>,unknown,1
source,pk_adme,Retention_time,1970s,<missing>,unknown,6
source,pk_adme,Retention_time,2010s,<missing>,unknown,401
source,pk_adme,Retention_time,2010s,preclinical_in_vitro,unknown,10
source,pk_adme,Retention_time,2020s,<missing>,unknown,78
source,pk_adme,Rmax,2000s,<missing>,unknown,3
source,pk_adme,S50,2010s,<missing>,unknown,4
source,pk_adme,SUV,2020s,<missing>,unknown,1
source,pk_adme,SUVmax,2020s,<missing>,unknown,3
source,pk_adme,Selectivity,1990s,<missing>,unknown,9
source,pk_adme,Selectivity Index,2000s,<missing>,unknown,20
source,pk_adme,Selectivity Index,2010s,<missing>,unknown,22
source,pk_adme,Selectivity Index,2020s,<missing>,unknown,199
source,pk_adme,Selectivity ratio,2000s,<missing>,unknown,3
source,pk_adme,Selectivity ratio,2010s,<missing>,unknown,8
source,pk_adme,Selectivity ratio,2020s,<missing>,unknown,14
source,pk_adme,Solubility,1970s,<missing>,unknown,44
source,pk_adme,Solubility,1980s,<missing>,unknown,618
source,pk_adme,Solubility,1990s,<missing>,unknown,1964
source,pk_adme,Solubility,1990s,preclinical_in_vivo,unknown,2
source,pk_adme,Solubility,2000s,<missing>,unknown,6071
source,pk_adme,Solubility,2000s,preclinical_in_vitro,unknown,12
source,pk_adme,Solubility,2010s,<missing>,unknown,31225
source,pk_adme,Solubility,2020s,<missing>,unknown,19758
source,pk_adme,Solubility,<missing_or_invalid>,<missing>,unknown,2499
source,pk_adme,Stability,1970s,<missing>,unknown,6
source,pk_adme,Stability,1990s,<missing>,unknown,3
source,pk_adme,Stability,2000s,<missing>,unknown,3436
source,pk_adme,Stability,2010s,<missing>,unknown,20488
source,pk_adme,Stability,2010s,preclinical_in_vitro,unknown,5
source,pk_adme,Stability,2020s,<missing>,unknown,11346
source,pk_adme,Stability,2020s,preclinical_in_vitro,unknown,60
source,pk_adme,Stabilty,2010s,<missing>,unknown,6
source,pk_adme,Stabilty,2020s,<missing>,unknown,177
source,pk_adme,Stimulation,1990s,<missing>,unknown,1
source,pk_adme,Substrate metabolized at 1hr,1990s,<missing>,unknown,4
source,pk_adme,Survival,1970s,<missing>,unknown,1
source,pk_adme,Survival,2000s,<missing>,unknown,54
source,pk_adme,T,2010s,<missing>,unknown,1
source,pk_adme,T1/2,1970s,<missing>,unknown,271
source,pk_adme,T1/2,1980s,<missing>,unknown,1525
source,pk_adme,T1/2,1980s,preclinical_in_vivo,unknown,14
source,pk_adme,T1/2,1990s,<missing>,unknown,4502
source,pk_adme,T1/2,1990s,preclinical_ex_vivo,unknown,6
source,pk_adme,T1/2,1990s,preclinical_in_vivo,unknown,54
source,pk_adme,T1/2,2000s,<missing>,unknown,16472
source,pk_adme,T1/2,2000s,preclinical_in_vitro,unknown,21
source,pk_adme,T1/2,2000s,preclinical_in_vivo,unknown,94
source,pk_adme,T1/2,2010s,<missing>,unknown,41350
source,pk_adme,T1/2,2010s,preclinical_ex_vivo,unknown,3
source,pk_adme,T1/2,2010s,preclinical_in_vitro,unknown,411
source,pk_adme,T1/2,2010s,preclinical_in_vivo,unknown,2
source,pk_adme,T1/2,2020s,<missing>,unknown,33415
source,pk_adme,T1/2,2020s,preclinical_ex_vivo,unknown,4
source,pk_adme,T1/2,2020s,preclinical_in_vitro,unknown,121
source,pk_adme,T1/2,2020s,preclinical_in_vivo,unknown,3
source,pk_adme,T1/2,<missing_or_invalid>,<missing>,unknown,722
source,pk_adme,T1/29,2000s,<missing>,unknown,11
source,pk_adme,T50,2010s,<missing>,unknown,12
source,pk_adme,TC50,2000s,<missing>,unknown,27
source,pk_adme,TC50,2010s,<missing>,unknown,12
source,pk_adme,TDI,2010s,<missing>,unknown,512
source,pk_adme,TDI,2010s,preclinical_in_vitro,unknown,4
source,pk_adme,TDI,2020s,<missing>,unknown,218
source,pk_adme,TDI,2020s,preclinical_in_vitro,unknown,2
source,pk_adme,TI,2010s,<missing>,unknown,4
source,pk_adme,TIME,2000s,<missing>,unknown,6
source,pk_adme,TIME,2010s,<missing>,unknown,23
source,pk_adme,TIME,2020s,<missing>,unknown,4
source,pk_adme,Tlag,2000s,<missing>,unknown,11
source,pk_adme,Tmax,1970s,<missing>,unknown,6
source,pk_adme,Tmax,1980s,<missing>,unknown,42
source,pk_adme,Tmax,1990s,<missing>,unknown,502
source,pk_adme,Tmax,2000s,<missing>,unknown,2271
source,pk_adme,Tmax,2000s,preclinical_in_vivo,unknown,21
source,pk_adme,Tmax,2010s,<missing>,unknown,6619
source,pk_adme,Tmax,2010s,preclinical_in_vivo,unknown,1
source,pk_adme,Tmax,2020s,<missing>,unknown,5408
source,pk_adme,Tmax,2020s,preclinical_in_vivo,unknown,2
source,pk_adme,Tmax,<missing_or_invalid>,<missing>,unknown,270
source,pk_adme,Turnover,2000s,<missing>,unknown,4
source,pk_adme,Unchanged,1990s,<missing>,unknown,3
source,pk_adme,V0,2020s,<missing>,unknown,10
source,pk_adme,Vc/F,2000s,<missing>,unknown,17
source,pk_adme,Vc/F,2010s,<missing>,unknown,4
source,pk_adme,Vd,1970s,<missing>,unknown,23
source,pk_adme,Vd,1980s,<missing>,unknown,29
source,pk_adme,Vd,1990s,<missing>,unknown,94
source,pk_adme,Vd,2000s,<missing>,unknown,1161
source,pk_adme,Vd,2000s,preclinical_in_vivo,unknown,14
source,pk_adme,Vd,2010s,<missing>,unknown,2275
source,pk_adme,Vd,2010s,preclinical_in_vitro,unknown,1
source,pk_adme,Vd,2020s,<missing>,unknown,1723
