layer,evidence_domain,endpoint,document_decade,evidence_stage,development_stage,rows
source,herg,EC50,2020s,<missing>,unknown,42
source,herg,EC50,2020s,preclinical_in_vitro,unknown,1
source,herg,EC50,<missing_or_invalid>,<missing>,unknown,118
source,herg,ED50,2000s,<missing>,unknown,1
source,herg,Emax,2020s,<missing>,unknown,1
source,herg,FC,2010s,<missing>,unknown,20
source,herg,FC,2020s,<missing>,unknown,4
source,herg,Fold change,2000s,<missing>,unknown,1
source,herg,IC20,2000s,<missing>,unknown,20
source,herg,IC20,2010s,<missing>,unknown,75
source,herg,IC20,2020s,<missing>,unknown,47
source,herg,IC20,2020s,preclinical_in_vitro,unknown,22
source,herg,IC25,2000s,<missing>,unknown,6
source,herg,IC25,2010s,<missing>,unknown,2
source,herg,IC25,2020s,<missing>,unknown,24
source,herg,IC25,<missing_or_invalid>,<missing>,unknown,1
source,herg,IC5,2020s,<missing>,unknown,1
source,herg,IC50,1990s,<missing>,unknown,16
source,herg,IC50,2000s,<missing>,unknown,2497
source,herg,IC50,2000s,preclinical_in_vitro,unknown,101
source,herg,IC50,2000s,preclinical_in_vivo,unknown,1
source,herg,IC50,2010s,<missing>,unknown,8974
source,herg,IC50,2010s,preclinical_in_vitro,unknown,1448
source,herg,IC50,2020s,<missing>,unknown,4269
source,herg,IC50,2020s,preclinical_in_vitro,unknown,845
source,herg,IC50,<missing_or_invalid>,<missing>,unknown,880
source,herg,IC60,2010s,<missing>,unknown,1
source,herg,INH,2000s,<missing>,unknown,14
source,herg,INH,2010s,<missing>,unknown,144
source,herg,INH,2020s,<missing>,unknown,36
source,herg,INH,2020s,preclinical_in_vitro,unknown,3
source,herg,IP,2000s,<missing>,unknown,111
source,herg,IP,2010s,<missing>,unknown,1
source,herg,Imax,2010s,<missing>,unknown,15
source,herg,Imax,2020s,<missing>,unknown,3
source,herg,Inflection point,2000s,<missing>,unknown,13
source,herg,Inhibition,1990s,<missing>,unknown,8
source,herg,Inhibition,2000s,<missing>,unknown,866
source,herg,Inhibition,2000s,preclinical_in_vitro,unknown,4
source,herg,Inhibition,2010s,<missing>,unknown,3797
source,herg,Inhibition,2010s,preclinical_in_vitro,unknown,340
source,herg,Inhibition,2020s,<missing>,unknown,1803
source,herg,Inhibition,2020s,preclinical_in_vitro,unknown,188
source,herg,Inhibition,<missing_or_invalid>,<missing>,unknown,800
source,herg,Inhibition of control,2020s,<missing>,unknown,1
source,herg,Inhibitory activity,<missing_or_invalid>,<missing>,unknown,5
source,herg,K,2010s,<missing>,unknown,92
source,herg,Kd,2010s,<missing>,unknown,46
source,herg,Kd,2020s,<missing>,unknown,1
source,herg,Ki,2000s,<missing>,unknown,736
source,herg,Ki,2000s,preclinical_in_vitro,unknown,4
source,herg,Ki,2010s,<missing>,unknown,1055
source,herg,Ki,2010s,preclinical_in_vitro,unknown,957
source,herg,Ki,2020s,<missing>,unknown,58
source,herg,Ki,2020s,preclinical_in_vitro,unknown,1
source,herg,Ki,<missing_or_invalid>,<missing>,unknown,871
source,herg,Log IC50,2000s,<missing>,unknown,6
