label_range_bin,structures,observations,mae,median_label_range
0-0.25,6079,13209,0.4746055735468786,3.0683722229696286e-10
0.25-0.5,135,458,0.44255516260293726,0.36797678534221934
0.5-1.0,176,625,0.4463970789947344,0.7000004079016016
>1.0,185,876,1.046413779182502,1.9000000025966077
single/identical,12226,12560,0.40236465391337817,0.0
