model,threshold_pic50,threshold_ic50_um,n,positive_n,positive_prevalence,sensitivity,specificity,precision,negative_predictive_value,balanced_accuracy,mcc,roc_auc,pr_auc,tp,tn,fp,fn
V8,4.698970004336019,20.000000000000004,18801,13497,0.7178873464177438,0.9586574794398756,0.3674585218702866,0.7940959862526084,0.7774232149980056,0.663058000655081,0.4317193030011839,0.8376424859957149,0.9234670278930034,12939,1949,3355,558
V8,5.0,10.0,18801,11450,0.609010159034094,0.8054148471615721,0.6782750646170589,0.7958919478726159,0.6911560853895203,0.7418449558893154,0.4853660682830212,0.8253235070652538,0.8756193113324641,9222,4986,2365,2228
V8,6.0,1.0,18801,3135,0.16674644965693314,0.34258373205741627,0.9798927613941019,0.7732181425485961,0.8816333563059958,0.661238246725759,0.45953695725382054,0.8651590488122166,0.6335687596981047,1074,15351,315,2061
V9 honest stack,4.698970004336019,20.000000000000004,18801,13497,0.7178873464177438,0.9477661702600578,0.42948717948717946,0.8086989505626502,0.763660744217231,0.6886266748736186,0.46467689001715645,0.8413685248864309,0.925259376845064,12792,2278,3026,705
V9 honest stack,5.0,10.0,18801,11450,0.609010159034094,0.8022707423580786,0.6857570398585227,0.7990605427974948,0.6900752908966461,0.7440138911083006,0.4885814938374354,0.8295545447578947,0.8783829703763051,9186,5041,2310,2264
V9 honest stack,6.0,1.0,18801,3135,0.16674644965693314,0.43125996810207334,0.9678922507340738,0.7288409703504043,0.8947834297179276,0.6995761094180736,0.49891989638381407,0.870387928550762,0.6464176841618696,1352,15163,503,1783
