operation,block,n,positive_outer_folds,mean,ci95_lower,ci95_upper,probability_positive,sign_flip_p_two_sided,scaffolds,bh_q,discovery_grade_incremental,interpretation
add_omitted,autocorr3d,18801,3,-6.832940648086679e-05,-0.0014935143016488136,0.0014073912451815368,0.4693,0.9294070592940706,8455.0,0.9294070592940706,False,positive means adding the omitted block improved accuracy
add_omitted,energy_flexibility,18801,2,-0.00037010444123446737,-0.001928080459835077,0.0012139749155382381,0.319,0.634936506349365,8455.0,0.7709943291385147,False,positive means adding the omitted block improved accuracy
add_omitted,maccs,7521,2,0.00433170029603348,0.0015849304635618096,0.007079128936857739,0.9987,0.0022997700229977,3382.0,0.005585155770137272,False,positive means adding the omitted block improved accuracy
add_omitted,new3d_stable_misc,18801,3,0.00010594647392145112,-0.0015970854400628929,0.0017352044367681227,0.5488,0.9021097890210978,8455.0,0.9294070592940706,False,positive means adding the omitted block improved accuracy
add_omitted,old3d_stable,18801,0,-0.005151426655090778,-0.007752864205113756,-0.0025696735431346065,0.0,9.999000099990002e-05,8455.0,0.00028330500283305,False,positive means adding the omitted block improved accuracy
add_omitted,polarity_charge_internal_contacts,18801,2,-0.0007175602451413765,-0.0022332799561191057,0.0008118702129765911,0.1787,0.35276472352764726,8455.0,0.5997000299970003,False,positive means adding the omitted block improved accuracy
add_omitted,selected_interactions,18801,4,0.0003091142355335559,-0.0013238106305280403,0.001950985576642459,0.6459,0.7163283671632836,8455.0,0.8118388161183882,False,positive means adding the omitted block improved accuracy
add_omitted,shape,18801,3,-0.00044076604351762786,-0.0020516110539510464,0.001165738522125778,0.2945,0.5875412458754125,8455.0,0.7683231676832316,False,positive means adding the omitted block improved accuracy
add_omitted,whim,15041,2,-0.000595281829696063,-0.0024483360449392786,0.0011768028769817006,0.2637,0.5241475852414759,6764.0,0.7683231676832316,False,positive means adding the omitted block improved accuracy
remove_included,maccs,11280,2,0.0019273714445429318,-0.00019887558357419116,0.00407524976975537,0.9621,0.07599240075992401,5073.0,0.16148385161483853,False,positive means the included block added unique accuracy
remove_included,morgan,18801,4,0.006548613187626323,0.003052507454426362,0.010064079077797978,0.9999,9.999000099990002e-05,8455.0,0.00028330500283305,True,positive means the included block added unique accuracy
remove_included,rdkit2d,18801,5,0.024971189642511767,0.020443210256079935,0.029461432554991118,1.0,9.999000099990002e-05,8455.0,0.00028330500283305,True,positive means the included block added unique accuracy
remove_included,whim,3760,0,-0.0011074133039358546,-0.004769943267237943,0.0025834117666364534,0.2829,0.5606439356064393,1691.0,0.7683231676832316,False,positive means the included block added unique accuracy
