domain,extrapolation_or_abstention_flag,n,mae,rmse,median_absolute_error,within_0p5,within_1p0,p95_absolute_error
unflagged in-domain,False,13207,0.3790425562093385,0.560411599078867,0.26974692097702224,0.7505110926024078,0.9441205421367457,1.0447399448030923
flagged extrapolation,True,5594,0.5595852489243717,0.7727900614833967,0.41889061474494405,0.5752592062924562,0.8555595280657847,1.5700358902592537
