objective,mae,balanced_potency_bin_mae,tail_mae,within_0p5,within_1p0,safety_minus_accuracy_global_mae,safety_minus_accuracy_ci95_lower,safety_minus_accuracy_ci95_upper
accuracy-selected,0.444694525448158,0.7895869161413043,1.425104964312409,0.6871974894952396,0.9117600127652784,0.011004531959321495,0.008114225894470386,0.01391810022574879
safety/tail-selected,0.4556990574074795,0.7675452301377848,1.35400761486128,0.6758683048774001,0.9069198446891122,0.011004531959321495,0.008114225894470386,0.01391810022574879
