model,coverage_scope,n,mae,rmse,median_absolute_error,within_0p5,within_1p0,p95_absolute_error,covered_fraction_all_structures
XGBoost anchor,MMP-covered structures,7847,0.400012633862298,0.5820239379888685,0.27602710445678724,0.7225691347011597,0.9255766534981522,1.1867213286473635,0.41737141641402054
MMP analog-assisted,MMP-covered structures,7847,0.3806144781791365,0.5648439421525189,0.2588211875095645,0.7504778896393526,0.935389320759526,1.1222085799091168,0.41737141641402054
V9 honest stack,MMP-covered structures,7847,0.38046739321251866,0.5591673623472785,0.26017874946318553,0.7425767809353894,0.9373008793169364,1.1109966324906817,0.41737141641402054
