model,prediction_column,n,mae,rmse,median_absolute_error,within_0p5,within_1p0,p95_absolute_error
V9 honest nested stack,pred__honest_stack,18801,0.432760753275872,0.6311155816239613,0.306322218785791,0.6983671081325461,0.9177703313653529,1.2279247406137186
V9 deployable XGBoost,pred__xgb_depth10,18801,0.43697052363644007,0.6395214263334966,0.3062011576333816,0.6923567895324717,0.9148449550555822,1.255789003383498
V9 MMP-assisted,pred__mmp_analog_assisted,18801,0.43828347146415153,0.6422705851389547,0.3065195083618164,0.6973033349289931,0.916546992181267,1.2412838538280369
V8 broad baseline,pred__v8,18801,0.44413496774211364,0.6456139183102291,0.3135915984472657,0.6903356204457209,0.9112281261635019,1.2682392165769043
V9 selective physics,pred__xgb_selective_physics,18801,0.44604926749103296,0.6486599478475099,0.3165634440129397,0.6853890750491995,0.9111217488431467,1.2690935134887695
V2 XGBoost anchor,pred__xgb_v2_anchor,18801,0.44637970717745223,0.648640926041033,0.31657327969677773,0.6856550183500878,0.9124514653475879,1.263507566463332
