challenger,reference,delta_mae,ci95_lower,ci95_upper,replicates,scaffolds,analysis_id,n
pred__honest_stack,pred__v8,-0.01137421446624167,-0.01410418537210299,-0.00864120345377412,10000,8455,all,18801
pred__honest_stack,pred__v8,-0.011215449596377422,-0.017660009875029928,-0.0049473963773709675,10000,1940,mw_ge_500,3934
pred__honest_stack,pred__v8,0.01904970664678967,-0.014560383277933095,0.044948886289681425,10000,125,mw_ge_700,218
pred__honest_stack,pred__v8,-0.11421713390210075,-0.13578499042133937,-0.09146726269249254,10000,211,potency_lt_4,339
pred__honest_stack,pred__v8,-0.08578269705050712,-0.09849636416056784,-0.07388205545911525,10000,1589,potency_ge_6,3135
pred__honest_stack,pred__v8,0.0027784711463406243,-0.0014252722002276901,0.007019885269504807,10000,2551,similarity_lt_0p5,4249
pred__honest_stack,pred__v8,-0.020517928577084236,-0.027761771137322457,-0.013490302315344324,10000,1573,mmp_cliff_members,3790
