challenger,reference,delta_mae,ci95_lower,ci95_upper,replicates,scaffolds
pred__honest_stack,pred__v8,-0.01137421446624167,-0.01410418537210299,-0.00864120345377412,10000,8455
pred__honest_stack,pred__xgb_v2_anchor,-0.013618953901580265,-0.016510097758554925,-0.010728886328300467,10000,8455
pred__honest_stack,pred__xgb_depth10,-0.004209770360568155,-0.006559539453025455,-0.001924568000699057,10000,8455
