retained_fraction,abstained_fraction,maximum_interval90_half_width,n,mae,rmse,median_absolute_error,within_0p5,within_1p0,p95_absolute_error
0.5,0.5,0.9780001955240021,9400,0.4330625061328742,0.6378613103785916,0.3035500817283481,0.7021276595744681,0.9182978723404255,1.240923713921317
0.6,0.4,0.9780001955240021,11281,0.4308298254327366,0.6294902090075489,0.30351655853738,0.7020654197322932,0.9188901693112312,1.2274994309536051
0.7,0.30000000000000004,0.9880827452834966,13161,0.4295463792384608,0.6261070762127637,0.30543246573543925,0.702682167008586,0.9202188283565078,1.2087133909969348
0.8,0.19999999999999996,0.9880827452834966,15041,0.4311796766665298,0.6256689694528026,0.30794291886613134,0.6996875207765441,0.9195532211953993,1.2126225934433759
0.9,0.09999999999999998,0.9905061418310943,16921,0.4309875899438391,0.6274605880271542,0.30599175713024884,0.6998404349624726,0.9190946161574375,1.2208188988909585
1.0,0.0,0.9905061418310943,18801,0.432760753275872,0.6311155816239613,0.306322218785791,0.6983671081325461,0.9177703313653529,1.2279247406137186
