mean_predicted_probability,observed_positive_fraction
0.11827034096125168,0.6470588235294118
0.30147496176823596,0.82
0.5122739293434704,0.82
0.6912711590364106,0.72
0.8126022755457456,0.8627450980392157
0.88842824884456,0.76
0.9350792617353835,0.9
0.9661399209864314,0.94
0.9881993280803474,0.82
0.9990095849399347,0.9803921568627451
