modeling_row,structure_id,smiles,p_activity_median,endpoints,assay_families,sources,document_year,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
411,STR-78D6D64DD53A6832B414,CN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(C)(=O)=O)cc4)C3)CC2)C1,7.214670164989233,IC50,biochemical_inhibition,BindingDB,,STR-78D6D64DD53A6832B414,c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
412,STR-78E8321E984DFAA6EEF2,CS(=O)(=O)c1ccc(N2CC(CN3CCC(C(C#N)(c4ccccc4)[C@H]4CCC[C@H]4S(C)(=O)=O)CC3)C2)cc1,4.6252516539898965,IC50,biochemical_inhibition,BindingDB,,STR-78E8321E984DFAA6EEF2,c1ccc(C(C2CCCC2)C2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
413,STR-79AE077C5280C92A481E,COCC[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccnc(C)c4)cc3)C2)CC1,4.58838029403677,IC50,biochemical_inhibition,BindingDB,,STR-79AE077C5280C92A481E,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
414,STR-79D75B6A88F0457FA1C2,CCC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,8.0,IC50,biochemical_inhibition,BindingDB,,STR-79D75B6A88F0457FA1C2,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
415,STR-7A2E8FB7325B12C5539B,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C(F)(F)F)cc3)C2)CC1,6.2958494831602,IC50,biochemical_inhibition,BindingDB,,STR-7A2E8FB7325B12C5539B,c1ccc(C(C2CCCC2)C2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
416,STR-7A321275AB46AC4BC765,C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(F)(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,8.698970004336019,IC50,biochemical_inhibition,BindingDB,,STR-7A321275AB46AC4BC765,O=S(=O)(c1ccc(N2CC(CN3CCC(C(Cn4ccnc4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
417,STR-7A6579C0FCDE81940F28,N#Cc1ccc(OCCCN2CCC(C3(C4CCCS4(=O)=O)NCCc4ccccc43)CC2)cc1,4.97061622231479,IC50,biochemical_inhibition,BindingDB,,STR-7A6579C0FCDE81940F28,O=S1(=O)CCCC1C1(C2CCN(CCCOc3ccccc3)CC2)NCCc2ccccc21,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
418,STR-7A884766D31A90BA2425,Cc1nccn1CC(c1ccccc1)(C1CCCC1)C1CCN(CCCOc2ccc(C#N)cc2)CC1,6.779891911959945,IC50,biochemical_inhibition,BindingDB,,STR-7A884766D31A90BA2425,c1ccc(OCCCN2CCC(C(Cn3ccnc3)(c3ccccc3)C3CCCC3)CC2)cc1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,test
419,STR-7AD026FDCE816FE46C2A,N#Cc1cc2cc(CCN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)ccc2[nH]1,5.958607314841775,IC50,biochemical_inhibition,BindingDB,,STR-7AD026FDCE816FE46C2A,c1ccc2c(c1)CCNC2(C1CCCC1)C1CCN(CCc2ccc3[nH]ccc3c2)CC1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
420,STR-7B4D282245C89175BEA3,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2(F)CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,8.045757490560675,IC50,biochemical_inhibition,BindingDB,,STR-7B4D282245C89175BEA3,O=S(=O)(c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
421,STR-7B5EB163620F94C0875D,CCS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(CC(C)(C)C)NCCc5ccccc54)CC3)C2)cc1,6.096910013008056,IC50,biochemical_inhibition,BindingDB,,STR-7B5EB163620F94C0875D,c1ccc(N2CC(CN3CCC(C4NCCc5ccccc54)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
