smiles,n_measurements,n_sources,p_activity_median,p_activity_best,value_nm_median,value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM
CNC(=O)O[C@H]1CCC[C@@H]1C(Cn1ccnc1)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,1,1,7.920818753952375,7.920818753952375,12.0,12.0,IC50,ChEMBL,CHEMBL5852741,Menin,2021,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CC3CCC2C3)CC1)c1ccccc1,1,1,7.920818753952375,7.920818753952375,12.0,12.0,IC50,BindingDB,480331,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC5CCC4C5)cc3)C2)CC1,1,1,7.920818753952375,7.920818753952375,12.0,12.0,IC50,ChEMBL,CHEMBL5960140,Menin,2021,high_potency_<=100nM,True,True
CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)C[C@@H](C(=O)C6)COC,1,1,7.889410289700751,7.889410289700751,12.9,12.9,IC50,PubChem,176456298.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True
O=S(=O)(C1CCCC1)c1ccc(cc1)N1CC(CN2CCC(CC2)C2(NCCc3ccccc23)C2CCCC2)C1,3,1,7.886056647693163,8.337242168318426,13.0,4.6,IC50;Ki,BindingDB,50516564,Menin,,high_potency_<=100nM,True,True
O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCC1,3,1,7.886056647693163,8.337242168318426,13.0,4.6,IC50;Ki,ChEMBL,CHEMBL4459554,Menin,2019;2021,high_potency_<=100nM,True,True
CC(=O)N[C@H]1CCC[C@@H]1C(Cn1ccnc1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccccc2)CC1)c1ccccc1,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,BindingDB,480319,Menin,,high_potency_<=100nM,True,True
CC(=O)N[C@H]1CCC[C@@H]1C(Cn1ccnc1)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,ChEMBL,CHEMBL5805666,Menin,2021,high_potency_<=100nM,True,True
CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccccc2)CC1)c1cccc(F)c1,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,BindingDB,480251,Menin,,high_potency_<=100nM,True,True
CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,ChEMBL,CHEMBL5993949,Menin,2021,high_potency_<=100nM,True,True
CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,PubChem,117636565.0,,,high_potency_<=100nM,True,True
CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C=O)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,PubChem,117636602.0,,,high_potency_<=100nM,True,True
CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)S(=O)(=O)C)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,PubChem,118888688.0,,,high_potency_<=100nM,True,True
CN1CCN(CCn2c(cc3c(C)c(CN4CCC(CC4)Nc4ncnc5sc(CC(F)(F)F)cc45)ccc23)C#N)CC1,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,BindingDB,50455862,Menin,,high_potency_<=100nM,True,True
CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)[N+]([O-])=O)CC1)c1ccccc1,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,BindingDB,480323,Menin,,high_potency_<=100nM,True,True
CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc([N+](=O)[O-])cc3)C2)CC1,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,ChEMBL,CHEMBL6022195,Menin,2021,high_potency_<=100nM,True,True
Cc1c(CN2CCC(CC2)Nc2ncnc3sc(CC(F)(F)F)cc23)ccc2n(CCN3CCN(CC3)C=O)c(cc12)C#N,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,BindingDB,50455881,Menin,,high_potency_<=100nM,True,True
Cc1c(CN2CCC(CC2)Nc2ncnc3sc(CC(F)(F)F)cc23)ccc2n(CCN3CCN(CC3)S(C)(=O)=O)c(cc12)C#N,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,BindingDB,50455883,Menin,,high_potency_<=100nM,True,True
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C)CC1,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,ChEMBL,CHEMBL4207527,Menin,2018,high_potency_<=100nM,True,True
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C=O)CC1,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,ChEMBL,CHEMBL4204254,Menin,2018,high_potency_<=100nM,True,True
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(S(C)(=O)=O)CC1,1,1,7.886056647693163,7.886056647693163,13.0,13.0,IC50,ChEMBL,CHEMBL4207749,Menin,2018,high_potency_<=100nM,True,True
N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(N)=N)NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(F)c2)NC1=O,2,1,7.884775539310863,8.167491087293763,15.9,6.8,IC50;Ki,BindingDB,50489255,Menin,,high_potency_<=100nM,True,True
N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(F)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,2,1,7.8839086829063625,8.167491087293763,15.950000000000001,6.8,IC50;Ki,ChEMBL,CHEMBL2314816,Menin,2013,high_potency_<=100nM,True,True
CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,2,1,7.881605450295353,8.161150909262744,15.95,6.9,IC50;Ki,ChEMBL,CHEMBL2314833,Menin,2013,high_potency_<=100nM,True,True
C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(N)=N)NC1=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCNC(N)=N)NC(C)=O,2,1,7.881605450295353,8.161150909262744,15.95,6.9,IC50;Ki,BindingDB,50489248,Menin,,high_potency_<=100nM,True,True
F[C@H]1C[C@@H]2CC[C@H]1[C@H](N2)C(=O)N1CC2(C1)CN(C2)c1c(cnc2sc(CC(F)(F)F)cc12)C(F)(F)F,1,1,7.876148359032914,7.876148359032914,13.3,13.3,IC50,BindingDB,554059,Histone-lysine N-methyltransferase 2A/Menin,,high_potency_<=100nM,True,True
CC1=C(C=CC2=C1C=C(N2CCC3CCNCC3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,1,1,7.853871964321762,7.853871964321762,14.0,14.0,IC50,PubChem,117636542.0,,,high_potency_<=100nM,True,True
CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CC2)CC1)c1ccccc1,1,1,7.853871964321762,7.853871964321762,14.0,14.0,IC50,BindingDB,480165,Menin,,high_potency_<=100nM,True,True
CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,1,1,7.853871964321762,7.853871964321762,14.0,14.0,IC50,ChEMBL,CHEMBL6054581,Menin,2021,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccccc2)CC1)c1ccccc1,1,1,7.853871964321762,7.853871964321762,14.0,14.0,IC50,BindingDB,480285,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,1,1,7.853871964321762,7.853871964321762,14.0,14.0,IC50,ChEMBL,CHEMBL6012114,Menin,2021,high_potency_<=100nM,True,True
C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H]3CCCC[C@H](NC(=O)C4(CCC4)NC(=O)[C@@H]5CCCN5C(=O)[C@@H](NC3=O)CC6=CC(=CC=C6)F)C(=O)N7CCC[C@H]7C(=O)N[C@@H](CCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N)NC(=O)C,1,1,7.853871964321762,7.853871964321762,14.0,14.0,IC50,PubChem,162664286.0,,,high_potency_<=100nM,True,True
Cc1c(CN2CCC(CC2)Nc2ncnc3sc(CC(F)(F)F)cc23)ccc2n(CCC3CCNCC3)c(cc12)C#N,1,1,7.853871964321762,7.853871964321762,14.0,14.0,IC50,BindingDB,50455880,Menin,,high_potency_<=100nM,True,True
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCC1CCNCC1,1,1,7.853871964321762,7.853871964321762,14.0,14.0,IC50,ChEMBL,CHEMBL4209476,Menin,2018,high_potency_<=100nM,True,True
N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1OC(N)=O,1,1,7.853871964321762,7.853871964321762,14.0,14.0,IC50,ChEMBL,CHEMBL5948781,Menin,2021,high_potency_<=100nM,True,True
NC(=O)O[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccccc2)CC1)c1ccccc1,1,1,7.853871964321762,7.853871964321762,14.0,14.0,IC50,BindingDB,480162,Menin,,high_potency_<=100nM,True,True
CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(=O)C(C6)(C)C,2,1,7.85035533295616,7.920818753952375,14.3,12.0,IC50,PubChem,176456288.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True
CNC(=O)O[C@H]1CCC[C@@H]1C(Cn1ccnc1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccc(OC=O)cc2)CC1)c1ccccc1,2,1,7.832773124424534,8.096910013008056,17.5,8.0,IC50,BindingDB,480300,Menin,,high_potency_<=100nM,True,True
CNC(=O)O[C@H]1CCC[C@@H]1C(Cn1ccnc1)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccc(OC=O)cc4)cc3)C2)CC1,2,1,7.832773124424534,8.096910013008056,17.5,8.0,IC50,ChEMBL,CHEMBL5788808,Menin,2021,high_potency_<=100nM,True,True
CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(C(=O)C6)C,3,1,7.8297382846050425,7.966576244513051,14.8,10.8,IC50,PubChem,176456303.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True
O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,3,1,7.823908740944319,8.337242168318426,15.0,4.6,IC50;Ki,ChEMBL,CHEMBL4476073,Menin,2019;2021,high_potency_<=100nM,True,True
O=S(=O)(c1ccncc1)c1ccc(cc1)N1CC(CN2CCC(CC2)C2(NCCc3ccccc23)C2CCCC2)C1,3,1,7.823908740944319,8.337242168318426,15.0,4.6,IC50;Ki,BindingDB,50516553,Menin,,high_potency_<=100nM,True,True
CC1=C(C=CC2=C1C=C(N2CCN3CCNCC3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,1,1,7.823908740944319,7.823908740944319,15.0,15.0,IC50,PubChem,117636564.0,,,high_potency_<=100nM,True,True
CCN1Cc2ccccc2C(C1)(C1CCCC1)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C(F)(F)F)CC1,1,1,7.823908740944319,7.823908740944319,15.0,15.0,IC50,BindingDB,480091,Menin,,high_potency_<=100nM,True,True
CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)C(F)(F)F)cc4)C3)CC2)C1,1,1,7.823908740944319,7.823908740944319,15.0,15.0,IC50,ChEMBL,CHEMBL5837749,Menin,2021,high_potency_<=100nM,True,True
CNS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5c(F)cccc54)CC3)C2)cc1,1,1,7.823908740944319,7.823908740944319,15.0,15.0,IC50,ChEMBL,CHEMBL5914463,Menin,2021,high_potency_<=100nM,True,True
CNS(=O)(=O)c1ccc(cc1)N1CC(CN2CCC(CC2)C2(NCCc3c(F)cccc23)C2CCCC2)C1,1,1,7.823908740944319,7.823908740944319,15.0,15.0,IC50,BindingDB,480068,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccc(F)cc2)CC1)c1ccccc1,1,1,7.823908740944319,7.823908740944319,15.0,15.0,IC50,BindingDB,480329,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccc(cc2)C(O)=O)CC1)c1ccccc1,1,1,7.823908740944319,7.823908740944319,15.0,15.0,IC50,BindingDB,480289,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2cnn(C)c2)CC1)c1ccccc1,1,1,7.823908740944319,7.823908740944319,15.0,15.0,IC50,BindingDB,480287,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccc(C(=O)O)cc4)cc3)C2)CC1,1,1,7.823908740944319,7.823908740944319,15.0,15.0,IC50,ChEMBL,CHEMBL5913912,Menin,2021,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccc(F)cc4)cc3)C2)CC1,1,1,7.823908740944319,7.823908740944319,15.0,15.0,IC50,ChEMBL,CHEMBL5746682,Menin,2021,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cnn(C)c4)cc3)C2)CC1,1,1,7.823908740944319,7.823908740944319,15.0,15.0,IC50,ChEMBL,CHEMBL6042537,Menin,2021,high_potency_<=100nM,True,True
Cc1c(CN2CCC(CC2)Nc2ncnc3sc(CC(F)(F)F)cc23)ccc2n(CCN3CCNCC3)c(cc12)C#N,1,1,7.823908740944319,7.823908740944319,15.0,15.0,IC50,BindingDB,50455860,Menin,,high_potency_<=100nM,True,True
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCNCC1,1,1,7.823908740944319,7.823908740944319,15.0,15.0,IC50,ChEMBL,CHEMBL4203695,Menin,2018,high_potency_<=100nM,True,True
CC(C)N(C1CCC1)C(=O)C2=C(C=CC(=C2)F)OC3=CN=CN=C3N4CC5(C4)CCN(CC5)CC6CCC7(CC6)CC(=O)C(C7)(C)C,2,1,7.81830684312529,8.130768280269024,19.3,7.4,IC50,PubChem,176456289.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)C#N)CC1)c1ccccc1,2,1,7.804091538193376,8.070581074285707,18.75,8.5,IC50;Ki,BindingDB,50516583,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,2,1,7.804091538193376,8.070581074285707,18.75,8.5,IC50;Ki,ChEMBL,CHEMBL4568235,Menin,2019,high_potency_<=100nM,True,True
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCCCCC(=O)NCCCCCC(=O)N[C@@H](CCCCNC(=O)c1ccc2c(c1)C(=O)OC21c2ccc(O)cc2OC2C=C(O)C=CC21)C(N)=O)[C@@H](C)O,1,1,7.798602875679548,7.798602875679548,15.9,15.9,Kd,ChEMBL,CHEMBL2314821,Menin,2013,high_potency_<=100nM,True,True
CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)C#N)CC1)c1cccc(F)c1,1,1,7.795880017344075,7.795880017344075,16.0,16.0,IC50,BindingDB,480350,Menin,,high_potency_<=100nM,True,True
CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,1,1,7.795880017344075,7.795880017344075,16.0,16.0,IC50,ChEMBL,CHEMBL5918038,Menin,2021,high_potency_<=100nM,True,True
CCN1Cc2ccccc2C(C1)(C1CCCC1)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccnc(CC)c2)CC1,1,1,7.795880017344075,7.795880017344075,16.0,16.0,IC50,BindingDB,480100,Menin,,high_potency_<=100nM,True,True
CCN1Cc2ccccc2C(C1)(C1CCCC1)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccnc(c2)C(F)(F)F)CC1,1,1,7.795880017344075,7.795880017344075,16.0,16.0,IC50,BindingDB,480102,Menin,,high_potency_<=100nM,True,True
CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccnc(C(F)(F)F)c5)cc4)C3)CC2)C1,1,1,7.795880017344075,7.795880017344075,16.0,16.0,IC50,ChEMBL,CHEMBL5790769,Menin,2021,high_potency_<=100nM,True,True
CCc1cc(S(=O)(=O)c2ccc(N3CC(CN4CCC(C5(C6CCCC6)CN(CC)Cc6ccccc65)CC4)C3)cc2)ccn1,1,1,7.795880017344075,7.795880017344075,16.0,16.0,IC50,ChEMBL,CHEMBL5864891,Menin,2021,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2Cl)S(=O)(=O)C2CC2)CC1)c1ccccc1,1,1,7.795880017344075,7.795880017344075,16.0,16.0,IC50,BindingDB,480330,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3Cl)C2)CC1,1,1,7.795880017344075,7.795880017344075,16.0,16.0,IC50,ChEMBL,CHEMBL5891635,Menin,2021,high_potency_<=100nM,True,True
C[C@@H](O)[C@H](NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](Cc1cc2ccccc2[nH]1)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CO)NC(C)=O)C(=O)NCC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCCCCCC(=O)NCCCCCC(=O)N[C@@H](CCCCNC(=O)c1ccc2c(c1)C(=O)OC21C2C=CC(O)=CC2Oc2cc(O)ccc12)C(N)=O,1,1,7.795880017344075,7.795880017344075,16.0,16.0,Kd,BindingDB,50489223,Menin,,high_potency_<=100nM,True,True
CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(=O)C(C6)(C)C,1,1,7.787812395596042,7.787812395596042,16.3,16.3,IC50,PubChem,176456290.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True
CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)C[C@@H](C(=O)C6)COC,1,1,7.787812395596042,7.787812395596042,16.3,16.3,IC50,PubChem,176456300.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True
CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@H]5CC6CC[C@H]5CC67CCC(=O)C7,1,1,7.782516055786093,7.782516055786093,16.5,16.5,IC50,PubChem,176456277.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True
C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,3,1,7.769551078621726,8.337242168318426,17.0,4.6,IC50;Ki,PubChem,138618542.0,,,high_potency_<=100nM,True,True
C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7CCCC7,3,1,7.769551078621726,8.337242168318426,17.0,4.6,IC50;Ki,PubChem,138618490.0,,,high_potency_<=100nM,True,True
CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccnc(C)c2)CC1)c1ccccc1,1,1,7.769551078621726,7.769551078621726,17.0,17.0,IC50,BindingDB,480140,Menin,,high_potency_<=100nM,True,True
CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccnc(C)c4)cc3)C2)CC1,1,1,7.769551078621726,7.769551078621726,17.0,17.0,IC50,ChEMBL,CHEMBL5942437,Menin,2021,high_potency_<=100nM,True,True
CC1=C(C=CC2=C1C=C(N2)C#N)CN3CCC(CC3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,2,1,7.747425010840047,8.0,21.0,10.0,IC50;Kd,PubChem,90455046.0,,,high_potency_<=100nM,True,True
Cc1c(CN2CCC(CC2)Nc2ncnc3sc(CC(F)(F)F)cc23)ccc2[nH]c(cc12)C#N,2,1,7.747425010840047,8.0,21.0,10.0,IC50;Kd,BindingDB,50455859,Menin,,high_potency_<=100nM,True,True
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2[nH]c(C#N)cc12,2,1,7.747425010840047,8.0,21.0,10.0,IC50;Kd,ChEMBL,CHEMBL3780895,Menin,2018;2019,high_potency_<=100nM,True,True
CCC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)C#N)CC1)c1ccccc1,2,1,7.747357162927933,8.013228265733755,21.35,9.7,IC50;Ki,BindingDB,50516579,Menin,,high_potency_<=100nM,True,True
CCC(=O)O[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,2,1,7.747357162927933,8.013228265733755,21.35,9.7,IC50;Ki,ChEMBL,CHEMBL4452253,Menin,2019,high_potency_<=100nM,True,True
CC(=O)N1CCN(CCn2c(C#N)cc3c(C)c(CN4CCC(Nc5ncnc6sc(CC(F)(F)F)cc56)CC4)ccc32)CC1,1,1,7.7447274948966935,7.7447274948966935,18.0,18.0,IC50,ChEMBL,CHEMBL4203028,Menin,2018,high_potency_<=100nM,True,True
CC(=O)N1CCN(CCn2c(cc3c(C)c(CN4CCC(CC4)Nc4ncnc5sc(CC(F)(F)F)cc45)ccc23)C#N)CC1,1,1,7.7447274948966935,7.7447274948966935,18.0,18.0,IC50,BindingDB,50455864,Menin,,high_potency_<=100nM,True,True
CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CC2)CC1)c1ccccc1,1,1,7.7447274948966935,7.7447274948966935,18.0,18.0,IC50,BindingDB,480127,Menin,,high_potency_<=100nM,True,True
CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,1,1,7.7447274948966935,7.7447274948966935,18.0,18.0,IC50,ChEMBL,CHEMBL5983923,Menin,2021,high_potency_<=100nM,True,True
CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C(=O)C)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,1,1,7.7447274948966935,7.7447274948966935,18.0,18.0,IC50,PubChem,117636599.0,,,high_potency_<=100nM,True,True
N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1OC(=O)C1CC1,1,1,7.7447274948966935,7.7447274948966935,18.0,18.0,IC50,ChEMBL,CHEMBL6045605,Menin,2021,high_potency_<=100nM,True,True
O=C(O[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccncc2)CC1)c1ccccc1)C1CC1,1,1,7.7447274948966935,7.7447274948966935,18.0,18.0,IC50,BindingDB,480137,Menin,,high_potency_<=100nM,True,True
