smiles,n_measurements,n_sources,p_herg_median,p_herg_best,herg_value_nm_median,herg_value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM,herg_blocker_label,herg_label_policy
CC#C[C@@H](c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1)[C@H]1OC(=O)NC1=O,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL1777878,hERG / KCNH2,2011.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCC(=O)N(CC1(N2CC3CN(Cc4ccccc4)CC3C2)CCOCC1)c1cccc(C(F)(F)F)n1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL5074927,hERG / KCNH2,2021.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCCOCCN1CCN(C2(CN(C(=O)CC)c3cccc(C(F)(F)F)n3)CCOCC2)CC1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL5080761,hERG / KCNH2,2021.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCN1CCN(c2cc3[nH]c(S[C@]4(C)CC[C@@H](c5nnco5)CC4)nc3cc2Cl)CC1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL467279,hERG / KCNH2,2009.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CC[C@@H](C)[C@H](C(=O)O)N1C[C@H](CN2CCC(c3cc(Cc4ccc(OC5CCC5)cc4)nn3CC)CC2)[C@@H](c2cccc(F)c2)C1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,Ki,ChEMBL,CHEMBL176459,hERG / KCNH2,2004.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCn1cc([C@@]2(c3nn(CCN(C)C)c(=O)o3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL3582342,hERG / KCNH2,2015.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COC(=O)N(C)c1c(N)nc(-n2nc(Cc3cc(F)ccc3F)c3ccccc32)nc1N,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL4793885,hERG / KCNH2,2020.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COc1cc(-c2cncc(-c3ccc(C4=CCNCC4)cc3)c2C)cc(OC)c1OC,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL4641530,hERG / KCNH2,2020.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COc1cc([C@](O)(CCN(C)C)[C@@H](c2cc3cc(C#N)ccc3nc2OC)c2ccnc(OC)c2OC)cc(N(C)C)n1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL4645910,hERG / KCNH2,2020.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COc1ccc(-c2c(-c3ccc(C#N)c(F)c3)nc(N3CCC(N)CC3)n(C)c2=O)cc1F.O=S(=O)(O)c1ccccc1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL4650360,hERG / KCNH2,2020.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
