smiles,n_measurements,n_sources,p_herg_median,p_herg_best,herg_value_nm_median,herg_value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM,herg_blocker_label,herg_label_policy
O=C(N[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1cccc2cc[nH]c12,1,1,10.67778070526608,10.67778070526608,0.021,0.021,IC50,ChEMBL,CHEMBL4595328,hERG / KCNH2,2023.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1cc2cccc(C(=O)N[C@H]3CC[C@@]4(O)[C@H]5Cc6ccc(O)c7c6[C@@]4(CCN5CC4CC4)[C@H]3O7)c2[nH]1.Cl,1,1,9.853871964321762,9.853871964321762,0.14,0.14,IC50,ChEMBL,CHEMBL5432371,hERG / KCNH2,2023.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)cc1,1,1,9.853871964321762,9.853871964321762,0.14,0.14,IC50,ChEMBL,CHEMBL1257821,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCCc2ccccc2)c1,1,1,9.602059991327963,9.602059991327963,0.25,0.25,IC50,ChEMBL,CHEMBL1257820,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)s1,1,1,9.585026652029182,9.585026652029182,0.26,0.26,IC50,ChEMBL,CHEMBL1257578,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCCCCCCc1cccc(CCCCCCC)[n+]1C.O=S(=O)([O-])C(F)(F)F,2,1,9.454694646085796,9.55284196865778,0.36,0.28,Kd;Ki,ChEMBL,CHEMBL3590463,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCc2ccccc2)c1,1,1,9.42021640338319,9.42021640338319,0.38,0.38,IC50,ChEMBL,CHEMBL1257698,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CS(=O)(=O)Nc1ccc(CCN(CCOc2ccc(NS(C)(=O)=O)cc2)c2ccc([N+](=O)[O-])c3nonc23)cc1,1,1,9.4089353929735,9.4089353929735,0.39,0.39,Ki,ChEMBL,CHEMBL227134,hERG / KCNH2,2007.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=C1COc2ccc(CNC34CCC(CCc5ccnc6cc(C(F)(F)F)cnc56)(CC3)OC4)nc2N1,1,1,9.4089353929735,9.4089353929735,0.39,0.39,IC50,ChEMBL,CHEMBL3422978,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COC1OC2(CCN(Cc3ccccc3)CC2)c2cnn(-c3ccccc3)c21,1,1,9.387216143280265,9.387216143280265,0.41,0.41,IC50,ChEMBL,CHEMBL410832,hERG / KCNH2,2008.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2cccs2)c1,1,1,9.366531544420413,9.366531544420413,0.43,0.43,IC50,ChEMBL,CHEMBL1257577,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Nc1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,2,1,9.318758762624412,9.318758762624412,0.48,0.48,IC50,ChEMBL,CHEMBL5858906,hERG / KCNH2,2018.0;2019.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CC(F)(F)c1cc(-n2cc(Cn3ccnc3N)nn2)ccc1Cl,1,1,9.292429823902063,9.292429823902063,0.51,0.51,IC50,ChEMBL,CHEMBL5794967,hERG / KCNH2,2019.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CC(F)(F)c1cc(-n2cc(Cn3ccnc3N)nn2)ccc1F,1,1,9.292429823902063,9.292429823902063,0.51,0.51,IC50,ChEMBL,CHEMBL5870278,hERG / KCNH2,2018.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Nc1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,2,1,9.2839966563652,9.2839966563652,0.52,0.52,IC50,ChEMBL,CHEMBL6063759,hERG / KCNH2,2018.0;2019.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1cccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)c1,1,1,9.2839966563652,9.2839966563652,0.52,0.52,IC50,ChEMBL,CHEMBL1257937,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccc3sccc3c2)cn1,1,1,9.259637310505756,9.259637310505756,0.55,0.55,Ki,ChEMBL,CHEMBL1085090,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CN1C[C@@H]2C[C@H]1CN2c1ncc(-c2ccc3sccc3c2)cn1,1,1,9.2518119729938,9.2518119729938,0.56,0.56,Ki,ChEMBL,CHEMBL1085806,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1ccccc1CN1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,1,1,9.207608310501746,9.207608310501746,0.62,0.62,IC50,ChEMBL,CHEMBL1257938,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccc3c(c2)OCO3)c1,1,1,9.207608310501746,9.207608310501746,0.62,0.62,IC50,ChEMBL,CHEMBL1258280,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Nc1nccn1Cc1cn(-c2ccc(Cl)c(C(F)F)c2)nn1,2,1,9.187086643357144,9.187086643357144,0.65,0.65,IC50,ChEMBL,CHEMBL5956282,hERG / KCNH2,2018.0;2019.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCCCN1CCC2(CC1)OC(OC)c1c2cnn1-c1ccccc1,1,1,9.187086643357144,9.187086643357144,0.65,0.65,IC50,ChEMBL,CHEMBL259732,hERG / KCNH2,2008.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=c1cc(OCc2ccc3ccccc3c2)ccn1-c1ccc(OCCN2CCCC2)cc1,1,1,9.173925197299173,9.173925197299173,0.67,0.67,IC50,ChEMBL,CHEMBL1642479,hERG / KCNH2,2011.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CC(=O)Nc2ccccc2)c1,1,1,9.142667503568731,9.142667503568731,0.72,0.72,IC50,ChEMBL,CHEMBL1258503,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c(F)cnc2cc1F,1,1,9.136677139879545,9.136677139879545,0.73,0.73,IC50,ChEMBL,CHEMBL3422952,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CC1CN(CCc2ccc([N+](=O)[O-])cc2)CCN1CCc1ccc([N+](=O)[O-])cc1,1,1,9.119186407719209,9.119186407719209,0.76,0.76,IC50,ChEMBL,CHEMBL2146867,hERG / KCNH2,2012.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CN(CCOc1ccc(-n2ccc(OCc3ccccc3)cc2=O)cc1)Cc1ccccc1,1,1,9.09151498112135,9.09151498112135,0.81,0.81,IC50,ChEMBL,CHEMBL1642487,hERG / KCNH2,2011.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc2cc1C#N,1,1,9.060480747381382,9.060480747381382,0.87,0.87,IC50,ChEMBL,CHEMBL3422970,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
C[C@@H]1Cc2c(ccc3[nH]nc(F)c23)[C@@H](c2ccc(OC3CN(CCCF)C3)cn2)N1CC(F)(F)CO,1,1,9.05551732784983,9.05551732784983,0.88,0.88,IC50,ChEMBL,CHEMBL5839811,hERG / KCNH2,2020.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6cc(C(F)(F)F)cnc56)(CC3)OC4)nc2N1,1,1,9.050609993355087,9.050609993355087,0.89,0.89,IC50,ChEMBL,CHEMBL3422959,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N2C(=O)CC[C@H]2CN2CCN(C)CC2)cc1)c1ccccc1,1,1,9.022276394711152,9.022276394711152,0.95,0.95,IC50,ChEMBL,CHEMBL4171244,hERG / KCNH2,2017.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3C2CCCc3ccccc32)c1,1,1,9.022276394711152,9.022276394711152,0.95,0.95,IC50,ChEMBL,CHEMBL1258725,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(C(F)(F)F)nc56)(CC3)OC4)nc2N1,1,1,9.00436480540245,9.00436480540245,0.99,0.99,IC50,ChEMBL,CHEMBL3422977,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Oc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,3,1,9.0,9.0,1.0,1.0,IC50,ChEMBL,CHEMBL60796,hERG / KCNH2,2003.0;2008.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCc1cc(F)c2nc(N3CCC(NC4CCOCC4)CC3)c(-c3nc(C)no3)c(C)c2c1,1,1,9.0,9.0,1.0,1.0,IC50,ChEMBL,CHEMBL4592045,hERG / KCNH2,2019.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
C[C@@H]1Cc2c(ccc3[nH]nc(F)c23)[C@@H](c2ccc(NC3CN(CCCF)C3)c(F)n2)N1CC(F)(F)CO,1,1,9.0,9.0,1.0,1.0,IC50,ChEMBL,CHEMBL5885156,hERG / KCNH2,2020.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CN(CCCCOc1ccc([N+](=O)[O-])cc1)CCc1ccc([N+](=O)[O-])cc1,2,1,8.96627857861181,9.136677139879545,1.165,0.73,Kd;Ki,ChEMBL,CHEMBL3590452,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COCC(C)(C)C#Cc1c(Cl)c2c(Cl)cc(C(N)=O)nc2n1[C@H]1CCCNC1,1,1,8.958607314841775,8.958607314841775,1.1,1.1,IC50,ChEMBL,CHEMBL4457529,hERG / KCNH2,2019.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCOc1cc(C)c2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,1,1,8.924453038607469,8.924453038607469,1.19,1.19,IC50,ChEMBL,CHEMBL3422954,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CN1C[C@@H]2C[C@H]1CN2c1cnc(-c2ccc3sccc3c2)cn1,1,1,8.920818753952375,8.920818753952375,1.2,1.2,Ki,ChEMBL,CHEMBL1084022,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COc1ccc(COc2ccn(-c3ccc(OCCN4CCCC4)cc3)c(=O)c2)cc1,1,1,8.920818753952375,8.920818753952375,1.2,1.2,IC50,ChEMBL,CHEMBL1642476,hERG / KCNH2,2011.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc(NC3CN(CCCF)C3)c(F)n2)N1CC(F)F,1,1,8.920818753952375,8.920818753952375,1.2,1.2,IC50,ChEMBL,CHEMBL5947456,hERG / KCNH2,2020.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,1,1,8.920818753952375,8.920818753952375,1.2,1.2,IC50,ChEMBL,CHEMBL5750166,hERG / KCNH2,2018.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CN(C)c1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc2cc1F,1,1,8.91721462968355,8.91721462968355,1.21,1.21,IC50,ChEMBL,CHEMBL3422976,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CN1C[C@@H]2C[C@H]1CN2c1ncc(-c2ccc3occc3c2)cn1,1,1,8.886056647693163,8.886056647693163,1.3,1.3,Ki,ChEMBL,CHEMBL1085805,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
c1ccc(-c2cccc(O[C@@H]3C[C@H]4CC[C@@H](C3)N4)n2)cc1,1,1,8.886056647693163,8.886056647693163,1.3,1.3,Ki,ChEMBL,CHEMBL1644470,hERG / KCNH2,2011.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N2C(=O)CC[C@@H]2CN2CCN(C)CC2)cc1)c1ccccc1,1,1,8.853871964321762,8.853871964321762,1.4,1.4,IC50,ChEMBL,CHEMBL4170680,hERG / KCNH2,2017.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
NC(=O)c1cc(Cl)c2c(Cl)c(C#CC3COCCO3)n([C@H]3CCCNC3)c2n1,1,1,8.853871964321762,8.853871964321762,1.4,1.4,IC50,ChEMBL,CHEMBL4466764,hERG / KCNH2,2019.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(Cl)c(Cl)cc2o1,1,1,8.853871964321762,8.853871964321762,1.4,1.4,IC50,ChEMBL,CHEMBL204828,hERG / KCNH2,2006.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COc1cc2nccc(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2nc1OC,1,1,8.844663962534938,8.844663962534938,1.43,1.43,IC50,ChEMBL,CHEMBL3422964,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCCCCCC[N+](CC)(CC)CC#Cc1ccc(Cl)cc1,2,1,8.832773124424534,8.920818753952375,1.5,1.2,Kd;Ki,ChEMBL,CHEMBL3140084,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCCCCCC[N+](CC)(CC)C/C=C/Cc1ccc(Cl)cc1.[I-],1,1,8.823908740944319,8.823908740944319,1.5,1.5,IC50,ChEMBL,CHEMBL3093957,hERG / KCNH2,2013.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc(NC3CN(CCCF)C3)cc2)N1CC(F)F,1,1,8.823908740944319,8.823908740944319,1.5,1.5,IC50,ChEMBL,CHEMBL6021768,hERG / KCNH2,2020.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccncc2)c1,1,1,8.823908740944319,8.823908740944319,1.5,1.5,IC50,ChEMBL,CHEMBL1258047,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCCNC(=O)CCCN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O.Cl,1,1,8.79997073344623,8.79997073344623,1.585,1.585,IC50,ChEMBL,CHEMBL5272464,hERG / KCNH2,2017.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCc1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,2,1,8.795880017344075,8.795880017344075,1.6,1.6,IC50,ChEMBL,CHEMBL6006629,hERG / KCNH2,2018.0;2019.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc2cc1C#N,1,1,8.795880017344075,8.795880017344075,1.6,1.6,IC50,ChEMBL,CHEMBL3422966,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1ccc(C(C)N2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)s1,1,1,8.795880017344075,8.795880017344075,1.6,1.6,IC50,ChEMBL,CHEMBL1258616,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1cc(-n2cc(Cn3ccnc3C)nn2)ccc1Cl,2,1,8.785156151952302,8.785156151952302,1.64,1.64,IC50,ChEMBL,CHEMBL5971419,hERG / KCNH2,2018.0;2019.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
N#Cc1ccc2ncc(C#N)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,1,1,8.779891911959945,8.779891911959945,1.66,1.66,IC50,ChEMBL,CHEMBL3422962,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCN(CC)CCN(C)c1ccc(-n2ccc(OCc3ccccc3)cc2=O)cc1,1,1,8.769551078621726,8.769551078621726,1.7,1.7,IC50,ChEMBL,CHEMBL1642493,hERG / KCNH2,2011.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCOC(=O)CCc1ccc(OC[C@H](O)CNC(C)(C)Cc2ccc3ccccc3c2)c(C#N)c1.Cl,1,1,8.769551078621726,8.769551078621726,1.7,1.7,IC50,ChEMBL,CHEMBL1204009,hERG / KCNH2,2009.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c(F)cnc2cc1C(F)(F)F,1,1,8.769551078621726,8.769551078621726,1.7,1.7,IC50,ChEMBL,CHEMBL3422957,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
NC(=O)c1cc(Cl)c2c(Cl)c(C#CC3CCOCC3)n([C@H]3CCCNC3)c2n1,1,1,8.769551078621726,8.769551078621726,1.7,1.7,IC50,ChEMBL,CHEMBL4528544,hERG / KCNH2,2019.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=c1cc(OCc2ccc(Cl)cc2)ccn1-c1ccc(OCCN2CCCC2)cc1,1,1,8.769551078621726,8.769551078621726,1.7,1.7,IC50,ChEMBL,CHEMBL1642475,hERG / KCNH2,2011.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COc1cc(OC)c2nccc(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,1,1,8.749579997691106,8.749579997691106,1.78,1.78,IC50,ChEMBL,CHEMBL3422968,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccc3sccc3c2)nn1,1,1,8.744727494896694,8.744727494896694,1.8,1.8,Ki,ChEMBL,CHEMBL1083302,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
C[C@@H](c1ccccc1)N1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,1,1,8.744727494896694,8.744727494896694,1.8,1.8,IC50,ChEMBL,CHEMBL1257227,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ncc(NC3CN(CCCF)C3)cc2F)N1CC(F)(F)F,1,1,8.744727494896694,8.744727494896694,1.8,1.8,IC50,ChEMBL,CHEMBL4789223,hERG / KCNH2,2020.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCc1nccn1Cc1cn(-c2ccc(Cl)c(C)c2)nn1,2,1,8.735182176990463,8.735182176990463,1.84,1.84,IC50,ChEMBL,CHEMBL6028836,hERG / KCNH2,2018.0;2019.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CN1C[C@@H]2C[C@H]1CN2c1ncc(-c2ccc3[nH]c(C(F)(F)F)cc3c2)cn1,1,1,8.732828271596986,8.732828271596986,1.85,1.85,Ki,ChEMBL,CHEMBL1086525,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1nccn1Cc1cn(-c2ccc(F)c(OC(F)F)c2)nn1,2,1,8.721246399047171,8.721246399047171,1.9,1.9,IC50,ChEMBL,CHEMBL5905884,hERG / KCNH2,2018.0;2019.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CN1C[C@@H]2C[C@H]1CN2c1cnc(-c2ccc3[nH]c(C(F)(F)F)cc3c2)cn1,1,1,8.721246399047171,8.721246399047171,1.9,1.9,Ki,ChEMBL,CHEMBL1082786,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccn2)c1,1,1,8.721246399047171,8.721246399047171,1.9,1.9,IC50,ChEMBL,CHEMBL1258164,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=c1cc(OCc2cccc(Cl)c2)ccn1-c1ccc(OCCN2CCCC2)cc1,1,1,8.721246399047171,8.721246399047171,1.9,1.9,IC50,ChEMBL,CHEMBL1642474,hERG / KCNH2,2011.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COc1cc2nccc(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2nc1C#N,1,1,8.707743928643524,8.707743928643524,1.96,1.96,IC50,ChEMBL,CHEMBL3422971,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.Cc1ccc(S(=O)(=O)[O-])cc1,3,1,8.698970004336019,9.397940008672037,2.0,0.4,IC50;Ki,ChEMBL,CHEMBL598270,hERG / KCNH2,2013.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccc3[nH]c(C(F)(F)F)cc3c2)cn1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,Ki,ChEMBL,CHEMBL1086481,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2c(F)cc(NC3CN(CCCF)C3)cc2F)N1CC(F)(F)F,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL5972587,hERG / KCNH2,2020.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
