feature_family,resolved_column,n_records,n_present,fraction_present,status
molecule,standardized_smiles,12500,12500,1.0,available
protein_sequence,protein_sequence,12500,12500,1.0,available
protein_id,protein_id,12500,12500,1.0,available
assay_text,,12500,0,0.0,column_unavailable
