name,pubchem_cid,regulatory_status,source_checked_at,approval_context,reference_structure_id,reference_standard_inchi_key,pubchem_inchi_matches_standardized,has_exact_primary_task_structure,has_any_public_menin_measurement,public_menin_endpoints,public_menin_assay_families,nearest_primary_structure_id,nearest_primary_p_activity,maximum_primary_achiral_tanimoto,maximum_primary_chiral_tanimoto,reference_scaffold_series_id,reference_scaffold_present_in_primary,mol_wt,logp,tpsa,qed,pains_alert_count,brenk_alert_count,nih_alert_count,pubchem_url,regulatory_url
revumenib,132212657,FDA approved,2026-07-14,KMT2A-translocated relapsed/refractory acute leukemia (2024-11-15); NPM1-mutant relapsed/refractory AML (2025-10-24),STR-11DAC167D110ABFAB615,FRVSRBKUQZKTOW-UHFFFAOYSA-N,True,False,True,IC50,in_vivo,STR-B5D946FAC7CA35C5B953,8.148741651280925,0.5384615384615384,0.5533980582524272,SER-FDE84D869CAD923E,False,630.831,4.678800000000004,107.97,0.381630033224148,0,0,0,https://pubchem.ncbi.nlm.nih.gov/compound/132212657,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-revumenib-relapsed-or-refractory-acute-myeloid-leukemia-susceptible-npm1-mutation
ziftomenib,138497449,FDA approved,2026-07-14,NPM1-mutant relapsed/refractory AML (2025-11-13),STR-76B2C4DCC2EEE06F8A08,BGGALFIXXQOTPY-NRFANRHFSA-N,True,False,False,,,STR-6ADE38C213CBA2CBB7F0,7.886056647693163,0.68,0.68,SER-AABF4AB999A5F725,True,717.8880000000001,5.0148000000000055,122.41999999999996,0.2331753876252275,0,0,0,https://pubchem.ncbi.nlm.nih.gov/compound/138497449,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/220305s000lbl.pdf
