similarity_cluster_id,cluster_size,representative_structure_id,member_structure_ids,n_scaffold_series,median_p_activity,maximum_p_activity
CLU-00AA5A3F037E4BCF,1,STR-466A031256A2621A45EE,STR-466A031256A2621A45EE,1,4.268426931636825,4.268426931636825
CLU-049F3DFE998050A0,1,STR-A6771150771281B862C7,STR-A6771150771281B862C7,1,4.309803919971486,4.309803919971486
CLU-0536B048A2BBDAE8,1,STR-625E175938C0BA620C7A,STR-625E175938C0BA620C7A,1,4.301029995663981,4.301029995663981
CLU-0BFC9A76852F0D86,1,STR-E91B6B648646B754AD1D,STR-E91B6B648646B754AD1D,1,6.8297382846050425,6.8297382846050425
CLU-1284A034F9E8F0E0,1,STR-551B85BEC657362DBF0B,STR-551B85BEC657362DBF0B,1,5.42021640338319,5.42021640338319
CLU-1B7AD059C92C09B7,1,STR-F13F9B9A1C2D18490852,STR-F13F9B9A1C2D18490852,1,3.2924298239020633,3.2924298239020633
CLU-1BE2894B07BCAFD8,1,STR-AE2AA292EDD25C175AFA,STR-AE2AA292EDD25C175AFA,1,4.455931955649724,4.455931955649724
CLU-1CC594024D525E32,1,STR-5F5B8DC8F81109D4AC69,STR-5F5B8DC8F81109D4AC69,1,5.221848749616356,5.221848749616356
CLU-21836CAB7AADD67B,1,STR-8DB0AD5CDFB534F0A1FD,STR-8DB0AD5CDFB534F0A1FD,1,4.3223930472795065,4.3223930472795065
CLU-27123EA28707BD14,1,STR-9B511E320085B2646A64,STR-9B511E320085B2646A64,1,4.2403321553103694,4.2403321553103694
CLU-2F8A7678DF10D71A,1,STR-4B176E4EC0D4BE59BE40,STR-4B176E4EC0D4BE59BE40,1,4.1487416512809245,4.1487416512809245
CLU-32A9FC85C5E98335,1,STR-220071760E88DA3EF61F,STR-220071760E88DA3EF61F,1,4.698970004336019,4.698970004336019
CLU-35CD57CECBD7D9B7,1,STR-604BE22F0CAC884F2D40,STR-604BE22F0CAC884F2D40,1,4.721246399047171,4.721246399047171
CLU-3EE9B9680D826870,1,STR-17FFA0BF8D560B02685C,STR-17FFA0BF8D560B02685C,1,2.721246399047171,2.721246399047171
CLU-44AD2716C072DCFA,1,STR-E504CB05601073D27DA6,STR-E504CB05601073D27DA6,1,4.161150909262744,4.161150909262744
CLU-4ED31E617D622753,1,STR-633580C0DD9263988A9F,STR-633580C0DD9263988A9F,1,7.055517327849831,7.055517327849831
CLU-4EE9F333AA493C6A,1,STR-A9AB52FCFA3880DA25B5,STR-A9AB52FCFA3880DA25B5,1,6.777283528852417,6.777283528852417
CLU-4F217024905A362A,1,STR-34FE1D5BDCFE7B2EB7FE,STR-34FE1D5BDCFE7B2EB7FE,1,9.0,9.0
CLU-5CEEA5F5F59D79A6,1,STR-8C455D8899B5E9DDDDFA,STR-8C455D8899B5E9DDDDFA,1,4.892790030352131,4.892790030352131
CLU-5D15EB979336DBBA,1,STR-B0F5A7555DF936BC6486,STR-B0F5A7555DF936BC6486,1,4.301029995663981,4.301029995663981
CLU-6085115AF26E9129,1,STR-DAA31E2085C9B01F8A70,STR-DAA31E2085C9B01F8A70,1,7.721246399047171,7.721246399047171
CLU-60A0DE207ACB7CDF,1,STR-282D943879193C965050,STR-282D943879193C965050,1,5.182258126592544,5.182258126592544
CLU-61F35D95BA8C6101,1,STR-6C6AF265A6F8A1F38DBC,STR-6C6AF265A6F8A1F38DBC,1,7.67778070526608,7.67778070526608
CLU-62CACF69B913D26E,1,STR-7A884766D31A90BA2425,STR-7A884766D31A90BA2425,1,6.779891911959945,6.779891911959945
CLU-62E220E638ADAA86,1,STR-5255CAA0D8BB98E85D76,STR-5255CAA0D8BB98E85D76,1,3.42021640338319,3.42021640338319
CLU-66F6205819F89C79,1,STR-BB3373616F96D1625E90,STR-BB3373616F96D1625E90,1,9.0,9.0
CLU-696CF99EA002BEAD,1,STR-3E739B082DA4CF7390FB,STR-3E739B082DA4CF7390FB,1,2.9746941347352296,2.9746941347352296
CLU-6B75409E391AFF65,1,STR-21E735B2891431212E1A,STR-21E735B2891431212E1A,1,7.823908740944319,7.823908740944319
CLU-6E2A19AAE3A87C86,1,STR-E8E0B83CF4A1DDD8AEEB,STR-E8E0B83CF4A1DDD8AEEB,1,3.638272163982407,3.638272163982407
CLU-709DDC34D5916316,1,STR-2849978768635A47ED8E,STR-2849978768635A47ED8E,1,7.537602002101044,7.537602002101044
CLU-72FA7370F023C1EA,1,STR-DE59B5A419C718336B67,STR-DE59B5A419C718336B67,1,3.3010299956639813,3.3010299956639813
CLU-775CB5B99A0F47E4,1,STR-0B5E0ED39466F3487654,STR-0B5E0ED39466F3487654,1,6.080921907623926,6.080921907623926
CLU-7D6DED4FAD25C7A0,1,STR-452401AF18DD4279C7FE,STR-452401AF18DD4279C7FE,1,7.657577319177793,7.657577319177793
CLU-8072DE3006AF10D6,1,STR-CC05FA7F39995CB495AE,STR-CC05FA7F39995CB495AE,1,5.552841968657781,5.552841968657781
CLU-81FFDD72DBBBF09C,1,STR-FFDAE7251C4FD9100A8F,STR-FFDAE7251C4FD9100A8F,1,3.6020599913279625,3.6020599913279625
CLU-84BAF5E27B2DCA0B,1,STR-FC23C7EE60D140564837,STR-FC23C7EE60D140564837,1,4.920818753952375,4.920818753952375
CLU-8E15A65AEDE92141,1,STR-43E0D8D9D40EE11F8225,STR-43E0D8D9D40EE11F8225,1,8.0,8.0
CLU-9D8A9591212F8BEF,1,STR-96DCE721D71CD4CE180C,STR-96DCE721D71CD4CE180C,1,4.920818753952375,4.920818753952375
CLU-9F7340B923C6C8AF,1,STR-146E181369D6F6CAEBB4,STR-146E181369D6F6CAEBB4,1,3.5247647773958715,3.5247647773958715
CLU-A3362F60EB72B774,1,STR-380D6B8618081351E103,STR-380D6B8618081351E103,1,3.0809219076239263,3.0809219076239263
CLU-A59C2BC6789F5C40,1,STR-5324B66A4DD700AAE4E7,STR-5324B66A4DD700AAE4E7,1,5.958607314841775,5.958607314841775
CLU-AE7138208DBEEF35,1,STR-AFCAFF699394AD12BCC9,STR-AFCAFF699394AD12BCC9,1,5.832682665251824,5.832682665251824
CLU-B1352AABBEDF7D98,1,STR-60B002C5D9DEC34E0C3B,STR-60B002C5D9DEC34E0C3B,1,6.040958607678906,6.040958607678906
CLU-B2BE0F4779A80762,1,STR-9FED646BC83A53D2E9C9,STR-9FED646BC83A53D2E9C9,1,6.982966660701219,6.982966660701219
CLU-B49005D081AA392E,1,STR-71A064EE3032A8ED24DA,STR-71A064EE3032A8ED24DA,1,4.530177984021837,4.530177984021837
CLU-B50F75D51C614346,1,STR-D8A1A162FE6EB57E5B09,STR-D8A1A162FE6EB57E5B09,1,4.739928612014925,4.739928612014925
CLU-B7F1FA159A52FDA3,1,STR-6D0825CC395144966D8D,STR-6D0825CC395144966D8D,1,3.913640169325251,3.913640169325251
CLU-B8C438A096B51A07,1,STR-DFE431635A25C35796E2,STR-DFE431635A25C35796E2,1,4.815308569182402,4.815308569182402
