structure_id,smiles,sources,endpoints,assay_families,document_year,observed_p_activity_median,predicted_p_activity_median,residual_observed_minus_predicted,absolute_error,prediction_interval_lower_0.90,prediction_interval_upper_0.90,max_training_tanimoto,nearest_training_smiles,inside_applicability_domain,_inside_domain
STR-69B6B26B9F45D1509A0C,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccccc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,5.619788758288394,6.847526126668408,-1.2277373683800148,1.2277373683800148,5.346832129648661,8.348220123688156,0.8529411554336548,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-CCECBC8279B18ADB4096,CC1(C)CN=C(N2CCN(c3ncnc4sc(CCF)cc34)CC2)S1,ChEMBL,IC50,biochemical_binding,2015.0,6.585026652029182,5.364711812097457,1.2203148399317252,1.2203148399317252,3.864017815077709,6.865405809117204,0.7454545497894287,CCc1cc2c(N3CCCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,True,True
STR-03A6B3C8922F75633A24,O=S(=O)(Cc1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1)NCCO,ChEMBL,IC50,biochemical_binding,2018.0,8.0,6.809018373886244,1.1909816261137562,1.1909816261137562,5.308324376866496,8.309712370905991,0.612500011920929,NS(=O)(=O)Cc1ccc(CN2CCC3(CCN(c4ncnc5cc(CC(F)(F)F)sc45)C3)C2)cc1,False,False
STR-0A56438F09B3E75AAE8B,CCCc1cc2c(N3CCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,ChEMBL,IC50,biochemical_binding,2015.0,6.2941901470183845,5.112976224506824,1.18121392251156,1.18121392251156,3.6122822274870767,6.613670221526572,0.7924528121948242,CCc1cc2c(N3CCCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,True,True
STR-458F60594CF32D1C3B3A,N#Cc1ccc(OCCCN2CCC([C@@](O)(c3cccc(F)c3)c3ccccn3)CC2)cc1,ChEMBL,IC50,biochemical_binding,2014.0,7.045757490560675,5.895079693609765,1.1506777969509097,1.1506777969509097,4.394385696590017,7.395773690629513,0.6969696879386902,N#Cc1ccc(OCCCN2CCC(C(O)(c3cccc(F)c3)C3CCCC3)CC2)cc1,True,True
STR-93B1E6E77462AC33263F,CC(=O)O[C@@H]1CCC[C@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,ChEMBL,IC50,biochemical_binding,2019.0,5.455931955649724,6.602268207783696,-1.1463362521339713,1.1463362521339713,5.101574210763948,8.102962204803443,0.8028169274330139,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,True,True
STR-B1B50BB9C2198BA2F3F2,C=CS(=O)(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,5.97061622231479,7.077360264954059,-1.106744042639269,1.106744042639269,5.5766662679343115,8.578054261973808,0.6363636255264282,N#C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)CCl,True,True
STR-DFFE7919620276588DCE,CC(=O)N1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CCCOc2ccc(C#N)cc2)CC1,PubChem,IC50,biochemical_binding,2023.0,3.9531148091622903,5.010872716476391,-1.0577579073141008,1.0577579073141008,3.5101787194566434,6.511566713496139,0.75,CC(=O)N1CCCC(C(C#N)(c2ccccc2)C2CCN(CCCOc3ccc(C#N)cc3)CC2)C1,True,True
STR-8A96AEE3549DB26F33DD,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,7.795880017344075,6.761699154084883,1.0341808632591922,1.0341808632591922,5.261005157065135,8.26239315110463,0.807692289352417,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-73FF471D050BDA8F68BB,CCc1cc2c(N3CCN(c4ncccn4)CC3)ncnc2s1,PubChem,IC50,biochemical_binding,2023.0,3.6020599913279625,4.630798361128229,-1.0287383698002666,1.0287383698002666,3.130104364108482,6.131492358147977,0.7446808218955994,CCc1cc2c(N3CCN(c4ccccn4)CC3)ncnc2s1,True,True
STR-76F421993337A53D2B7F,N#CCc1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1,ChEMBL,IC50,biochemical_binding,2018.0,7.698970004336019,6.670694176219927,1.028275828116092,1.028275828116092,5.170000179200179,8.171388173239674,0.6000000238418579,FC(F)Cc1cc2c(N3CCC4(CCN(Cc5ccc(N6CCOCC6)cc5)C4)C3)ncnc2s1,False,False
STR-40B1021373C595DF25D7,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C(F)(F)F)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,8.154901959985743,7.128838323699178,1.0260636362865654,1.0260636362865654,5.62814432667943,8.629532320718926,0.8513513803482056,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-025D3FCF7FCF0D4F8D78,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C(C)(C)C)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,6.110138278741811,7.130123808421257,-1.0199855296794462,1.0199855296794462,5.6294298114015096,8.630817805441005,0.8194444179534912,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-EFC43EF5227E2B3C49F1,CC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC1=O,ChEMBL,IC50,biochemical_binding,2013.0,4.97061622231479,5.975667939312472,-1.0050517169976816,1.0050517169976816,4.474973942292724,7.47636193633222,0.7831325531005859,N=C(N)NCCC[C@@H]1NC(=O)C2(CC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,True,True
