year_band,holdout_rows,mae,median_absolute_error
2010-2014,17,0.7141607735737441,0.7527377882788722
2015-2019,51,0.7820761668867255,0.7861248562636467
2020-2024,95,0.7442708881255939,0.7088305633900633
2025-2029,6,0.9226054240766902,0.4926383715896465
