structure_id,endpoint,assay_family,measurements,sources,median_p_activity,min_p_activity,max_p_activity,sd_p_activity,range_log10
STR-49EE11A98D32940D40F8,IC50,in_vivo,3,1,6.978810700930062,6.562249437179612,8.455931955649724,0.995108366658398,1.8936825184701123
STR-972288F8D4D50B5E44FE,IC50,cellular_functional,2,1,6.8278038631574445,5.886056647693163,7.769551078621726,1.3318316844366842,1.8834944309285628
STR-52EA701B6DFFCC4B0B53,IC50,in_vivo,2,1,6.113106777509403,5.180456064458131,7.045757490560675,1.3189672873540466,1.865301426102544
STR-C7F0E76CC5EC752D86FB,IC50,cellular_functional,2,1,6.569531689649953,5.657577319177793,7.481486060122112,1.2896982389871456,1.8239087409443187
STR-1626E26FA9CDEFB597A0,IC50,in_vivo,3,1,7.113509274827518,6.707743928643524,8.522878745280337,0.9526876213267598,1.8151348166368138
STR-094F554E2B0D3487D695,IC50,biochemical_binding,2,1,6.2839966563652006,5.380906669373257,7.187086643357144,1.277162107647349,1.8061799739838875
STR-1E16751A99CB4CD1A2D3,IC50,cellular_functional,2,1,6.703080169459366,5.804100347590767,7.602059991327963,1.271349456386321,1.7979596437371965
STR-C388369FA2BBC8775FB4,IC50,cellular_functional,2,1,6.573150894111913,5.6777807052660805,7.468521082957745,1.2662446644103351,1.7907403776916642
STR-886903E1892E34C67247,IC50,in_vivo,2,1,7.079953856406362,6.211831628858832,7.948076083953893,1.2277102279952599,1.7362444550950613
STR-213F84F38B4A2B9413E0,IC50,cellular_functional,2,1,6.9076542845912,6.045757490560675,7.769551078621726,1.2189061354838593,1.723793588061051
STR-C97629399879B58050D4,IC50,in_vivo,4,1,6.522878745280337,6.443697499232712,8.154901959985743,0.8300481709227842,1.7112044607530308
STR-D294CA925BADF351BAE7,IC50,in_vivo,3,1,7.130768280269024,6.7258421507363195,8.431798275933005,0.8913407991234183,1.7059561251966855
STR-33ECA7BC02C166AF1729,IC50,cellular_functional,2,1,6.761439372640169,5.920818753952375,7.602059991327963,1.1888170797587403,1.6812412373755885
STR-D69A42D7CD9CD1E56E5E,IC50,cellular_functional,2,1,6.606624288927219,5.769551078621726,7.443697499232712,1.1838002867132145,1.6741464206109864
STR-086DEF6151FB4C05C2D4,IC50,in_vivo,3,1,5.876148359032914,5.354577730650908,7.011887159731648,0.8474090991096851,1.6573094290807404
STR-D35A116837336A58B17B,IC50,biochemical_inhibition,2,1,6.260434139783031,5.445147565627945,7.075720713938118,1.1529893303908214,1.630573148310173
STR-624DE6171936672A9284,IC50,cellular_functional,2,1,6.583745543646881,5.769551078621726,7.397940008672037,1.151444854847681,1.6283889300503107
STR-2042EFB3A29E3BAA2452,IC50,in_vivo,2,1,6.411954370472159,5.6020599913279625,7.221848749616356,1.1453636150754607,1.6197887582883936
