structure_id_a,structure_id_b,core_smiles,variable_fragment_a,variable_fragment_b,transformation,core_heavy_atoms,variable_heavy_atoms_a,variable_heavy_atoms_b,p_activity_a,p_activity_b,absolute_delta_pactivity,achiral_morgan_tanimoto,is_activity_cliff,shared_assay_id,shared_document_id,evidence_context_grade
STR-55DFB8550CA6D0317DA0,STR-D67FE3A87A1AC07DC7FF,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc([*:1])c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,F[*:1],CC(C)C[*:1],F[*:1]>>CC(C)C[*:1],56,1,4,7.600326278518962,4.443697499232713,3.1566287792862484,0.8461538461538461,True,True,True,same_assay
STR-A50D555FBD2E6BE12E86,STR-FB20DDC3426AF551283B,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CSC[C@@H]1CCC[C@H]1[*:1],CN(C)C(=O)N[C@H]1CCC[C@@H]1[*:1],CSC[C@@H]1CCC[C@H]1[*:1]>>CN(C)C(=O)N[C@H]1CCC[C@@H]1[*:1],35,8,11,4.769551078621726,7.920818753952375,3.151267675330649,0.6987951807228916,True,True,True,same_assay
STR-6F1C926A5BCCC888A7D5,STR-B56EF6AC340F28C175E6,N#Cc1ccc(N2CC(CN3CCC([C@@](C#N)(c4ccccc4)[C@H]4CCC[C@@H]4[*:1])CC3)C2)cc1,CO[*:1],CNC(=O)O[*:1],CO[*:1]>>CNC(=O)O[*:1],33,2,5,4.815308569182402,7.958607314841775,3.143298745659373,0.7794117647058824,True,True,True,same_assay
STR-3941BFA7C86C7BEE8530,STR-8BAA965F9B38F093E239,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1)[*:1],CNC(=O)O[C@H]1CCC[C@@H]1[*:1],CN([C@@H]1CCC[C@H]1[*:1])S(C)(=O)=O,CNC(=O)O[C@H]1CCC[C@@H]1[*:1]>>CN([C@@H]1CCC[C@H]1[*:1])S(C)(=O)=O,32,10,11,7.853871964321762,4.716698771296451,3.137173193025311,0.6835443037974683,True,True,True,same_assay
STR-72BF5FE38870FA3B6280,STR-B42C6A96CD90C7D4D5BD,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([*:1])C2)C(C)C,CC(C)[C@H](CCO)[*:1],CC(C)[C@@H](CCC(C)(C)N)[*:1],CC(C)[C@H](CCO)[*:1]>>CC(C)[C@@H](CCC(C)(C)N)[*:1],30,7,10,4.051391450123564,7.173925197299173,3.122533747175609,0.85,True,True,True,same_assay
STR-54ED728D29C775C2EEED,STR-A62EFE6B816DF994EE32,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1[*:1],CS(=O)(=O)CO[*:1],COC(=O)N[*:1],CS(=O)(=O)CO[*:1]>>COC(=O)N[*:1],40,6,5,4.841637507904751,7.958607314841775,3.116969806937024,0.7108433734939759,True,True,True,same_assay
STR-72BF5FE38870FA3B6280,STR-BA4B8BF78E2F3EDB8F63,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([*:1])C2)C(C)C,CC(C)[C@H](CCO)[*:1],CC(C)[C@@H](CCNCCC(N)=O)[*:1],CC(C)[C@H](CCO)[*:1]>>CC(C)[C@@H](CCNCCC(N)=O)[*:1],30,7,12,4.051391450123564,7.167491087293763,3.116099637170199,0.8192771084337349,True,True,True,same_assay
STR-80B7C819E96F09B4FE2E,STR-AB1714536DDACDAFACEC,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1)[C@H]1CCC[C@@H]1[*:1],CN(S(C)(=O)=O)[*:1],CC(=O)N[*:1],CN(S(C)(=O)=O)[*:1]>>CC(=O)N[*:1],37,6,4,4.424812155072339,7.537602002101044,3.112789847028705,0.7236842105263158,True,True,True,same_assay
STR-8271C886AE561654AC45,STR-94C191645BE5B0A1978A,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CS(=O)(=O)CO[C@@H]1CCC[C@H]1[*:1],O=C(O[C@H]1CCC[C@@H]1[*:1])C1CC1,CS(=O)(=O)CO[C@@H]1CCC[C@H]1[*:1]>>O=C(O[C@H]1CCC[C@@H]1[*:1])C1CC1,35,11,11,4.634512015109101,7.744727494896693,3.110215479787592,0.7625,True,True,True,same_assay
STR-2CFC8301293C2B82E4A6,STR-B42C6A96CD90C7D4D5BD,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([*:1])C2)C(C)C,CC(=O)NCCC[C@@H](C(C)C)[*:1],CC(C)[C@@H](CCC(C)(C)N)[*:1],CC(=O)NCCC[C@@H](C(C)C)[*:1]>>CC(C)[C@@H](CCC(C)(C)N)[*:1],30,11,10,4.064492734175287,7.173925197299173,3.109432463123886,0.7727272727272727,True,True,True,same_assay
