structure_id_a,structure_id_b,standardized_smiles_a,standardized_smiles_b,p_activity_a,p_activity_b,absolute_delta_pactivity,higher_potency_structure_id,achiral_morgan_tanimoto,chiral_morgan_tanimoto,sali_achiral,achiral_fingerprint_identical,same_connectivity_key,same_scaffold_series,shared_assay_id,shared_document_id,evidence_context_grade
STR-851AFDDDDD073021FE40,STR-E963AE7E2CFE53ED5D83,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CCCOC)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCN(C)C)C(C)C)C2)C(C)C,7.1487416512809245,5.080398976215889,2.0683426750650353,STR-851AFDDDDD073021FE40,0.8117647058823529,0.7333333333333333,10.988070461283,False,False,True,True,True,same_assay
STR-636585A8759358E2930D,STR-BAB280176B241974F757,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccc(C(N)=O)cc4)cc3)C2)CC1,COC(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,8.154901959985743,6.086716098239581,2.068185861746162,STR-636585A8759358E2930D,0.8918918918918919,0.7108433734939759,19.130719221152,False,False,True,True,True,same_assay
STR-40B1021373C595DF25D7,STR-BAB280176B241974F757,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C(F)(F)F)cc3)C2)CC1,COC(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,8.154901959985743,6.086716098239581,2.068185861746162,STR-40B1021373C595DF25D7,0.8513513513513513,0.6746987951807228,13.913250342655996,False,False,False,True,True,same_assay
STR-72C550895A5820A4CDC3,STR-B437BC949901A5D8DC9A,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CC(F)(F)F)C(C)C)C2)C(C)C,CCCN(C)CCC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,4.982549270489464,7.050609993355087,2.0680607228656225,STR-B437BC949901A5D8DC9A,0.8809523809523809,0.8823529411764706,17.371710072071227,False,False,True,True,True,same_assay
STR-288DA5D629242E618088,STR-94607F80C78D17F7F58B,CNC(=O)O[C@@H]1CCC[C@H]1C(CN1CCCC1)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,CNC(=O)O[C@H]1CCC[C@@H]1C(Cn1cccc1)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,5.853871964321762,7.920818753952375,2.066946789630613,STR-94607F80C78D17F7F58B,0.8873239436619719,0.7037037037037037,18.3441527579717,False,False,False,True,True,same_assay
STR-288DA5D629242E618088,STR-298210A977B1E814E254,CNC(=O)O[C@@H]1CCC[C@H]1C(CN1CCCC1)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,CNC(=O)O[C@H]1CCC[C@@H]1C(Cn1ccnc1)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,5.853871964321762,7.920818753952375,2.066946789630613,STR-298210A977B1E814E254,0.8289473684210527,0.6627906976744186,12.083688923994355,False,False,False,True,True,same_assay
STR-97B7AB1532A54CF194EB,STR-BDF33E354DAE4939F700,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](C[C@@H](O)CN(C)C(C)C)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](C[C@H](O)CN(C)C(C)C)C(C)C)C2)C(C)C,4.732593581247096,6.795880017344075,2.0632864360969787,STR-BDF33E354DAE4939F700,1.0,0.8571428571428571,,True,True,True,True,True,same_assay
STR-72C550895A5820A4CDC3,STR-CAD50D46562C0D29D331,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CC(F)(F)F)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CCOC)C(C)C)C2)C(C)C,4.982549270489464,7.045757490560675,2.0632082200712105,STR-CAD50D46562C0D29D331,0.8409090909090909,0.8426966292134831,12.968737383304754,False,False,True,True,True,same_assay
STR-3BD3AAFB21D6F0AE245A,STR-D4CCFA73123FE6C43206,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCCO)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNC(C)=O)C(C)C)C2)C(C)C,4.152489034796752,6.214670164989233,2.0621811301924806,STR-D4CCFA73123FE6C43206,0.8433734939759037,0.7386363636363636,13.166233369690458,False,False,True,True,True,same_assay
STR-3BD3AAFB21D6F0AE245A,STR-3EEB6D80F661CEA479BE,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCCO)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCC(F)(F)F)C(C)C)C2)C(C)C,4.152489034796752,6.214670164989233,2.0621811301924806,STR-3EEB6D80F661CEA479BE,0.813953488372093,0.7142857142857143,11.084223574784584,False,False,True,True,True,same_assay
STR-BB65ACE90322DCB1AF4C,STR-BDF33E354DAE4939F700,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](C[C@H](O)CN(C)C(C)C)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](C[C@H](O)CN(C)C(C)C)C(C)C)C2)C(C)C,4.735182176990463,6.795880017344075,2.060697840353612,STR-BDF33E354DAE4939F700,1.0,0.8795180722891566,,True,True,True,True,True,same_assay
STR-AB1714536DDACDAFACEC,STR-E5059C295BEFCBEAC7A4,CC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,CC(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,7.537602002101044,5.481486060122112,2.0561159419789323,STR-AB1714536DDACDAFACEC,1.0,0.7866666666666666,,True,True,True,True,True,same_assay
STR-72C550895A5820A4CDC3,STR-F0B0F7988A153B3EBBAB,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CC(F)(F)F)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CC(C)(C)O)C(C)C)C2)C(C)C,4.982549270489464,7.031517051446065,2.048967780956601,STR-F0B0F7988A153B3EBBAB,0.8953488372093024,0.896551724137931,19.579025462474192,False,False,True,True,True,same_assay
STR-6D12E542BA59225B503F,STR-86534CE59FD1A258EC1F,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCCC(F)F)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCCCN)C(C)C)C2)C(C)C,7.301029995663981,5.254144804826272,2.046885190837709,STR-6D12E542BA59225B503F,0.813953488372093,0.7142857142857143,11.002007900752686,False,False,True,True,True,same_assay
STR-65405A355B35D329B436,STR-990708AC2AD0842F3BCB,CCC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1OC(N)=O,6.0,8.045757490560675,2.045757490560675,STR-990708AC2AD0842F3BCB,0.8441558441558441,0.6941176470588235,13.126943897764326,False,False,True,True,True,same_assay
STR-94C191645BE5B0A1978A,STR-FD744C47D05214C5E9EE,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1OC(=O)C1CC1,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@@H]1CCC[C@H]1OC(=O)N1CCC1,7.744727494896693,5.698970004336019,2.045757490560674,STR-94C191645BE5B0A1978A,0.8333333333333334,0.686046511627907,12.274544943364049,False,False,False,True,True,same_assay
STR-38C10D94ABD1F231B9D1,STR-FD2C6D69C0E7C03090A5,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)C)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CN)C(C)C)C2)C(C)C,7.022276394711152,4.9779842601822795,2.044292134528873,STR-38C10D94ABD1F231B9D1,0.825,0.8148148148148148,11.681669340164984,False,False,True,True,True,same_assay
STR-8DC5EC4D0143F4C7CD6A,STR-E71EA49855240EBB6F7C,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C(C)(C)C)cc3)C2)CC1,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,7.552841968657781,5.508638306165727,2.0442036624920537,STR-8DC5EC4D0143F4C7CD6A,0.855072463768116,0.6708860759493671,14.105005271195171,False,False,True,True,True,same_assay
STR-38C10D94ABD1F231B9D1,STR-72C550895A5820A4CDC3,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)C)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CC(F)(F)F)C(C)C)C2)C(C)C,7.022276394711152,4.982549270489464,2.039727124221688,STR-38C10D94ABD1F231B9D1,0.8571428571428571,0.8588235294117647,14.278089869551811,False,False,True,True,True,same_assay
STR-7490FDF2026E2906146B,STR-CB25E0AA22D6E282838A,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)C[C@H](COC)OC)C(C)C)C2)C(C)C,CCN(C)C[C@H](C[C@@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1)OC,6.886056647693163,4.8474059220725305,2.0386507256206325,STR-7490FDF2026E2906146B,0.8043478260869565,0.7395833333333334,10.419770375394345,False,False,True,True,True,same_assay
STR-CD94BD50EF1121AE4E8B,STR-F51B7D171A1ED736805D,CCN(C)C[C@H](O)C[C@@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,CCN(C)CCC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,4.92009553233328,6.958607314841775,2.038511782508495,STR-F51B7D171A1ED736805D,0.8117647058823529,0.7415730337078652,10.82959384457638,False,False,True,True,True,same_assay
STR-30E7F50211EE28460DBB,STR-A62EFE6B816DF994EE32,CN(C)C(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,5.920818753952375,7.958607314841775,2.0377885608893997,STR-A62EFE6B816DF994EE32,0.8354430379746836,0.6896551724137931,12.38348433155866,False,False,True,True,True,same_assay
STR-A62EFE6B816DF994EE32,STR-D3545E8919D6A24E9EFC,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,COC(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cnn(C)c4)cc3)C2)CC1,7.958607314841775,5.920818753952375,2.0377885608893997,STR-A62EFE6B816DF994EE32,0.8271604938271605,0.6666666666666666,11.790062388002957,False,False,False,True,True,same_assay
STR-97B7AB1532A54CF194EB,STR-F2780D30E185047C1A28,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](C[C@@H](O)CN(C)C(C)C)C(C)C)C2)C(C)C,CCN(C)C[C@@H](O)C[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,4.732593581247096,6.769551078621726,2.0369574973746296,STR-F2780D30E185047C1A28,0.902439024390244,0.7727272727272727,20.878814348089957,False,False,True,True,True,same_assay
STR-904EC5EDA40AA8AB23C1,STR-E2D66C5668374E3992F5,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(Cl)cc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,7.732828271596986,5.6968039425795105,2.036024329017476,STR-904EC5EDA40AA8AB23C1,0.8255813953488372,0.8160919540229885,11.67320615303353,False,False,True,True,True,same_assay
STR-077D7D9C480B1958E4A3,STR-B362D479FEC6A2A08BC5,CNC(=O)CC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3-c3cncnc3C3CC3)C2)C1,CC(C)[C@@H](CCC(N)=O)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3-c3cncnc3C3CC3)C2)C1,4.224025668870631,6.259637310505756,2.035611641635125,STR-B362D479FEC6A2A08BC5,0.8604651162790697,0.8604651162790697,14.588550098385058,False,False,True,True,True,same_assay
STR-BB65ACE90322DCB1AF4C,STR-F2780D30E185047C1A28,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](C[C@H](O)CN(C)C(C)C)C(C)C)C2)C(C)C,CCN(C)C[C@@H](O)C[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,4.735182176990463,6.769551078621726,2.0343689016312627,STR-F2780D30E185047C1A28,0.902439024390244,0.7931034482758621,20.852281241720448,False,False,True,True,True,same_assay
