PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,GENE_SYMBOL,siRNA_ID,ZScoreRepA,ZScoreRepB,ZScoreRepC,ZScoreRepD,PUBCHEM_NCBI_GENE_ID
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,TARGET_NCBI_GENE_ID
RESULT_DESCR,,,,,,,,Gene Symbol,Reagent Identifier,EdUZscore,EdUZscore,EdUZscore,EdUZscore,
1354,164223011,,,Inactive,,,,ZAK,SI02665481,-0.570105,0.380426,1.19117,-0.388452,51776
1355,164223012,,,Inactive,,,,ZBTB1,SI04155823,-1.20132,-0.0260265,-0.541587,-0.919336,22890
1356,164223013,,,Inactive,,,,ZBTB1,SI04151770,0.802772,1.68059,-0.484281,-0.13191,22890
1357,164223014,,,Active,,,,ZFAT,SI04294500,-1.34442,-1.97162,-3.97244,-0.0512596,57623
1358,164223015,,,Active,,,,ZFAT,SI04195632,0.0500225,-0.269156,-2.27332,0.139493,57623
1359,164223016,,,Active,,,,ZNF142,SI04154017,-0.664158,-2.31677,-0.514028,-0.775411,7701
1360,164223017,,,Inactive,,,,ZNF142,SI04148949,1.35253,2.23154,1.1406,-0.600652,7701
1361,164223018,,,Active,,,,ZNF319,SI04160863,-2.46608,-0.756548,-0.713822,-0.385715,57567
1362,164223019,,,Inactive,,,,ZNF319,SI00772226,0.252054,1.59682,-0.274475,0.183721,57567
1363,164223020,,,Active,,,,ZNF408,SI04131155,-0.683112,-2.19481,-0.912786,-0.304286,79797
1364,164223021,,,Inactive,,,,ZNF408,SI00773507,0.664594,2.54647,1.69943,2.71475,79797
1365,164223022,,,Inactive,,,,ZNF488,SI04313449,-0.0365006,0.344315,-0.738641,-0.507757,118738
1366,164223023,,,Inactive,,,,ZNF488,SI04149313,0.66104,0.450044,1.4419,0.372034,118738
1367,164223024,,,Active,,,,ZNF521,SI00775516,-0.128003,0.948976,-3.22621,-0.609616,25925
1368,164223025,,,Inactive,,,,ZNF521,SI04225151,0.499912,1.58838,-1.09065,0.937954,25925
1369,164223026,,,Inactive,,,,ZNF93,SI03153416,-0.437842,-1.52594,-0.823422,-0.0279968,81931
1370,164223027,,,Inactive,,,,ZNF93,SI03121531,0.0354306,2.56416,0.19214,0.700374,81931
1371,164223028,,,Active,,,,ZNFX1,SI04208022,-2.7181,-2.37007,-2.056,-2.173,57169
1372,164223029,,,Active,,,,ZNFX1,SI00458493,-1.17821,-2.08779,0.0366964,1.61824,57169
1373,164223030,,,Active,,,,ZNRF1,SI00142611,-0.425148,-2.06705,-0.759138,0.00383027,84937
1374,164223031,,,Inactive,,,,ZNRF1,SI00142597,-0.263392,-1.0025,0.324643,0.850326,84937
1375,164223032,,,Inactive,,,,ZNRF2,SI02758238,0.397797,-0.827514,-0.893899,-0.93899,223082
1376,164223033,,,Inactive,,,,ZNRF2,SI00153713,0.545159,1.30172,-0.714269,0.529875,223082
1377,164223034,,,Active,,,,ZW10,SI02653560,-1.99104,-2.57256,-0.838938,-1.32587,9183
1378,164223035,,,Inactive,,,,ZW10,SI02653231,-1.50886,1.68063,-0.772447,-1.27439,9183
1379,164223036,,,Active,,,,ZWINT,SI02653154,-0.307334,-1.26876,-5.39376,-0.493125,11130
1380,164223037,,,Inactive,,,,ZWINT,SI02654365,0.302836,-0.209061,-0.0120942,0.590586,11130
