PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,GENE_SYMBOL,siRNA_ID,ZScoreRepA,ZScoreRepB,ZScoreRepC,ZScoreRepD,PUBCHEM_NCBI_GENE_ID
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,TARGET_NCBI_GENE_ID
RESULT_DESCR,,,,,,,,Gene Symbol,Reagent Identifier,EdUZscore,EdUZscore,EdUZscore,EdUZscore,
136,164221793,,,Inactive,,,,CDC34,SI00340963,0.886337,2.54115,-0.19125,0.211433,997
137,164221794,,,Active,,,,CDC45L,SI02652902,-3.03302,0.0060624,-1.74819,-0.0371298,8318
138,164221795,,,Inactive,,,,CDC45L,SI02653609,-1.35721,1.7967,-0.611666,0.0940343,8318
139,164221796,,,Active,,,,CDC6,SI00341264,0.229962,-2.14421,-1.38359,-1.2454,990
140,164221797,,,Inactive,,,,CDC6,SI00341278,0.735628,-0.0692244,0.792541,1.59959,990
141,164221798,,,Active,,,,CDC7,SI00052640,-0.230238,-0.668658,-1.93667,-2.1315,8317
142,164221799,,,Inactive,,,,CDC7,SI00052647,0.429373,0.826035,-1.08617,-1.70583,8317
143,164221800,,,Active,,,,CDCA5,SI02757965,-1.50186,-2.66793,-0.118425,-2.45387,113130
144,164221801,,,Inactive,,,,CDCA5,SI02757972,0.61779,-0.30631,0.0498344,-1.51441,113130
145,164221802,,,Active,,,,CDK2,SI02654631,0.0403479,-1.65046,-1.8405,-2.22184,1017
146,164221803,,,Inactive,,,,CDK2,SI02654638,0.105613,-1.58424,-1.6474,-1.21432,1017
147,164221804,,,Inactive,,,,CDK2AP1,SI00341964,-1.04802,-1.1185,-1.16203,-0.939505,8099
148,164221805,,,Inactive,,,,CDK2AP1,SI03184048,0.484401,1.01912,-0.325679,2.23568,8099
149,164221806,,,Active,,,,CDK7,SI00287399,-0.497009,-1.74735,-2.09648,-0.660693,1022
150,164221807,,,Inactive,,,,CDK7,SI00287392,0.604721,0.740315,-0.0399789,-0.643365,1022
151,164221808,,,Active,,,,CDKN1A,SI00299810,-3.0999,-2.36729,-1.79709,-0.216243,1026
152,164221809,,,Inactive,,,,CDKN1A,SI00604898,-1.7672,2.3273,-1.73375,1.61325,1026
153,164221810,,,Active,,,,CDKN2D,SI00287707,-0.963284,-4.27779,-2.24017,-0.248878,1032
154,164221811,,,Inactive,,,,CDKN2D,SI00287714,-0.864271,-0.735355,-1.36661,1.00386,1032
155,164221812,,,Inactive,,,,CDT1,SI03124842,-1.26444,-1.93434,-0.709882,-0.496886,81620
156,164221813,,,Inactive,,,,CDT1,SI00342384,0.768951,-1.86468,-0.45088,-0.358739,81620
157,164221814,,,Active,,,,CEBPG,SI02777306,-0.528158,-2.37666,-1.62693,0.329963,1054
158,164221815,,,Inactive,,,,CEBPG,SI02777299,1.03746,-0.470324,-1.4661,0.601734,1054
159,164221816,,,Active,,,,CENPH,SI02654379,-0.582545,-2.74405,-0.863904,-1.04341,64946
160,164221817,,,Inactive,,,,CENPH,SI02654386,0.853,-0.805806,-0.0578411,1.47477,64946
161,164221818,,,Inactive,,,,CEP250,SI00343630,-0.574703,-0.503373,-1.60644,-0.397178,11190
162,164221819,,,Inactive,,,,CEP250,SI04154640,4.59229,3.43345,0.30303,-0.257642,11190
163,164221820,,,Inactive,,,,CHAF1A,SI03163699,-0.787245,-1.2489,-1.47684,0.231298,10036
164,164221821,,,Inactive,,,,CHAF1A,SI04219999,0.164171,1.3831,-0.139683,0.856029,10036
165,164221822,,,Active,,,,CHAF1B,SI02652944,-0.881244,-2.72193,-3.52028,-0.762975,8208
166,164221823,,,Active,,,,CHAF1B,SI02653539,0.0186279,-2.48052,0.0884323,0.57384,8208
167,164221824,,,Active,,,,CHD1,SI00024535,0.157728,-0.40037,-1.54181,-2.79066,1105
168,164221825,,,Inactive,,,,CHD1,SI00024528,0.171433,0.659652,0.164644,0.652885,1105
169,164221826,,,Active,,,,CHD2,SI03156944,-1.09923,-2.88293,0.0692052,-1.14322,1106
170,164221827,,,Inactive,,,,CHD2,SI03178343,-0.517643,-0.771045,1.30431,1.195,1106
171,164221828,,,Inactive,,,,CHD3,SI02777341,-1.19121,-0.644454,-1.08485,1.55416,1107
172,164221829,,,Inactive,,,,CHD3,SI00345555,-0.954842,1.98031,-0.149236,2.79243,1107
173,164221830,,,Inactive,,,,CHD5,SI04193476,-0.877445,-0.761887,-0.921641,-0.620869,26038
174,164221831,,,Inactive,,,,CHD5,SI04194372,0.721176,3.18392,-0.722719,2.58569,26038
175,164221832,,,Active,,,,CHD6,SI04277504,-2.75164,-12.3238,-0.645487,-1.31755,84181
176,164221833,,,Inactive,,,,CHD6,SI04188856,-0.979875,0.306482,0.390739,-1.22195,84181
177,164221834,,,Active,,,,CHD7,SI04148697,-1.05575,-0.424308,-2.54115,-0.734047,55636
178,164221835,,,Inactive,,,,CHD7,SI04157510,-0.51188,2.28613,-0.374255,0.876419,55636
179,164221836,,,Active,,,,CHD8,SI04196871,-1.14462,-0.25225,-5.10327,-0.737029,57680
180,164221837,,,Inactive,,,,CHD8,SI03190488,-0.0662772,2.256,0.783372,0.342474,57680
181,164221838,,,Active,,,,CHEK1,SI00299859,-2.51513,-1.9859,-0.212452,-1.18717,1111
182,164221839,,,Inactive,,,,CHEK1,SI02660007,1.65832,-1.19753,0.19955,0.676095,1111
183,164221840,,,Active,,,,CHEK2,SI02655422,-3.09627,-1.41183,-2.16308,-1.76206,11200
184,164221841,,,Inactive,,,,CHEK2,SI02224271,-0.297931,0.700769,-0.154905,4.39781,11200
185,164221842,,,Active,,,,CHRAC1,SI04141249,-0.492902,-4.93673,-1.48012,0.628972,54108
186,164221843,,,Inactive,,,,CHRAC1,SI04189570,-0.172104,2.93721,1.06635,1.02499,54108
187,164221844,,,Inactive,,,,CIB1,SI04348673,0.542246,-1.1594,-1.00752,0.103904,10519
188,164221845,,,Inactive,,,,CIB1,SI03019366,2.00622,0.106236,-0.0755184,0.30192,10519
189,164221846,,,Active,,,,CIDEA,SI00024682,-3.13379,1.00156,-1.79918,0.399951,1149
190,164221847,,,Inactive,,,,CIDEA,SI00024689,-1.56966,1.81364,-0.717149,1.17833,1149
191,164221848,,,Inactive,,,,CIDEB,SI02640589,-1.16644,-0.462845,0.00509262,-1.1385,27141
192,164221849,,,Inactive,,,,CIDEB,SI02640596,-0.948271,1.22782,0.314245,2.63447,27141
193,164221850,,,Inactive,,,,CREBBP,SI02622648,0.103666,0.674616,-1.94519,0.107596,1387
194,164221851,,,Inactive,,,,CREBBP,SI02633085,0.586565,1.00227,-0.930737,2.22646,1387
195,164221852,,,Active,,,,CRY1,SI02757370,0.739585,-2.04726,-2.18949,-0.602704,1407
196,164221853,,,Inactive,,,,CRY1,SI00059416,2.09033,-0.462499,-0.585079,1.20272,1407
197,164221854,,,Inactive,,,,CRY2,SI00354473,-0.254394,-1.30416,-1.32979,-0.373814,1408
198,164221855,,,Inactive,,,,CRY2,SI00354480,0.264127,-0.685255,-0.724301,-0.0467661,1408
199,164221856,,,Active,,,,CSNK1D,SI00287413,0.0226261,-2.15135,-2.84076,-1.52285,1453
200,164221857,,,Inactive,,,,CSNK1D,SI00287406,0.321066,-1.72934,-0.405748,-0.485084,1453
201,164221858,,,Active,,,,CSNK1E,SI00287735,-0.23514,-3.10036,-1.37397,-1.75715,1454
202,164221859,,,Inactive,,,,CSNK1E,SI00287728,0.126291,0.951616,-0.0868377,0.421009,1454
203,164221860,,,Active,,,,CTGF,SI00029673,-1.35236,0.735212,-2.9474,0.418449,1490
204,164221861,,,Inactive,,,,CTGF,SI00029680,-0.525611,1.50723,-0.324606,0.419017,1490
205,164221862,,,Inactive,,,,CUL4A,SI04245465,0.638983,0.259447,-1.32895,0.177598,8451
206,164221863,,,Inactive,,,,CUL4A,SI03144484,0.924736,1.20834,0.436222,1.30489,8451
207,164221864,,,Active,,,,CUL4B,SI03162215,-3.1587,0.672944,-0.806888,1.0459,8450
208,164221865,,,Inactive,,,,CUL4B,SI04215015,-0.607708,3.27355,-0.159284,1.05017,8450
209,164221866,,,Inactive,,,,DBF4,SI02622284,0.588127,-1.21985,-1.48209,-0.798538,10926
210,164221867,,,Inactive,,,,DBF4,SI02660574,1.03575,0.384173,-0.76402,4.36545,10926
211,164221868,,,Inactive,,,,DCLRE1A,SI02663801,-1.64268,-0.494636,0.244316,-0.736864,9937
212,164221869,,,Inactive,,,,DCLRE1A,SI00108591,-0.72531,4.42935,0.87088,1.98275,9937
213,164221870,,,Active,,,,DCLRE1B,SI02778699,-1.65801,-0.564069,-3.7551,-0.272868,64858
214,164221871,,,Inactive,,,,DCLRE1B,SI02778692,0.792997,1.38042,-0.439435,0.648174,64858
215,164221872,,,Active,,,,DCLRE1C,SI02645286,-1.5472,-0.421572,-2.26443,-1.76243,64421
216,164221873,,,Inactive,,,,DCLRE1C,SI00133945,1.30749,2.77537,-1.16624,-1.21561,64421
217,164221874,,,Inactive,,,,DDB1,SI02663402,0.126498,-1.4232,-0.904833,0.196213,1642
218,164221875,,,Inactive,,,,DDB1,SI00030016,0.57526,0.0752554,1.72899,1.09682,1642
219,164221876,,,Inactive,,,,DDB2,SI02780323,-1.16319,-0.992374,-1.50258,-1.6939,1643
220,164221877,,,Inactive,,,,DDB2,SI02664823,-0.668823,-0.264615,-0.0922438,-0.235857,1643
221,164221878,,,Active,,,,DDIT3,SI00059535,-0.671313,-2.13154,-2.08853,-2.33027,1649
222,164221879,,,Inactive,,,,DDIT3,SI00059528,-0.38123,-1.73833,-0.285287,-0.229086,1649
223,164221880,,,Active,,,,DDX11,SI04339048,-2.47827,-2.52351,-0.385675,-1.44296,1663
224,164221881,,,Inactive,,,,DDX11,SI04353132,0.104858,0.321625,-0.0962671,0.203023,1663
225,164221882,,,Active,,,,DDX12,SI03190838,-0.205745,-2.61175,-5.51097,-1.85115,440081
226,164221883,,,Inactive,,,,DDX12,SI02819726,1.14913,-1.98861,0.838209,-0.129572,440081
227,164221884,,,Active,,,,DFFB,SI00362985,-1.40791,-3.82529,0.122426,-0.857517,1677
228,164221885,,,Inactive,,,,DFFB,SI00362992,0.315547,1.42486,2.16885,0.308873,1677
229,164221886,,,Active,,,,DIAPH1,SI00073927,-2.23901,-0.848961,-0.838631,-1.74845,1729
230,164221887,,,Inactive,,,,DIAPH1,SI00073920,-1.4633,2.26089,0.426475,-0.444827,1729
231,164221888,,,Inactive,,,,DKC1,SI00364581,-0.0122845,0.658484,-1.61625,-0.769006,1736
232,164221889,,,Inactive,,,,DKC1,SI00364602,1.4018,0.933631,0.0750251,-0.296276,1736
233,164221890,,,Active,,,,DKFZP686M0199,SI03671493,-1.80539,-2.72545,-3.58215,-0.153691,
234,164221891,,,Inactive,,,,DKFZP686M0199,SI03671486,-0.0761649,5.02863,0.406502,1.70406,
235,164221892,,,Inactive,,,,DLGAP5,SI02654169,0.0327998,2.81508,-0.556562,-1.2615,9787
236,164221893,,,Inactive,,,,DLGAP5,SI02653553,0.0722265,3.46697,-0.242902,1.01144,9787
237,164221894,,,Active,,,,DMC1,SI00094374,-2.25001,1.09067,-2.15885,-1.06733,11144
238,164221895,,,Inactive,,,,DMC1,SI00094367,-1.91936,3.56157,-0.461945,0.0326239,11144
239,164221896,,,Inactive,,,,DNA2,SI04293989,-1.44239,-1.18951,-1.4957,-1.21063,1763
240,164221897,,,Inactive,,,,DNA2,SI00370475,0.788168,-0.0639454,-0.584914,0.89464,1763
241,164221898,,,Active,,,,DNMT1,SI02663409,-0.877949,0.540922,-2.49669,-3.65456,1786
242,164221899,,,Inactive,,,,DNMT1,SI00300062,0.213639,1.95515,-0.65517,0.686145,1786
243,164221900,,,Active,,,,DNMT3A,SI02665278,-1.2658,-2.26,-0.604887,0.511555,1788
244,164221901,,,Inactive,,,,DNMT3A,SI02665271,-0.299854,0.203448,-0.546134,1.71145,1788
245,164221902,,,Inactive,,,,DNMT3B,SI00092967,-1.67196,-0.458228,-0.175187,-1.94351,1789
246,164221903,,,Inactive,,,,DNMT3B,SI00092974,2.77919,1.44212,0.484284,-0.254328,1789
247,164221904,,,Active,,,,DNTT,SI04173022,-2.01051,-2.94701,-0.869958,0.0755057,1791
248,164221905,,,Inactive,,,,DNTT,SI04161843,-1.2946,0.609847,0.49403,0.858448,1791
249,164221906,,,Active,,,,DTL,SI03098718,-1.84552,0.400139,-3.0333,-1.59434,51514
250,164221907,,,Inactive,,,,DTL,SI02777684,0.209749,1.24409,-1.05688,0.697379,51514
251,164221908,,,Active,,,,DUT,SI00030380,-1.82414,-0.561458,-2.9167,0.717281,1854
252,164221909,,,Active,,,,DUT,SI00030387,0.704939,1.87627,-2.25417,0.736898,1854
253,164221910,,,Inactive,,,,DYRK2,SI00053298,0.257639,-0.652122,0.530087,-1.05507,8445
254,164221911,,,Inactive,,,,DYRK2,SI00053291,3.98773,1.76281,0.899047,-0.81644,8445
255,164221912,,,Active,,,,E4F1,SI00375578,0.139764,-1.93217,-1.01538,-2.06045,1877
256,164221913,,,Inactive,,,,E4F1,SI00375571,0.939455,1.41383,-0.41928,0.704828,1877
257,164221914,,,Active,,,,EEF1E1,SI02654246,-1.25758,-2.75132,0.265921,-2.499,9521
258,164221915,,,Inactive,,,,EEF1E1,SI00062097,0.86197,-1.61996,1.25687,1.21627,9521
259,164221916,,,Inactive,,,,EGF,SI00030667,-0.434548,0.221647,-0.80609,-0.958733,1950
260,164221917,,,Inactive,,,,EGF,SI00030674,0.0365502,1.66899,1.18821,0.812824,1950
261,164221918,,,Active,,,,EHMT1,SI00137060,-1.62231,-4.0144,-1.20018,-1.15741,79813
262,164221919,,,Inactive,,,,EHMT1,SI02778923,1.24374,3.35059,0.659799,-0.354892,79813
263,164221920,,,Inactive,,,,ELN,SI00010640,-0.791172,0.205658,-1.82489,-0.875896,2006
264,164221921,,,Inactive,,,,ELN,SI04382119,0.333092,2.42567,-1.12201,0.665022,2006
265,164221922,,,Inactive,,,,EME1,SI03132164,-0.510803,-1.21347,-1.88485,-1.2834,146956
266,164221923,,,Inactive,,,,EME1,SI00379211,0.526834,0.106012,0.0823916,1.73053,146956
267,164221924,,,Active,,,,ENPP7,SI00379911,1.55777,-2.58161,-4.561,0.519464,339221
268,164221925,,,Inactive,,,,ENPP7,SI00379918,1.84147,1.15872,-0.743981,2.01259,339221
269,164221926,,,Active,,,,EPC2,SI00380443,-2.12313,-1.67714,-1.14455,-0.016604,26122
270,164221927,,,Inactive,,,,EPC2,SI00380429,0.471467,-1.11927,-0.707226,0.401058,26122
271,164221928,,,Active,,,,ERCC1,SI02663423,-2.29363,-2.36196,-3.12458,-2.04417,2067
272,164221929,,,Inactive,,,,ERCC1,SI02663430,1.52441,-0.707109,-0.650288,-0.465711,2067
273,164221930,,,Inactive,,,,ERCC2,SI02663437,-0.686533,-1.23167,0.210966,-1.05024,2068
274,164221931,,,Inactive,,,,ERCC2,SI00008799,-0.206813,3.52414,0.843214,-0.257767,2068
275,164221932,,,Active,,,,ERCC3,SI00002422,0.0260424,0.430936,-1.0319,-2.81251,2071
276,164221933,,,Inactive,,,,ERCC3,SI02663444,0.306361,1.60662,0.197645,1.08178,2071
277,164221934,,,Active,,,,ERCC4,SI02634758,-1.0177,-2.07554,-4.86513,-1.37916,2072
278,164221935,,,Inactive,,,,ERCC4,SI00074221,0.344048,-1.37124,-0.865833,-0.208215,2072
279,164221936,,,Active,,,,ERCC5,SI00002457,-0.404542,-2.36966,-3.13975,-0.0875559,2073
280,164221937,,,Inactive,,,,ERCC5,SI00002450,1.31025,-0.190531,-0.739151,0.182116,2073
281,164221938,,,Active,,,,ERCC6,SI03064075,0.224901,-2.2947,-1.8188,-0.417199,2074
282,164221939,,,Inactive,,,,ERCC6,SI00002485,1.21521,0.160667,2.10599,0.410056,2074
283,164221940,,,Active,,,,ERCC8,SI00001617,-1.14132,-3.58577,-1.68536,-0.0303164,1161
284,164221941,,,Inactive,,,,ERCC8,SI02664802,2.23834,1.51432,-1.12441,0.0325926,1161
285,164221942,,,Active,,,,EREG,SI03019387,-1.67188,-0.809849,-4.96168,-0.799009,2069
286,164221943,,,Inactive,,,,EREG,SI04199244,0.119577,-0.265947,-1.88544,0.773139,2069
287,164221944,,,Active,,,,ESCO1,SI04185538,-4.50484,0.00596466,-1.69445,-0.937498,114799
288,164221945,,,Active,,,,ESCO1,SI04192265,-2.75193,3.23858,-0.467509,1.87113,114799
289,164221946,,,Inactive,,,,ESCO2,SI04712274,-0.469369,-0.6987,0.0619991,-0.995207,157570
290,164221947,,,Inactive,,,,ESCO2,SI04369645,0.4399,-0.484302,0.394463,0.815686,157570
291,164221948,,,Active,,,,ESPL1,SI00099008,-2.55704,1.41197,-1.81032,-1.34137,9700
292,164221949,,,Inactive,,,,ESPL1,SI00099001,1.12392,1.84897,-0.973928,1.23819,9700
293,164221950,,,Active,,,,EXDL2,SI00318486,-0.496821,-4.46938,-0.515388,0.409734,55218
294,164221951,,,Inactive,,,,EXDL2,SI04175311,-0.437896,-1.15239,-0.222884,0.940895,55218
295,164221952,,,Inactive,,,,EXO1,SI02665145,-0.251102,-0.517917,-1.03694,-1.87715,9156
296,164221953,,,Inactive,,,,EXO1,SI02665138,0.825727,1.64082,-0.795015,-0.522173,9156
297,164221954,,,Inactive,,,,EZH1,SI00031017,-1.12571,1.34639,-1.33535,-0.665248,2145
298,164221955,,,Inactive,,,,EZH1,SI00031010,-0.170041,2.12624,0.352027,0.34903,2145
299,164221956,,,Active,,,,EZH2,SI00063959,-1.82954,-0.905506,-3.5247,-1.66566,2146
300,164221957,,,Active,,,,EZH2,SI02665166,-0.236241,2.63566,-2.60895,0.383362,2146
301,164221958,,,Inactive,,,,FAM120A,SI00333816,-1.94454,0.476749,0.0982478,-1.99676,23196
302,164221959,,,Inactive,,,,FAM120A,SI03126235,1.40773,1.64527,0.317778,-1.1745,23196
303,164221960,,,Active,,,,FAM120B,SI04181289,-1.52722,-1.12929,-4.1276,-0.478942,84498
304,164221961,,,Inactive,,,,FAM120B,SI04185482,0.92766,2.4338,-0.803835,0.399257,84498
305,164221962,,,Active,,,,FAM164A,SI04241300,0.713929,-3.39715,-1.80707,0.975375,51101
306,164221963,,,Inactive,,,,FAM164A,SI04182892,0.8443,0.414932,0.633353,1.4296,51101
307,164221964,,,Inactive,,,,FANCA,SI03045147,-0.828836,-0.0101064,0.115567,-0.599672,2175
308,164221965,,,Inactive,,,,FANCA,SI03031084,1.18941,0.515485,0.361397,1.45302,2175
309,164221966,,,Active,,,,FANCB,SI00384664,1.26912,-2.32754,-5.82436,-1.08238,2187
310,164221967,,,Inactive,,,,FANCB,SI04235308,1.52075,-1.2503,-0.617668,0.26726,2187
311,164221968,,,Inactive,,,,FANCC,SI00002786,-1.17675,-1.95205,-1.92962,-0.908417,2176
312,164221969,,,Inactive,,,,FANCC,SI00002793,1.89774,4.89456,0.250736,0.668006,2176
313,164221970,,,Inactive,,,,FANCD2,SI00145292,-0.164104,0.142901,-0.958763,-0.760232,2177
314,164221971,,,Inactive,,,,FANCD2,SI00145306,0.167751,1.94507,-0.679448,1.00618,2177
315,164221972,,,Active,,,,FANCE,SI00131411,0.442218,0.734932,-3.09159,-1.21566,2178
316,164221973,,,Inactive,,,,FANCE,SI00131404,2.29508,1.51564,0.332347,-0.137123,2178
317,164221974,,,Inactive,,,,FANCF,SI00134162,-1.14235,0.00649693,-0.782803,-0.509642,2188
318,164221975,,,Inactive,,,,FANCF,SI00134155,-0.376549,1.78636,-0.584904,0.269876,2188
319,164221976,,,Inactive,,,,FANCG,SI00066241,-0.841548,1.07739,-1.92695,0.339856,2189
320,164221977,,,Inactive,,,,FANCG,SI00066248,-0.278053,1.99334,0.0991848,2.54076,2189
321,164221978,,,Active,,,,FANCL,SI04288361,0.378717,-4.51027,-1.41224,-0.716674,55120
322,164221979,,,Inactive,,,,FANCL,SI03019121,3.96123,-1.52931,1.2235,-0.381547,55120
323,164221980,,,Inactive,,,,FANCM,SI04158280,-0.710323,0.57195,-1.60466,-1.70619,57697
324,164221981,,,Inactive,,,,FANCM,SI04172672,-0.708652,3.12384,1.40751,-0.787821,57697
325,164221982,,,Active,,,,FBXO18,SI00144515,0.219857,1.45863,-3.13541,-0.93161,84893
326,164221983,,,Inactive,,,,FBXO18,SI00144501,0.599292,3.66971,-0.610222,0.567253,84893
327,164221984,,,Inactive,,,,FEN1,SI02663451,-1.5502,0.958725,-1.29999,-1.45464,2237
328,164221985,,,Inactive,,,,FEN1,SI00059794,0.404955,1.25906,-0.571926,1.29615,2237
329,164221986,,,Inactive,,,,FHIT,SI00387072,-0.381872,-0.276037,-0.981251,-0.182832,2272
330,164221987,,,Inactive,,,,FHIT,SI00387065,-0.112583,1.26593,-0.229234,0.882929,2272
331,164221988,,,Inactive,,,,FLJ35220,SI00158480,0.170528,-0.670415,-1.81994,-0.458637,
332,164221989,,,Inactive,,,,FLJ35220,SI00158494,0.303969,1.79563,-1.60361,1.01814,
333,164221990,,,Inactive,,,,FOXN3,SI00073647,-1.78281,0.193055,-0.21766,-0.350793,1112
334,164221991,,,Inactive,,,,FOXN3,SI03087224,0.0547773,2.69598,0.25391,0.106065,1112
335,164221992,,,Active,,,,FOXO3,SI00421092,-0.0685141,-4.66966,-0.872041,0.870086,2309
336,164221993,,,Inactive,,,,FOXO3,SI00421106,0.0882983,-0.0413684,-0.826054,0.898325,2309
337,164221994,,,Active,,,,FOXP3,SI00421197,-0.54607,-2.53401,-2.32289,-0.720045,50943
338,164221995,,,Active,,,,FOXP3,SI00421176,0.635498,3.21401,-2.18042,0.892178,50943
339,164221996,,,Active,,,,GADD45A,SI00300293,-1.93048,-3.08522,-1.2305,-2.2788,1647
340,164221997,,,Inactive,,,,GADD45A,SI00300279,-0.262588,1.20063,-0.600098,-1.61128,1647
341,164221998,,,Inactive,,,,GADD45G,SI00423416,-0.629378,-0.487351,-1.71329,1.68873,10912
342,164221999,,,Inactive,,,,GADD45G,SI00423423,-0.137038,1.07778,-1.3419,2.21191,10912
343,164222000,,,Active,,,,GCN5L2,SI00426125,-0.68087,-1.76736,-1.5162,-2.28972,2648
344,164222001,,,Inactive,,,,GCN5L2,SI00426118,-0.585086,1.83333,-0.801792,-1.34208,2648
345,164222002,,,Active,,,,GEN1,SI00414757,-2.12848,-0.0550493,-0.119208,-0.648939,348654
346,164222003,,,Inactive,,,,GEN1,SI04153870,-0.20832,2.73775,0.0684722,-0.621287,348654
347,164222004,,,Active,,,,GINS1,SI03195164,-0.554852,-6.83939,-1.0547,1.19806,9837
348,164222005,,,Active,,,,GINS1,SI03245676,0.913037,-2.0804,-0.959308,2.81146,9837
349,164222006,,,Active,,,,GINS2,SI02653056,-1.09892,-5.40652,-1.56959,0.576452,51659
350,164222007,,,Inactive,,,,GINS2,SI02653581,-0.789416,0.622028,-0.322351,1.61921,51659
351,164222008,,,Inactive,,,,GIYD1,SI02826411,-0.414349,-0.165584,-1.22533,-0.137932,548593
352,164222009,,,Inactive,,,,GIYD1,SI02826404,0.155651,1.22707,-1.13056,0.593768,548593
353,164222010,,,Inactive,,,,GIYD2,SI04326903,0.753641,-0.783476,-1.14357,-0.849707,79008
354,164222011,,,Inactive,,,,GIYD2,SI03212314,1.27281,0.736289,-0.272874,-0.0928089,79008
355,164222012,,,Active,,,,GLI1,SI00074802,-1.94558,-0.315521,-2.02786,-0.727651,2735
356,164222013,,,Inactive,,,,GLI1,SI00074795,1.14851,1.57988,0.533481,1.09805,2735
357,164222014,,,Inactive,,,,GML,SI00032186,-1.65479,0.339033,-0.8123,-1.08379,2765
358,164222015,,,Inactive,,,,GML,SI00032179,-0.447061,2.36558,-0.501216,0.868136,2765
359,164222016,,,Inactive,,,,GMNN,SI02653987,-0.806147,-0.811755,-1.99782,-1.12633,51053
360,164222017,,,Inactive,,,,GMNN,SI02653805,-0.676764,1.41727,-0.533504,-1.03538,51053
361,164222018,,,Inactive,,,,GNL1,SI04133248,-1.51387,0.596168,-0.255473,-1.10243,2794
362,164222019,,,Inactive,,,,GNL1,SI03209479,0.0148714,1.187,-0.201836,0.88571,2794
363,164222020,,,Active,,,,GPR158,SI00127645,-0.780645,0.530288,-0.641722,-2.55249,57512
364,164222021,,,Inactive,,,,GPR158,SI02644250,0.307844,3.47891,0.282869,2.0576,57512
365,164222022,,,Active,,,,GTF2H1,SI00075698,-1.84494,-1.10679,-2.56476,-1.40171,2965
366,164222023,,,Inactive,,,,GTF2H1,SI02664830,-0.128249,-0.869382,-0.536957,-0.884455,2965
367,164222024,,,Active,,,,GTF2H2,SI00432061,-1.56982,-0.384137,-4.84663,-0.646839,2966
368,164222025,,,Inactive,,,,GTF2H2,SI03051426,-1.03236,0.327567,-0.453198,-0.402489,2966
369,164222026,,,Active,,,,GTF2H3,SI00432075,0.59669,-0.687944,-2.48694,-0.311407,2967
370,164222027,,,Inactive,,,,GTF2H3,SI00432068,0.790345,-0.60282,1.14077,3.30152,2967
371,164222028,,,Active,,,,GTF2H4,SI00432096,-1.07432,-2.32094,-1.37748,-2.60243,2968
372,164222029,,,Inactive,,,,GTF2H4,SI00432103,-0.39141,1.67242,-0.37706,-1.45007,2968
373,164222030,,,Active,,,,GTF2H5,SI00432124,-1.27769,-4.19268,-2.71058,-0.615861,404672
374,164222031,,,Inactive,,,,GTF2H5,SI00432131,0.410154,-0.266733,0.157324,-0.404318,404672
375,164222032,,,Inactive,,,,GTPBP4,SI02639420,-0.482431,0.926843,-1.34851,-1.53936,23560
376,164222033,,,Inactive,,,,GTPBP4,SI00099547,0.0628752,3.10899,0.788715,0.769396,23560
377,164222034,,,Active,,,,GTSE1,SI02653028,0.0805089,-1.33978,-2.64558,-0.775973,51512
378,164222035,,,Inactive,,,,GTSE1,SI02653714,0.781528,-0.72653,-1.19034,2.59588,51512
379,164222036,,,Active,,,,H1FX,SI04156810,-0.329867,-0.481151,-2.62937,-1.14207,8971
380,164222037,,,Inactive,,,,H1FX,SI00432985,1.21937,0.81001,-1.14928,-0.0656226,8971
381,164222038,,,Active,,,,H2AFX,SI02627786,-1.63323,-6.25672,-1.28311,0.65448,3014
382,164222039,,,Inactive,,,,H2AFX,SI00032844,-0.00170303,-0.195077,-0.501781,2.03847,3014
383,164222040,,,Inactive,,,,H2AFY,SI04137749,0.180597,-1.29463,-1.17375,-1.73848,9555
384,164222041,,,Inactive,,,,H2AFY,SI00433062,0.60368,1.31225,-0.953892,-1.07519,9555
385,164222042,,,Inactive,,,,HAP1,SI00433629,-0.824577,0.798076,-0.60561,-1.51138,9001
386,164222043,,,Inactive,,,,HAP1,SI03207736,3.99022,0.81984,0.0420445,-0.0507367,9001
387,164222044,,,Active,,,,HDAC1,SI00070609,-2.66776,-3.16361,-2.37916,-1.23034,3065
388,164222045,,,Inactive,,,,HDAC1,SI02663472,0.855676,-0.657615,-0.259734,0.905616,3065
389,164222046,,,Active,,,,HDAC10,SI00141743,-3.19879,2.66923,-0.943022,-1.75521,83933
390,164222047,,,Inactive,,,,HDAC10,SI00141736,-1.45127,2.78216,-0.806246,-0.6338,83933
391,164222048,,,Active,,,,HDAC11,SI03039085,-0.949135,0.310498,-2.51322,-0.247562,79885
392,164222049,,,Inactive,,,,HDAC11,SI00137473,0.460206,1.77792,-1.02256,0.298517,79885
393,164222050,,,Active,,,,HDAC2,SI00434959,-2.44178,0.886455,-3.64041,-2.58884,3066
394,164222051,,,Inactive,,,,HDAC2,SI00434952,0.31906,1.17156,-1.58728,1.08303,3066
