PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Total_Fluorescence-Curve_Description,Total_Fluorescence-Fit_LogAC50,Total_Fluorescence-Fit_HillSlope,Total_Fluorescence-Fit_R2,Total_Fluorescence-Fit_InfiniteActivity,Total_Fluorescence-Fit_ZeroActivity,Total_Fluorescence-Fit_CurveClass,Total_Fluorescence-Excluded_Points,Total_Fluorescence-Max_Response,Total_Fluorescence-Activity at 0.0000080105 uM,Total_Fluorescence-Activity at 0.0000240316 uM,Total_Fluorescence-Activity at 0.0000720949 uM,Total_Fluorescence-Activity at 0.0002162846 uM,Total_Fluorescence-Activity at 0.0006488539 uM,Total_Fluorescence-Activity at 0.00195 uM,Total_Fluorescence-Activity at 0.00584 uM,Total_Fluorescence-Activity at 0.011 uM,Total_Fluorescence-Activity at 0.024 uM,Total_Fluorescence-Activity at 0.056 uM,Total_Fluorescence-Activity at 0.112 uM,Total_Fluorescence-Activity at 0.196 uM,Total_Fluorescence-Activity at 0.391 uM,Total_Fluorescence-Activity at 0.783 uM,Total_Fluorescence-Activity at 1.565 uM,Total_Fluorescence-Activity at 3.131 uM,Total_Fluorescence-Activity at 6.261 uM,Total_Fluorescence-Activity at 12.52 uM,Total_Fluorescence-Activity at 25.04 uM,Total_Fluorescence-Activity at 50.09 uM,Total_Fluorescence-Activity at 100.2 uM,Total_Fluorescence-Activity at 181.8 uM,Total_Fluorescence-Activity at 287.5 uM,FP-Curve_Description,FP-Fit_LogAC50,FP-Fit_HillSlope,FP-Fit_R2,FP-Fit_InfiniteActivity,FP-Fit_ZeroActivity,FP-Fit_CurveClass,FP-Excluded_Points,FP-Max_Response,FP-Activity at 0.0000080105 uM,FP-Activity at 0.0000240316 uM,FP-Activity at 0.0000720949 uM,FP-Activity at 0.0002162846 uM,FP-Activity at 0.0006488539 uM,FP-Activity at 0.00195 uM,FP-Activity at 0.00584 uM,FP-Activity at 0.011 uM,FP-Activity at 0.024 uM,FP-Activity at 0.056 uM,FP-Activity at 0.112 uM,FP-Activity at 0.196 uM,FP-Activity at 0.391 uM,FP-Activity at 0.783 uM,FP-Activity at 1.565 uM,FP-Activity at 3.131 uM,FP-Activity at 6.261 uM,FP-Activity at 12.52 uM,FP-Activity at 25.04 uM,FP-Activity at 50.09 uM,FP-Activity at 100.2 uM,FP-Activity at 181.8 uM,FP-Activity at 287.5 uM,Compound QC
85,17387822,11948867,CN(C)CC1=C(OC2=CC=CC=C2C1C3=CC=CC=C3)C4=CC=C(C=C4)OC.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 0 0 0 0 0 1,-1.8134,,,,,,,,,,1.7708,0.7994,1.3288,-1.4656,-0.2231,0.8792,-0.244,2.2774,0.6475,1.3351,-5.3664,-1.8134,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-10.6732,,,,,,,,,,0.5747,0.821,2.0525,-0.821,2.0525,2.4631,0,-0.9031,0.6568,4.2693,-7.7176,-10.6732,,,QC'd by DPISMR
86,49726423,6487885,COC1=CC=C(C=C1)NC(=O)NC2(CCCCC2)C(=O)N3CCOCC3,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,1.1278,,,,,,,,,,-7.474,-5.2685,-4.1216,-4.4842,-2.1953,0.6076,-1.2183,-1.5968,-0.4976,0.6251,0.6806,1.1278,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 1,1.5599,,,,,,,,,,1.9704,6.4039,5.9113,5.0903,2.7915,3.5304,1.3136,4.7619,3.1199,2.2167,0.2463,1.5599,,,QC'd by Asinex Ltd.
87,49679509,22650,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,-8.2833,,,,,,,,,,-4.4154,-4.2241,-2.4733,-1.0639,-0.8809,1.5672,0.5505,1.6478,2.7123,-0.5771,-0.4441,-8.2833,,,,,,,,,4,0 0 0 0 0 0 0 0 0 1 0 0,3.8026,,,,,,,,,,-2.4272,-0.7282,-1.7799,-3.0744,-3.6408,-4.1262,-0.2427,-0.4854,-3.1553,-6.1489,-0.0809,3.8026,,,QC'd by Chem Div
88,24786520,751726,CCOC(=O)CN1C2=CC=CC=C2N3C1=NC(=O)C(=N3)CCC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,2.1505,,,,,,,,,,-4.5517,-2.5577,-2.5826,-1.6802,0.1846,1.0874,3.1054,2.1049,0.8166,0.4334,3.0521,2.1505,,,,,,,,,4,0 0 0 0 0 0 1 0 0 0 0 0,-2.5452,,,,,,,,,,0.1642,1.1494,1.2315,2.2989,0.4926,-0.9031,1.9704,-1.1494,-2.6273,-0.9031,-3.2841,-2.5452,,,QC'd by ChemBridge
89,49649122,16453817,CC1=CC(=C2C(=C1)OC(=CC2=O)C(=O)NCC3=CC=CC=C3)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-7.3389,,,,,,,,,,,,-8.0882,-5.2006,-6.8042,-4.6607,-6.869,-5.8426,-6.0976,-4.5376,-3.7849,-2.5694,-1.9968,-7.3389,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,2.5995,,,,,,,,,,,,5.1178,4.6304,-0.4062,-0.1625,1.0561,-3.0057,0.5686,-2.8432,-2.437,-0.0812,-5.9301,2.5995,QC'd by Chem Div
90,26748133,5318569,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)OC,Inconclusive,10,,,Quencher,316.228,100.164,,Partial curve; partial efficacy,-3.5,1.6924,0.9716,-100,0.1637,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-46.3347,,,,,,,,,,,,-1.0197,-0.2921,-1.5861,1.5311,2.0284,1.7831,-3.5265,-3.6553,0.2836,-3.8862,-24.054,-46.3347,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,13.7287,,,,,,,,,,,,-3.5743,-6.0114,-8.0422,-2.3558,-6.1738,-4.3054,-3.0869,-6.2551,-4.143,-5.0366,2.6807,13.7287,QC'd by Microsource
91,26664762,292106,C1C(=O)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=N3)CC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,3.1549,,,,,,,,,,,,-9.1051,-8.6749,-7.9111,-6.072,-4.8665,-3.939,-4.8126,-0.3789,-0.9163,-2.5152,1.7236,3.1549,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,0.2437,,,,,,,,,,,,6.58,10.3168,5.6052,5.524,3.818,2.2746,-0.2437,-3.1682,3.0869,0.8936,-0.9748,0.2437,QC'd by NCI Chemotherapeutic Agents Repository
92,22410250,6906566,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC4=CC=CC=C4O3)/C=N/NC(=O)C5=CC=CC=C5Br,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-6.38,,,,,,,,,,-0.5618,-2.1116,0.2284,-1.4684,0.0979,0.1791,1.128,1.256,0.49,-0.7821,-4.3013,-6.38,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,-4.2693,,,,,,,,,,3.1199,4.1051,0.7389,3.9409,5.4187,2.6273,3.2841,1.3136,3.2841,3.5304,-7.7997,-4.2693,,,QC'd by Enamine
93,22401012,4214141,COC1=CC=CC=C1NS(=O)(=O)C2=C(C=CC(=C2)NC(=O)NC3=C(C=C(C=C3)Cl)Cl)N4CCCCC4,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-7.7257,,,,,,,,,,-0.0736,-0.6944,-1.0213,-0.0221,0.3651,0.1942,-0.9586,-1.9328,-0.8187,-2.0817,-2.5909,-7.7257,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0,-8.046,,,,,,,,,,0.1642,3.9409,4.4335,1.642,3.5304,2.381,4.2693,4.4335,3.2841,1.7241,-10.6732,-8.046,,,QC'd by Enamine
94,49816293,1856310,CC(C)C1=CC=C(C=C1)/C=C/C(=O)NC(=S)NC2=NC(=CS2)C3=CC(=C(C=C3)OC)OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 1 0 0 1,-3.4266,,,,,,,,,,-4.1415,-1.1407,-2.6072,-0.4778,1.0978,1.5516,-1.0121,1.9956,2.8029,1.7675,-3.5684,-3.4266,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 0 1,-4.1262,,,,,,,,,,-0.3236,-3.0744,-2.3463,0.4854,-0.9709,-2.1845,-4.5307,-3.0744,-5.178,-4.3689,-3.1553,-4.1262,,,QC'd by ChemBridge
95,49646104,24747418,CCOC1=CC2=C(C=C1)N(C(=O)C2NC(=O)C)CCN3CCOCC3.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-8.9145,,,,,,,,,,0.5819,-0.2914,-0.8366,0.2789,-0.543,0.7821,1.7369,1.8478,0.5021,-0.7343,-1.6376,-8.9145,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-25.4854,,,,,,,,,,3.6408,1.699,3.8835,3.5599,3.3981,3.3172,2.1036,2.0227,-0.4045,1.9417,-8.8997,-25.4854,,,QC'd by InterBioScreen
96,49649498,5299607,CC1=CC(=O)N(C2=C1C=C(C=C2)S(=O)(=O)NC3=C(C(=CC=C3)F)C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,1.5438,,,,,,,,,,3.5236,-0.7368,1.0583,2.7439,2.2242,-1.9523,-0.2145,1.6621,1.4476,2.7555,2.2194,1.5438,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-15.2709,,,,,,,,,,-2.9557,-1.2315,-2.2989,0.7389,-1.1494,0.4926,-2.381,-2.0525,-0.0821,-0.3284,-9.6059,-15.2709,,,QC'd by Chem Div
97,49665366,24761083,CN1CCN(CC1)CC(=O)NC2=CC=C(C=C2)S(=O)(=O)N(C)C.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,2.0793,,,,,,,,,,-6.2536,-3.9698,-3.5014,-0.2242,0.9921,0.5575,2.0551,2.8136,1.9606,2.089,1.5065,2.0793,,,,,,,,,4,,2.2167,,,,,,,,,,-0.4105,2.1346,2.0525,0.9031,-3.6125,-1.642,-1.0673,-1.8062,1.0673,-1.3136,-1.1494,2.2167,,,QC'd by Asinex Ltd.
98,24799896,16191566,CCN(CCN1C=CC=N1)CC2=CC=CC=C2OCC(CN3CCC4=CC=CC=C4C3)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-4.7853,,,,,,,,,,2.3192,1.3321,2.3982,1.3759,2.7228,2.9973,2.6536,3.0437,2.2927,1.3551,1.0155,-4.7853,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-28.7217,,,,,,,,,,0,1.8608,-2.1845,-2.5081,-3.3172,-3.8835,0.0809,0,-2.7508,-3.479,-15.6958,-28.7217,,,QC'd by ChemBridge
99,49644438,135468594,CC1=C2C(=CC=C1)C(=CC(=N2)C)N/N=C/C3=CC=C(C=C3)O,Inconclusive,25,,,Inhibitor,251.189,102.372,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-24.5418,,,,,,,,,,-3.8936,-4.35,-3.7141,-0.5712,0.2053,1.1912,1.9187,2.8516,1.7985,1.6397,-2.2987,-24.5418,,,Partial curve; partial efficacy,-3.6,1.9673,0.9856,-100,2.3719,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-58.8091,,,,,,,,,,,,1.7945,2.3654,3.752,0,2.8548,1.3866,1.3051,2.9364,-0.4894,-0.4078,-21.6966,-58.8091,QC'd by Asinex Ltd.
100,49647219,442985,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,-4.041,,,,,,,,,,-3.5896,-3.4992,-3.0848,-1.3361,0.8847,1.789,0.8945,1.5327,0.5744,-1.8358,-5.0936,-4.041,,,,,,,,,4,,-4.4335,,,,,,,,,,-3.6946,-1.3136,-4.1872,-2.7094,-1.8062,-2.7094,-3.0378,-4.4335,-0.4926,-4.5156,-3.202,-4.4335,,,QC'd by InterBioScreen
101,11114291,6604950,C1C2=CC=C(CNC3=CC=[N+](CC4=CC=CC(=C4)C[N+]5=CC=C(N1)C6=CC=CC=C65)C7=CC=CC=C37)C=C2.C(=O)(C(F)(F)F)[O-].C(=O)(C(F)(F)F)[O-],Active,43,,,Inhibitor,125.892,90.8294,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0,-23.5195,,,,,,,,,,-7.492,-4.1241,-4.0747,-1.4295,0.2787,0.7165,1.0641,1.5269,-0.1669,-0.0146,-4.6325,-23.5195,,,Partial curve; high efficacy,-3.9,3.5722,0.9846,-93.2609,-2.4314,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-91.9732,,,,,,,,,,,,2.3411,-0.2508,-5.1003,-2.7592,-1.1706,-8.6957,2.0903,-4.7659,-4.9331,-12.709,-53.5953,-91.9732,QC'd by Tocris
102,24821927,54679723,C1=CC=C(C(=C1)CN2C3=CC=CC=C3C(=CC2=O)O)F,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-6.6489,,,,,,,,,,0.385,0.6268,2.4241,2.444,1.8545,2.4997,2.4378,2.3097,2.0879,0,-3.4631,-6.6489,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-15.8576,,,,,,,,,,-2.1845,-1.0518,-2.9935,-2.5081,0.4854,1.699,-1.7799,0.0809,-2.2654,-4.9353,-12.7832,-15.8576,,,QC'd by Asinex Ltd.
103,17505338,1107365,C1=CSC(=C1)C(=O)NC2=CC=C(C=C2)OC3=CC4=C(C=C3)C(=O)N(C4=O)C5=CC=C(C=C5)O,Inconclusive,10,,,Quencher,398.107,97.5,,Partial curve; partial efficacy,-3.4,1.7529,0.9354,-100,-2.5,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-37.8495,,,,,,,,,,,,-7.2154,-5.3979,-4.9108,-2.4121,-2.1134,0.4445,0.3944,-2.2046,-2.6675,-2.5874,-19.4202,-37.8495,Single point of activity,-3.65,2.2526,0.8548,42,0.3997,3,0 0 0 0 0 0 0 0 0 0 0 0,32.5449,,,,,,,,,,,,4.1599,3.9152,3.3442,3.752,-3.8336,0,1.1419,-2.0392,-0.571,-0.8972,7.1778,32.5449,QC'd by Asinex Ltd.
104,14745133,9551967,C1=CC=C(C=C1)C2=NC(=C(N=N2)C3=CC=C(C=C3)Cl)C4=CNC5=CC=CC=C54,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0,-5.3904,,,,,,,,,,-2.5927,0.1528,-0.5178,0.5306,1.1859,0.4628,0.5162,1.6023,0.0637,-0.9874,-3.0286,-5.3904,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-4.023,,,,,,,,,,4.844,5.5008,2.7915,4.2693,6.6502,3.5304,4.023,5.9934,4.2693,-1.0673,-6.8966,-4.023,,,QC'd by Specs
105,7977499,1323703,CC1(CN=C(S1)N2CCN(CC2)C3=C4C5=C(CCCC5)SC4=NC=N3)C,Active,81,,,Inhibitor,22.4404,96.0374,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-27.0989,,,,,,,,,,-5.1947,-3.7419,-0.8692,-1.564,0.0849,-0.009,-0.5675,-5.5652,-10.9039,-19.2774,-24.1101,-27.0989,,,Complete curve; high efficacy,-4.649,1.6924,0.9985,-96.7121,-0.6748,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-90.0485,,,,,,,,,,-0.9709,-1.3754,1.699,-0.8091,-0.89,-3.3981,-6.068,-12.4595,-30.3398,-61.0032,-79.6117,-90.0485,,,QC'd by DPISMR
106,17512765,3431642,C1=CC=C2C(=C1)C=C(C(=N)O2)C3=NC(=CS3)C4=CC=C(C=C4)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,3.7859,,,,,,,,,,-7.9171,-5.1866,-5.687,-2.3413,-1.7734,-1.7103,0.553,1.0999,1.8978,3.8058,4.4501,3.7859,,,,,,,,,4,,5.5016,,,,,,,,,,4.3689,8.3333,7.6861,1.6181,3.5599,3.7217,0.5663,2.6699,4.4498,2.3463,3.8026,5.5016,,,QC'd by InterBioScreen
107,26753749,6293,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,Inconclusive,25,,,Inhibitor,316.228,100.081,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-3.1659,,,,,,,,,,,,2.4535,2.177,2.2651,2.8519,1.1304,-0.0221,2.1414,1.9064,-1.3618,-2.6466,-4.1812,-3.1659,Partial curve; partial efficacy,-3.5,2.2481,0.9839,-100,0.0808,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-41.9984,,,,,,,,,,,,-1.4622,0.0812,-1.5435,-1.1373,-0.4874,0.2437,2.1933,1.0561,1.381,-5.2803,-14.541,-41.9984,QC'd by Timtec
108,17514493,4620915,CC1CCCCN1S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=CC=CC=C3C4=NC5=CC=CC=C5N4,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-6.4107,,,,,,,,,,,,0.7553,2.1195,0.6495,-0.0751,0.8937,0.6082,1.2237,0.5674,0.0996,-1.411,-4.6441,-6.4107,,,,,,,4,,8.0422,,,,,,,,,,,,7.1487,1.7059,3.3306,3.3306,2.8432,5.199,1.9496,-1.4622,1.2185,3.2494,4.5491,8.0422,QC'd by Life Chemicals
109,49668847,24761416,COC1=CC=C(C=C1)OCCCN2C=CN=C2.Cl,Inconclusive,25,,,Inhibitor,251.189,105.983,,,,,,,,4,,5.5043,,,,,,,,,,1.9193,2.1411,1.4636,1.9065,2.3721,1.0732,0.6705,0.397,0.9332,-1.1028,-0.1115,5.5043,,,Partial curve; partial efficacy,-3.6,0.5,0.9869,-100,5.9826,-2.2,0 0 0 0 0 1 1 1 0 0 0 0,-46.9512,,,,,,,,,,,1.0453,2.3519,1.8293,3.3972,-0.6969,-11.9338,-19.9477,-29.6167,-24.1289,-27.5261,-34.5819,-46.9512,,QC'd by Chem Div
110,26664798,93572,C1=CC=C2C(=C1)C=CC(=C2N=NC3=NC=CS3)O,Inconclusive,10,,,Fluorescent,125.892,38.2254,,Single point of activity,-3.9,3.132,0.9378,32.8754,-5.35,3,0 0 0 0 0 0 0 0 0 0 0 0,31.94,,,,,,,,,,,-8.7347,-9.5191,-6.9717,-5.5682,-4.4553,-5.3598,-4.2116,-2.744,-2.9346,0.7873,7.1068,31.94,,Partial curve; partial efficacy,-3.85,2.1876,0.9561,-81.3964,4.6281,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-75.367,,,,,,,,,,,,0.8972,12.0718,10.7667,3.4258,5.4649,4.9755,4.8124,1.3051,-3.9152,-17.1289,-32.2186,-75.367,QC'd by NCI Chemotherapeutic Agents Repository
111,26749574,3938139,COC1=C(C=C(C(=C1)O)C(=O)C2=CC=CC=C2)O,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0,-3.4087,,,,,,,,,,,,-0.1576,2.5368,2.6658,3.3116,1.7534,1.7209,-0.2434,2.7681,-0.9884,-0.8207,-5.6439,-3.4087,,,,,,,4,,4.3867,,,,,,,,,,,,0.4874,2.5995,0.6499,1.381,1.6247,0,0.6499,2.6807,0.8123,0.0812,-1.2185,4.3867,QC'd by Microsource
112,24808945,762122,CC1=CC=C(N1C2=CC=C(C=C2)N(C)C)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0 0 0 0 0 0,-5.0386,,,,,,,,,,-0.0103,1.0948,0.5638,0.0346,-1.7627,0.9707,2.2473,0.3658,1.6256,0.8807,-2.2717,-5.0386,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-7.5243,,,,,,,,,,3.5599,2.9126,1.3754,1.1327,2.6699,1.8608,0.3236,2.8317,0.4854,-1.0518,-12.6214,-7.5243,,,QC'd by Asinex Ltd.
113,49667970,1897383,C1=CC=C(C=C1)C(=O)NC2=C(C(=O)C(=C(C2=O)Cl)NC(=O)C3=CC=CC=C3)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,-23.7879,,,,,,,,,,,,-9.7593,-9.0293,-7.2535,-5.8639,-4.1486,-3.2091,-1.0458,-4.2653,-1.9078,-3.8775,-7.5803,-23.7879,,,,,,,4,0 0 0 1 0 0 0 0 0 0 1 0,5.7677,,,,,,,,,,,,11.1292,9.0171,10.6418,10.2356,3.1682,1.381,2.3558,2.1933,0.8936,0.8936,7.3111,5.7677,QC'd by InterBioScreen
114,26747944,5702027,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCC(C(=O)NC(C(=O)N1)CCNCS(=O)(=O)[O-])NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)CCCCC(C)C)C(C)O)CCNCS(=O)(=O)[O-])CCNCS(=O)(=O)[O-])C(C)CC.[Na+].[Na+].[Na+].[Na+].[Na+],Inactive,0,,,Inactive,,,,,,,,,,4,,-0.1346,,,,,,,,,,1.1476,-0.4932,0.6211,1.1181,3.3443,1.8045,1.6355,3.2459,2.0071,2.0358,3.0161,-0.1346,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-14.644,,,,,,,,,,-1.3754,1.4563,2.9935,0,1.3754,-0.1618,2.7508,1.3754,-2.1845,-0.9709,-11.6505,-14.644,,,QC'd by Microsource
115,24799349,16191020,CC(C1=NC=NC=C1)N(C)CC2=NC(=NO2)C3=CC=C(C=C3)C(F)(F)F,Inactive,0,,,Inactive,,,,,,,,,,4,,0.5997,,,,,,,,,,2.3385,1.7451,-0.1651,0.5,2.819,1.5607,3.062,3.2934,3.8473,2.063,0.2277,0.5997,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-10.1806,,,,,,,,,,-0.821,-0.4926,3.9409,-0.2463,0.821,-1.8062,0,2.381,1.1494,-1.8883,-8.2102,-10.1806,,,QC'd by ChemBridge
116,50126128,24871458,CC1=CC2=C(C3C4=C(C[C@@](O3)(O2)C5=CSC=C5)C=C(C=C4)C#N)C(=O)N1CC6=CC=CC=C6,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.4464,,,,,,,,0.6866,0.101,2.5759,-1.058,1.1676,-0.5012,1.2741,0.7699,0.4755,-0.6324,2.3655,-0.4464,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-6.2298,,,,,,,,2.3463,2.5081,1.7799,1.5372,0.89,-0.5663,0.0809,3.8026,1.3754,2.2654,-8.7379,-6.2298,,,,,QC'd by BUCMLD
117,49647097,729017,COC1=CC=C(C=C1)/C=C(\C#N)/C(=O)NCC2=CC=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,-0.938,,,,,,,,,,-6.392,-3.3039,-1.7217,0.4548,2.0054,1.3316,1.8864,3.0235,1.5669,1.7595,1.0783,-0.938,,,,,,,,,4,,-2.9557,,,,,,,,,,1.3957,-0.4105,0.6568,0.7389,-1.8062,0.6568,-2.4631,-8.7849,-0.0821,1.7241,-2.381,-2.9557,,,QC'd by InterBioScreen
118,29216050,6764,C1=CC2=C(C(=O)C(=O)C3=C2C=CC=N3)N=C1,Inconclusive,10,,,Fluorescent,158.489,60.3512,,Partial curve; partial efficacy,-3.8,3.0654,0.9162,58.3002,-2.051,2.2,0 0 0 0 0 0 0 0 0 0 0 0,64.8488,,,,,,,,,,,,-3.1278,-1.8343,0.4031,-2.3444,-1.5261,-2.714,-1.4329,-1.3451,0.6589,2.6403,13.4847,64.8488,Partial curve; high efficacy,-3.8,3.0654,0.9254,-92.107,5.5518,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-102.341,,,,,,,,,,,,8.6957,6.7726,7.107,8.4448,5.6856,7.2742,4.5987,3.7625,1.6722,-12.1237,-24.9164,-102.341,QC'd by Asinex
119,49672404,16286864,C1CN(CCN1CC(COC2=CC=C(C=C2)C#N)O)C(C3=CC=CC=C3)C4=CC=CC=C4,Inconclusive,25,,,Inhibitor,316.228,100.114,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,-8.5351,,,,,,,,,,-6.5399,-4.8923,-4.4184,-1.7035,-1.1231,0.2207,0.9642,1.7989,1.0933,0.9054,0.7571,-8.5351,,,Partial curve; partial efficacy,-3.5,1.1,0.9571,-100,0.1142,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-45.677,,,,,,,,,,,,1.0604,0,3.1811,-2.3654,-1.5498,-5.5465,0.4894,-4.0783,-4.4046,-14.0294,-36.3785,-45.677,QC'd by Enamine
120,29215684,17756837,CN(C)C1=CC=C(C=C1)C(CCN2CCOCC2)C3=C(C=C(C4=C3OC(=O)C=C4)OC)OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 1 0 0 0 0 0 0 0 0 0,-1.3853,,,,,,,,,,-9.0248,-7.9779,-2.6525,-6.1468,-6.0523,-4.3251,-3.7484,-2.2522,-1.1658,-0.3267,-1.2192,-1.3853,,,,,,,,,4,0 0 1 0 1 0 0 0 0 0 0 0,3.479,,,,,,,,,,9.5469,8.7379,6.068,8.4142,11.246,6.3916,6.877,6.1489,4.2071,4.6117,5.9871,3.479,,,QC'd by KUCMLD
121,49677662,7216388,CN1C2=C(C=N1)C(=NC(=N2)NCCCO)N3CCCCC3,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.3526,,,,,,,,,,-1.9086,-0.0302,0.5073,1.5078,0.9939,1.6844,1.4433,1.5076,1.0003,0.712,-0.3294,-2.3526,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-12.2977,,,,,,,,,,5.178,2.6699,5.0162,4.7735,5.0162,3.8026,5.3398,4.7735,2.4272,2.9935,-8.4142,-12.2977,,,QC'd by Life Chemicals
122,49667248,20855961,CCCN(CCC)CCCNC(=O)C1=CC2=C(S1)C3=CC=CC=C3NC2=O,Inactive,0,,,Inactive,,,,,,,,,,4,,1.3786,,,,,,,,,,2.0373,2.8903,3.2309,2.319,3.0438,4.7341,4.1229,5.155,3.8628,2.4718,4.724,1.3786,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-11.9869,,,,,,,,,,-1.3136,-1.642,-2.2167,-2.381,-2.5452,-3.3662,-2.381,-2.7915,-3.1199,-5.9113,-17.8982,-11.9869,,,QC'd by Chem Div
