PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Total_Fluorescence-Curve_Description,Total_Fluorescence-Fit_LogAC50,Total_Fluorescence-Fit_HillSlope,Total_Fluorescence-Fit_R2,Total_Fluorescence-Fit_InfiniteActivity,Total_Fluorescence-Fit_ZeroActivity,Total_Fluorescence-Fit_CurveClass,Total_Fluorescence-Excluded_Points,Total_Fluorescence-Max_Response,Total_Fluorescence-Activity at 0.0000080105 uM,Total_Fluorescence-Activity at 0.0000240316 uM,Total_Fluorescence-Activity at 0.0000720949 uM,Total_Fluorescence-Activity at 0.0002162846 uM,Total_Fluorescence-Activity at 0.0006488539 uM,Total_Fluorescence-Activity at 0.00195 uM,Total_Fluorescence-Activity at 0.00584 uM,Total_Fluorescence-Activity at 0.011 uM,Total_Fluorescence-Activity at 0.024 uM,Total_Fluorescence-Activity at 0.056 uM,Total_Fluorescence-Activity at 0.112 uM,Total_Fluorescence-Activity at 0.196 uM,Total_Fluorescence-Activity at 0.391 uM,Total_Fluorescence-Activity at 0.783 uM,Total_Fluorescence-Activity at 1.565 uM,Total_Fluorescence-Activity at 3.131 uM,Total_Fluorescence-Activity at 6.261 uM,Total_Fluorescence-Activity at 12.52 uM,Total_Fluorescence-Activity at 25.04 uM,Total_Fluorescence-Activity at 50.09 uM,Total_Fluorescence-Activity at 100.2 uM,Total_Fluorescence-Activity at 181.8 uM,Total_Fluorescence-Activity at 287.5 uM,FP-Curve_Description,FP-Fit_LogAC50,FP-Fit_HillSlope,FP-Fit_R2,FP-Fit_InfiniteActivity,FP-Fit_ZeroActivity,FP-Fit_CurveClass,FP-Excluded_Points,FP-Max_Response,FP-Activity at 0.0000080105 uM,FP-Activity at 0.0000240316 uM,FP-Activity at 0.0000720949 uM,FP-Activity at 0.0002162846 uM,FP-Activity at 0.0006488539 uM,FP-Activity at 0.00195 uM,FP-Activity at 0.00584 uM,FP-Activity at 0.011 uM,FP-Activity at 0.024 uM,FP-Activity at 0.056 uM,FP-Activity at 0.112 uM,FP-Activity at 0.196 uM,FP-Activity at 0.391 uM,FP-Activity at 0.783 uM,FP-Activity at 1.565 uM,FP-Activity at 3.131 uM,FP-Activity at 6.261 uM,FP-Activity at 12.52 uM,FP-Activity at 25.04 uM,FP-Activity at 50.09 uM,FP-Activity at 100.2 uM,FP-Activity at 181.8 uM,FP-Activity at 287.5 uM,Compound QC
65,17503767,4435982,COC1=C(C(=CC=C1)OC)C(=O)NC(=S)NC2=C(C=C3C4=CC=CC=C4OC3=C2)OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 1 0 0 0 0 0 0 0 0 0,-2.5327,,,,,,,,,,3.1368,2.1226,5.8556,2.9106,3.1978,0.9823,1.4672,0.4236,0.509,1.5233,-0.4726,-2.5327,,,,,,,,,4,0 0 1 0 0 0 0 0 0 1 0 0,-15.0485,,,,,,,,,,-1.5372,-3.8026,-9.6278,-4.4498,-5.178,-2.3463,-1.2945,-5.9871,-4.5307,-3.479,-15.8576,-15.0485,,,QC'd by InterBioScreen
66,49729254,24792594,CNC[C@H](CC1CCCCC1)NC[C@H](CC2=CC=CC=C2)NCCC34CC5CC(C3)CC(C5)C4,Active,82,,,Inhibitor,79.4328,100.202,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-28.1379,,,,,,,,,,,,-4.0095,-5.7561,-3.7061,-3.0537,-3.123,-1.1702,-0.1082,0.2716,-0.6754,-10.307,-23.6591,-28.1379,Complete curve; high efficacy,-4.1,2.3332,0.9958,-101.101,-0.8989,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-93.095,,,,,,,,,,,,-0.0812,-0.0812,-0.1625,-2.6807,-0.1625,-2.437,-4.4679,-2.2746,-12.9163,-42.0796,-84.4842,-93.095,QC'd by Richard A Houghten - Torrey Pines Institute for Molecular Studies - MLI PSL
67,50111921,24867930,CC1CC=CC2C1C(=O)N(C2C3=C(C=CC(=C3)C)F)CC4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-5.6524,,,,,,,,,,-11.7066,-13.7689,-11.7479,-9.7446,-8.1687,-5.368,-6.0182,-4.5286,-4.1853,-6.0623,-4.2081,-5.6524,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 1 0,10.5987,,,,,,,,,,16.5858,14.4013,14.9676,12.3786,11.3269,13.5113,13.2686,8.5761,9.9515,11.3269,4.6926,10.5987,,,QC'd by KUCMLD
68,49724887,16244845,CCCN1CCN(CC1)CC(COC(C2=CC=C(C=C2)OC)C3=CC=C(C=C3)OC)O.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,3.5478,,,,,,,,,,-9.456,-7.2522,-6.5087,-2.9154,-3.5684,-2.9258,-2.1828,-1.2945,-0.4759,-0.4917,2.804,3.5478,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,1.7799,,,,,,,,,,7.9288,10.8414,8.5761,4.6117,5.178,3.7217,4.9353,-0.5663,3.0744,2.9935,0.7282,1.7799,,,QC'd by Enamine
69,49665197,2936192,CC1=C(C(=O)NN1)C(C2=C(C=CC(=C2)OC)OC)C3=C(NNC3=O)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1 0 1 0 0 0,-4.561,,,,,,,,,,,,0.8689,0.534,-0.8136,-1.8639,0.2057,-1.7721,3.2525,-1.4709,2.5202,-5.4956,-5.6927,-4.561,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-15.1097,,,,,,,,,,,,0,-2.2746,1.381,0,1.381,-1.381,0.9748,0.0812,0.3249,0.1625,-0.9748,-15.1097,QC'd by Asinex Ltd.
70,26670148,16717706,C[C-]1[C-]([C-]([C-]([C-]1C)C)C)C.C1CCN(C1)C2=CC=NC3=CC=C[C-]32.[Fe],Inconclusive,10,,,Fluorescent,112.202,44.0993,,Partial curve; partial efficacy,-3.95,3.1925,0.992,44.3803,0.281,2.2,0 0 0 0 0 0 0 0 0 0 0 0,40.9781,,,,,,,,,,,1.4848,1.8862,0.6726,-0.4311,0.7623,-0.1151,0.6711,-1.2471,-0.7573,5.5548,21.4678,40.9781,,Partial curve; high efficacy,-4,2.1876,0.9986,-93.9634,-0.6272,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-80.9233,,,,,,,,,,,-0.8711,-2.1777,-0.9582,-1.2195,0,-0.3484,0.3484,0.0871,-6.3589,-23.0836,-54.007,-80.9233,,QC'd by null
71,24824264,16195689,C1CCC(CC1)CCC(=O)NCCN2[C@@H](CN3C2=NC[C@@H]3CC4=CC=C(C=C4)O)CC5=CC=C(C=C5)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-12.085,,,,,,,,,,,,-1.0333,0.6534,-0.3878,-3.1252,0.7691,1.692,-1.3012,-0.5981,-2.5911,-8.413,-8.2452,-12.085,,,,,,,4,0 0 0 0 0 1 0 0 0 0 0 0,-7.1487,,,,,,,,,,,,-3.0057,-3.0869,-4.3867,-2.2746,-5.9301,-9.5857,-3.818,-4.6304,-7.3924,-5.3615,-4.7929,-7.1487,QC'd by Richard A. Houghten - Torrey Pin
72,49645883,8015998,C[C@@H](C(=O)O)NC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2,Active,42,,,Inhibitor,70.9627,90.8074,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-28.8359,,,,,,,,,,-7.2852,-7.1245,-2.8419,-0.9999,-2.1179,-0.7072,2.6467,0.0736,-0.2417,0.0565,-8.4297,-28.8359,,,Partial curve; partial efficacy,-4.149,4.095,0.9929,-90.665,0.1424,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-79.5307,,,,,,,,,,2.5081,0.6472,4.0453,1.4563,0.3236,-3.9644,-0.8091,-1.3754,0.2427,-2.1036,-27.8317,-79.5307,,,QC'd by InterBioScreen
73,24782257,3193431,COC1=CC=C(C=C1)CN2C(=NN=N2)C(C3=CC4=C(C=C3)N=CC=C4)N5CCN(CC5)C6CCCCC6,Active,44,,,Inhibitor,199.526,96.9054,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-21.4184,,,,,,,,,,,,-0.5133,-0.5627,-0.0015,0.047,3.4329,1.5801,2.411,1.1783,-4.0073,-10.8736,-13.0961,-21.4184,Partial curve; partial efficacy,-3.7,1.4641,0.9926,-100,-3.0946,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-65.394,,,,,,,,,,,,-6.2551,-2.6807,-4.4679,-2.6807,-1.8684,-5.2803,-3.2494,-3.0869,-11.4541,-19.8213,-41.7547,-65.394,QC'd by Asinex Ltd.
74,49665367,24761084,CN1CCN(CC1)CC(=O)NC2=C(C=CC=C2OC)OC.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.9466,,,,,,,,,,2.0352,2.5037,0.5496,3.2351,4.2592,3.3645,3.7026,3.0316,4.8736,3.016,1.9615,-0.9466,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-13.0542,,,,,,,,,,-0.4926,-2.0525,-1.3136,-4.023,-2.0525,-3.6946,-1.1494,1.2315,0.2463,-2.2167,-11.9048,-13.0542,,,QC'd by Asinex Ltd.
