modeling_row,structure_id,standard_inchi_key,smiles,herg_blocker_label,endpoints,assay_families,document_year,document_years,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
0,STR-0018C58F56A0581A267A,BRHCBXCFHAVZMT-FPYGCLRLSA-N,O=C(/C=C/c1ccc(Br)cc1)N1CCN(C(=O)c2ccc3ncsc3c2)CC1,1,IC50,electrophysiology_functional,2024.0,2024.0,STR-0018C58F56A0581A267A,O=C(C=Cc1ccccc1)N1CCN(C(=O)c2ccc3ncsc3c2)CC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
1,STR-007DCD9FC3AF297751F8,DRGRCRRKRGIMMI-UHFFFAOYSA-N,CC(C)(O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1,IC50,electrophysiology_functional,2003.0,2003.0,STR-007DCD9FC3AF297751F8,c1ccc(CCCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2,STR-00AEAE23F4E1149E9899,MQAYCYSVHQWNLG-IKPAITLHSA-N,N#Cc1c(-c2ccccc2)cc(-c2ccccc2)nc1/N=C1\SCC(=O)N1c1ccccc1,0,IC50,electrophysiology_functional,2015.0,2015.0,STR-00AEAE23F4E1149E9899,O=C1CSC(=Nc2cc(-c3ccccc3)cc(-c3ccccc3)n2)N1c1ccccc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
3,STR-00C8835766FBBA10EE01,GULLJOKXHUNFKN-UHFFFAOYSA-N,O=C(CCCCc1c[nH]nn1)NC1CCN(C(=O)OCc2cc(Cl)cc(Cl)c2)CC1,1,IC50,electrophysiology_functional,2018.0,2018.0,STR-00C8835766FBBA10EE01,O=C(CCCCc1c[nH]nn1)NC1CCN(C(=O)OCc2ccccc2)CC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
4,STR-00F4E1BC2F061315D781,VHVGKVIQUSMBPM-SNVBAGLBSA-N,C[C@@H]1CN(c2sc(C(F)(F)F)nc2-c2cnc(C(F)(F)F)nc2)CCN1C(=O)Cn1cnc(C#N)n1,1,IC50,electrophysiology_functional,2023.0,2023.0,STR-00F4E1BC2F061315D781,O=C(Cn1cncn1)N1CCN(c2scnc2-c2cncnc2)CC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
5,STR-00FDD946F5AC106AC095,FUQSXIQIHGWZKY-UHFFFAOYSA-N,FC(F)(F)c1noc(-c2ccc(CCN3CCC(Nc4nc5ccccc5[nH]4)CC3)cc2)n1,1,IC50,electrophysiology_functional,2022.0,2022.0,STR-00FDD946F5AC106AC095,c1ccc2[nH]c(NC3CCN(CCc4ccc(-c5ncno5)cc4)CC3)nc2c1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
6,STR-0109CC267EF4BC298B4B,WCADNSJQHAGKBX-HXUWFJFHSA-N,N[C@@H]1CCCN(C(=O)c2ccc(-c3ccc4ncc(-c5cc6ccccc6o5)n4n3)cc2)C1,1,IC50,electrophysiology_functional,2024.0,2024.0,STR-0109CC267EF4BC298B4B,O=C(c1ccc(-c2ccc3ncc(-c4cc5ccccc5o4)n3n2)cc1)N1CCCCC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
7,STR-011B8AD5C90D4725203A,GONCOLJMAFSBKX-UHFFFAOYSA-N,CN(C)Cc1c(-c2ccncc2)n(-c2ccc(Cl)cc2)c2cnccc12,1,IC50,electrophysiology_functional,2017.0,2017.0,STR-011B8AD5C90D4725203A,c1ccc(-n2c(-c3ccncc3)cc3ccncc32)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
8,STR-012245D686FC076E63C1,RWZRYOLADSIKMF-UHFFFAOYSA-N,CC(C)n1cc(Nc2nc(N)nc(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)n2)cc1C#N,0,IC50,electrophysiology_functional,2018.0,2018.0,STR-012245D686FC076E63C1,O=c1c2ccc(C3CC3)cc2ccn1-c1cccc(-c2ncnc(Nc3cc[nH]c3)n2)c1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
9,STR-012D27ACD6801E6CC36A,DTKROUMCSFNBCN-UHFFFAOYSA-N,CC1(C)CN(C(=O)Cn2c(=O)c(C(=O)NCc3ccc(Cl)cc3)cc3cccnc32)C1,1,IC50,electrophysiology_functional,2023.0,2023.0,STR-012D27ACD6801E6CC36A,O=C(NCc1ccccc1)c1cc2cccnc2n(CC(=O)N2CCC2)c1=O,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
10,STR-0159A8DB5FE8E53E3D28,ZKVBATRJUREUMS-UHFFFAOYSA-N,Cn1c(SCCCN2CC3CCN(c4ccc(C#N)cc4)C3C2)nnc1-c1cnccn1,1,IC50,electrophysiology_functional,2016.0,2016.0,STR-0159A8DB5FE8E53E3D28,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnccn5)[nH]4)CC32)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
11,STR-0181800C53C764DBBFF5,HZSJACIMFDUAAV-DYVFJYSZSA-N,CNC[C@H](c1ccc(Cl)c(Cl)c1)[C@@H](O)c1ccccc1SC,1,IC50,electrophysiology_functional,2018.0,2018.0,STR-0181800C53C764DBBFF5,c1ccc(CCc2ccccc2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
12,STR-01A705CD524232269FEC,IXCJFMSYDIRSKV-UHFFFAOYSA-N,COc1cccc(C(c2cc3cc(Br)ccc3nc2OC)C(O)(CCN(C)C)c2cc(C)cnc2C)c1OC,1,IC50,electrophysiology_functional,2019.0,2019.0,STR-01A705CD524232269FEC,c1ccc(C(Cc2cccnc2)c2cnc3ccccc3c2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
13,STR-01B3966C81E03358B3F0,GIWUNNJISQFQLW-QBNMFFNISA-N,COc1ccc2nccc(CC[C@H]3OC[C@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2c1,1,IC50,electrophysiology_functional,2018.0,2018.0,STR-01B3966C81E03358B3F0,O=C1CSc2ccc(CNC3COC(CCc4ccnc5ccccc45)OC3)nc2N1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
14,STR-0202E7383CE2AD63F4A0,CLYZVNJXJPXTED-UHFFFAOYSA-N,Cn1c(SCCCN2CC3CCN(c4ccc(C(F)(F)F)cc4)C3C2)nnc1N1CCOCC1,1,IC50,electrophysiology_functional,2016.0,2016.0,STR-0202E7383CE2AD63F4A0,c1ccc(N2CCC3CN(CCCSc4nnc(N5CCOCC5)[nH]4)CC32)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
15,STR-0204A3D04B95D0CBF963,HCPZGSLTHYYAJZ-UHFFFAOYSA-N,CN1CCC(N(Cc2ccc(F)cn2)C(=O)NCc2ccc(OCC(F)(F)F)cc2)CC1,1,IC50,electrophysiology_functional,2022.0,2022.0,STR-0204A3D04B95D0CBF963,O=C(NCc1ccccc1)N(Cc1ccccn1)C1CCNCC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
16,STR-0210668DAF28FA2E9448,FELGMEQIXOGIFQ-UHFFFAOYSA-N,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,1,IC50,electrophysiology_functional,2010.0,2010.0,STR-0210668DAF28FA2E9448,O=C1c2c([nH]c3ccccc23)CCC1Cn1ccnc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
17,STR-0219951F2CE9A0B8E619,XFPUCOKJWIFNBD-UHFFFAOYSA-N,Clc1ccc(-n2c(-c3cnc(N4CCOCC4)nc3)nc3ccncc32)cc1,1,IC50,electrophysiology_functional,2018.0,2018.0,STR-0219951F2CE9A0B8E619,c1ccc(-n2c(-c3cnc(N4CCOCC4)nc3)nc3ccncc32)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
18,STR-02243814F8914FC1DCC7,HVMPXWIAMIJFJQ-UHFFFAOYSA-N,Cc1ccc2nc(-c3ccc(F)cc3)c(CC(=O)Nc3cccc(C(F)(F)F)c3)n2c1,1,IC50,electrophysiology_functional,2024.0,2024.0,STR-02243814F8914FC1DCC7,O=C(Cc1c(-c2ccccc2)nc2ccccn12)Nc1ccccc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
19,STR-02274AB3880CFC100058,IFMZPRCGPCQBAP-AOMKIAJQSA-N,COc1cnc(C(=O)Nc2cc(F)c(F)c([C@]3(C)C[C@@H](c4c(C)noc4C)SC(N)=N3)c2)cn1,1,IC50,electrophysiology_functional,2016.0,2016.0,STR-02274AB3880CFC100058,O=C(Nc1cccc(C2CC(c3cnoc3)SC=N2)c1)c1cnccn1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
20,STR-023F6BFBFDAFE8382D52,UNBAKKOHLRSDAN-UHFFFAOYSA-N,Cc1ccc(-c2cc(S(C)(=O)=O)cc(S(=O)(=O)c3cnc(CN)s3)c2)cc1,1,IC50,electrophysiology_functional,2020.0,2020.0,STR-023F6BFBFDAFE8382D52,O=S(=O)(c1cccc(-c2ccccc2)c1)c1cncs1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
21,STR-026A88AB85769A077360,VOCUQOXYDYXGRN-UHFFFAOYSA-N,N#Cc1ccc2[nH]c(C3CCN(CCn4c(=O)ccc5ncc(Oc6cccnc6)cc54)CC3)nc2c1,1,IC50,electrophysiology_functional,2014.0,2014.0,STR-026A88AB85769A077360,O=c1ccc2ncc(Oc3cccnc3)cc2n1CCN1CCC(c2nc3ccccc3[nH]2)CC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
22,STR-02959B9FF6A30A6C2DAB,QNXBTJMKZJMAEU-IBGZPJMESA-N,N#Cc1ccc(NC(=O)[C@H](CN2CC(O)C2)Oc2ncnc3c2cnn3-c2c(Cl)cccc2C#N)nc1,1,IC50,electrophysiology_functional,2013.0,2013.0,STR-02959B9FF6A30A6C2DAB,O=C(Nc1ccccn1)C(CN1CCC1)Oc1ncnc2c1cnn2-c1ccccc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
23,STR-0296FB739CB205CC31BD,ZJJMMLPXSVHEQZ-LSNHULEUSA-N,CC(=O)C1=NN(c2ccccc2)/C(=C2/S/C(=N\c3nc(-c4ccccc4)cc(-c4ccccc4)c3C#N)N(c3ccccc3)C2=O)S1,1,IC50,electrophysiology_functional,2015.0,2015.0,STR-0296FB739CB205CC31BD,O=C1C(=C2SC=NN2c2ccccc2)SC(=Nc2cc(-c3ccccc3)cc(-c3ccccc3)n2)N1c1ccccc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
24,STR-02A3F59A633E0FF490DD,BZDVHQGBESBFIO-UHFFFAOYSA-N,Clc1ccc(-n2c(-c3ccc(N4CCOCC4)nc3)nc3ccncc32)cc1,1,IC50,electrophysiology_functional,2018.0,2018.0,STR-02A3F59A633E0FF490DD,c1ccc(-n2c(-c3ccc(N4CCOCC4)nc3)nc3ccncc32)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
25,STR-02B9B42DE00C37BAC9DD,LQACHSKOFRRQDO-UHFFFAOYSA-N,CCC(CC)CNc1c(C(N)=O)cnc2ccc(-c3cncnc3)cc12,1,IC50,electrophysiology_functional,2016.0,2016.0,STR-02B9B42DE00C37BAC9DD,c1cnc2ccc(-c3cncnc3)cc2c1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
26,STR-02E5E043CE4CF9911268,STIWHEMFVTWALB-UHFFFAOYSA-N,Cn1c(SCCCN2CC3CCN(c4ccc(C(F)(F)F)cc4)C3C2)nnc1-c1ccc(=O)n(C)c1,1,IC50,electrophysiology_functional,2016.0,2016.0,STR-02E5E043CE4CF9911268,O=c1ccc(-c2nnc(SCCCN3CC4CCN(c5ccccc5)C4C3)[nH]2)c[nH]1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
27,STR-0316695BC31F23207E21,JUMJODAYGHYIAH-CPJLOUKISA-N,COc1cc(NC2CN(CCCF)C2)ccc1[C@@H]1c2ccc3[nH]ncc3c2C[C@@H](C)N1CC(F)(F)F,1,IC50,electrophysiology_functional,2018.0,2018.0;2020.0,STR-0316695BC31F23207E21,c1cc(C2NCCc3c2ccc2[nH]ncc32)ccc1NC1CNC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
28,STR-031CFC28F147231985A1,CGWBNWSADUPPAJ-VOIUYBSRSA-N,COc1cnc(OCCNCCCF)cc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)F,1,IC50,electrophysiology_functional,2019.0,2019.0,STR-031CFC28F147231985A1,c1ccc2c3c([nH]c2c1)C(c1ccncc1)NCC3,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
29,STR-032D75E1003202E6618B,UBSRTPHETWULEN-UHFFFAOYSA-N,CCC(CC)CNc1c(C(N)=O)cnc2ccc(-c3ccc(CO)nc3)cc12,1,IC50,electrophysiology_functional,2016.0,2016.0,STR-032D75E1003202E6618B,c1cncc(-c2ccc3ncccc3c2)c1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
30,STR-0335084C3A747977BC3F,QSAQGWNYEHBCEH-QWHCGFSZSA-N,COc1ccc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(N)=O)nc1C(C)C,1,IC50,electrophysiology_functional,2014.0,2014.0,STR-0335084C3A747977BC3F,c1ccc(Nc2cnnc(NC3CCCCC3)c2)nc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
31,STR-0364D03C5D7290C6D724,ZCCAYEFCNRAEQR-UHFFFAOYSA-N,CS(=O)(=O)CCNC(=O)c1ccc2cc(Oc3ccc(C(F)(F)F)cn3)ccc2n1,0,IC50,electrophysiology_functional,2022.0,2022.0,STR-0364D03C5D7290C6D724,c1ccc(Oc2ccc3ncccc3c2)nc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
32,STR-036E1840C4871B0F1D9A,DMNOVGJWPASQDL-OAQYLSRUSA-N,COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1,1,IC50,electrophysiology_functional,2013.0,2013.0;2021.0,STR-036E1840C4871B0F1D9A,c1ccc(C2(CCNCc3cccs3)CCOC3(CCCC3)C2)nc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
33,STR-0371B5012F48FB251278,MCOFPSLIHQZOPC-UHFFFAOYSA-N,COc1ccc(-n2c(=O)c3c(CN(C)C)c(-c4ccc(NC(=O)NOCC(F)(F)F)cc4)sc3n(Cc3c(F)cccc3F)c2=O)nn1,1,IC50,electrophysiology_functional,2022.0,2022.0,STR-0371B5012F48FB251278,O=c1c2cc(-c3ccccc3)sc2n(Cc2ccccc2)c(=O)n1-c1cccnn1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
34,STR-039603D7993A41B4436B,PVMXWBBEWBMXRG-UHFFFAOYSA-N,COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc2ccccc2OC)CC1,1,IC50,electrophysiology_functional,2011.0,2011.0,STR-039603D7993A41B4436B,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccccc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
35,STR-039ACBAC9567BF346958,GQYPNMGFRGWEPG-UHFFFAOYSA-N,CCCC(N)C(=O)NCCc1ccc(-c2ccc(Cl)c(Cl)c2)cc1,0,IC50,electrophysiology_functional,2021.0,2021.0,STR-039ACBAC9567BF346958,c1ccc(-c2ccccc2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
36,STR-039F4F17E2E95F6C539A,MXYFRVNXUQVOQV-UHFFFAOYSA-N,CC(C)(C)S(=O)(=O)c1ccc2nccc(Nc3cc[nH]n3)c2c1,1,IC50,electrophysiology_functional,2018.0,2018.0,STR-039F4F17E2E95F6C539A,c1ccc2c(Nc3cc[nH]n3)ccnc2c1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
37,STR-03A5DE332CBFFEC8AE3E,FYNZNIRXAODRQU-UHFFFAOYSA-N,O=C(c1ccc(Cl)c(C(F)(F)F)c1)N1CCN(c2cc(=O)[nH]c(=O)n2Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)CC1,0,IC50,electrophysiology_functional,2015.0,2015.0,STR-03A5DE332CBFFEC8AE3E,O=C(c1ccccc1)N1CCN(c2cc(=O)[nH]c(=O)n2Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)CC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
38,STR-03B078A091D18E0FC29F,VSNQNHMQGHRVGC-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C#Cc1nn(CC2CCN(C)CC2)c2ncnc(N)c12,1,IC50,electrophysiology_functional,2016.0,2016.0,STR-03B078A091D18E0FC29F,O=C(Nc1cccc(C#Cc2nn(CC3CCNCC3)c3ncncc23)c1)c1ccccc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
39,STR-03B4AFBD7CDB1810302D,NDVLMIAITDNNGP-UHFFFAOYSA-N,CCCCCCn1c(NC2CCN(CCc3ccc(OC)cc3)CC2)nc2ccccc21,1,IC50,electrophysiology_functional,2017.0,2017.0,STR-03B4AFBD7CDB1810302D,c1ccc(CCN2CCC(Nc3nc4ccccc4[nH]3)CC2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
40,STR-03BE336DFABB8DE70F3B,PMWZSLRPVRCNKM-UHFFFAOYSA-N,Fc1ccc(-n2cc(NCCN3CCCCC3)nn2)cc1F,1,IC50,electrophysiology_functional,2015.0,2015.0,STR-03BE336DFABB8DE70F3B,c1ccc(-n2cc(NCCN3CCCCC3)nn2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
41,STR-03C9D54BC354CBE98DA9,AAAQFGUYHFJNHI-SFHVURJKSA-N,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,0,IC50,electrophysiology_functional,2011.0,2011.0,STR-03C9D54BC354CBE98DA9,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
42,STR-03CB215ACE7C91DA024D,KEWCBOPKRHBSPW-QQKFYDJZSA-N,CCc1cn(C2=CCC3C4CC=C5C[C@@H](NC(=O)c6ccncc6)CC[C@]5(C)C4CC[C@]23C)cn1,1,IC50,electrophysiology_functional,2023.0,2023.0,STR-03CB215ACE7C91DA024D,O=C(NC1CCC2C(=CCC3C2CCC2C(n4ccnc4)=CCC23)C1)c1ccncc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
43,STR-03E9891E23D3DF7C628B,ZMPWABKGLZAGLE-UHFFFAOYSA-N,Cc1cc(C)nc(Nc2cc(NCC3(N)CC3)cnc2C(N)=O)c1,1,IC50,electrophysiology_functional,2015.0,2015.0,STR-03E9891E23D3DF7C628B,c1ccc(Nc2cncc(NCC3CC3)c2)nc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
44,STR-045D92B245B5A9F7DAB9,RXBOHMYNNSSXNZ-FQEVSTJZSA-N,Cc1c([C@@H](O)CN2CCC3(CC2)CCN(C2=CC(=O)OC2)C3)ccc2c1COC2=O,0,IC50,electrophysiology_functional,2021.0,2021.0,STR-045D92B245B5A9F7DAB9,O=C1C=C(N2CCC3(CCN(CCc4ccc5c(c4)COC5=O)CC3)C2)CO1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
45,STR-048398AC074F20367AF1,LCRJVNQBJYIWTR-INIZCTEOSA-N,N#Cc1ccc(NC(=O)[C@H](COCCO)Oc2ncnc3c2cnn3-c2ncccc2Cl)nc1,0,IC50,electrophysiology_functional,2013.0,2013.0,STR-048398AC074F20367AF1,O=C(COc1ncnc2c1cnn2-c1ccccn1)Nc1ccccn1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
46,STR-049162C4DB12ABB4272E,MPJVEQUTYMMVFV-UHFFFAOYSA-N,CC(C)(C)N1CCN(C(=O)c2ccc(-c3cnc(N)c(-c4ccc(C(F)(F)F)cc4)n3)cc2)CC1,1,IC50,electrophysiology_functional,2016.0,2016.0,STR-049162C4DB12ABB4272E,O=C(c1ccc(-c2cncc(-c3ccccc3)n2)cc1)N1CCNCC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
47,STR-04A2E75CF5B4AB182429,DIFGSGNUHRNWPK-GCJKJVERSA-N,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccccc4)cc23)CC[C@]1(C)N,1,IC50,electrophysiology_functional,2017.0,2017.0,STR-04A2E75CF5B4AB182429,c1ccc(-c2cc3c(NC4CCCC4)ccnn3c2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
