modeling_row,structure_id,standard_inchi_key,smiles,herg_blocker_label,endpoints,assay_families,document_year,document_years,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
2164,STR-C862AC7BE61C04F1F4D5,XRXXKWOKXISVCY-UHFFFAOYSA-N,CCCCCCCN(CC)CCCCc1ccc(Cl)cc1,1,IC50,electrophysiology_functional,2013.0,2013.0,STR-C862AC7BE61C04F1F4D5,c1ccccc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2165,STR-C86C28931EEEA32C1808,XKONRMXLBXCJAM-AWEZNQCLSA-N,C[C@@]1(c2cc(CNC3(C(F)(F)F)CC3)c(F)cc2F)CCSC(N)=N1,1,IC50,electrophysiology_functional,2017.0,2017.0,STR-C86C28931EEEA32C1808,C1=NC(c2cccc(CNC3CC3)c2)CCS1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2166,STR-C8812A1BEA8D4E26E9CD,YHEWTLLIVPRLRS-OAQYLSRUSA-N,CCN(CC)C(=O)c1ccc([C@H]2CC3(CCNCC3)Oc3ccccc32)cc1,1,IC50,electrophysiology_functional,2009.0,2009.0,STR-C8812A1BEA8D4E26E9CD,c1ccc(C2CC3(CCNCC3)Oc3ccccc32)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
2167,STR-C88D0966388E08D6637B,ZKUCQWGFICXSOS-UHFFFAOYSA-N,CS(=O)(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,0,IC50,electrophysiology_functional,2011.0,2011.0,STR-C88D0966388E08D6637B,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccccc54)CC3)nc2N1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2168,STR-C898FA9A9D744E2218DB,HPRCKBOWJYALMP-UHFFFAOYSA-N,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccc(Cl)cc4)sc3C)c2)cc1,1,IC50,electrophysiology_functional,2010.0,2010.0,STR-C898FA9A9D744E2218DB,O=C(NCc1cccc(OCc2csc(-c3ccccc3)n2)c1)Oc1ccccc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2169,STR-C89FD676F964DFAC516F,AWKTWOOCLJMRQH-SNVBAGLBSA-N,CCc1noc(-c2nnc3n2CCN(C(=O)c2ccc(F)cc2)[C@@H]3C)n1,0,IC50,electrophysiology_functional,2016.0,2016.0,STR-C89FD676F964DFAC516F,O=C(c1ccccc1)N1CCn2c(nnc2-c2ncno2)C1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2170,STR-C8A530A980827716DBC6,LXGKPUINNMCWKV-UHFFFAOYSA-N,O=C(CN1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cn3)c2)CC1)NC(c1ccc(F)cc1)c1ccc(F)cc1,1,IC50,electrophysiology_functional,2009.0,2009.0,STR-C8A530A980827716DBC6,O=C(CN1CCN(Cc2ccn(-c3ccccn3)c2)CC1)NC(c1ccccc1)c1ccccc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2171,STR-C8BD465392840BA94165,YFZUPNXXGBVULC-UHFFFAOYSA-N,C[S+]([O-])c1ccc(-c2cnc3ccc(Nc4cnccn4)nn23)cc1,1,IC50,electrophysiology_functional,2018.0,2018.0,STR-C8BD465392840BA94165,c1ccc(-c2cnc3ccc(Nc4cnccn4)nn23)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2172,STR-C8BEEE3174329F360255,MLBJOEYRBVEINR-UHFFFAOYSA-N,Nc1ncnc(N2CCC(c3nc(-c4ccc(F)c(C(F)(F)F)c4)cn3CCN3CCC3)CC2)c1C1CCC1,1,IC50,electrophysiology_functional,2021.0,2021.0,STR-C8BEEE3174329F360255,c1ccc(-c2cn(CCN3CCC3)c(C3CCN(c4ncncc4C4CCC4)CC3)n2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2173,STR-C8C03FCF30A5FA9DBB0D,AYGFADNRIUKNFZ-UHFFFAOYSA-N,N#CC1(CNC(=O)c2cc(Cl)cc(Cl)c2)CCN(CCc2ccccc2)CC1,1,IC50,electrophysiology_functional,2011.0,2011.0,STR-C8C03FCF30A5FA9DBB0D,O=C(NCC1CCN(CCc2ccccc2)CC1)c1ccccc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
