PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,194140438,49791890,C1CCC(C1)[C@@](C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O,Active,,,Potential missing data,Activity,Active
2,194161158,71777742,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)N,Active,,,Potential missing data,Activity,Active
