table,code,severity,scope,message,row_number,column,identifier,value,context
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,15073,assay_description,25930522,Inhibition of hERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,15074,assay_description,25930523,Inhibition of hERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,15341,assay_description,26182662,Inhibition of hERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,15342,assay_description,26182663,Inhibition of hERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,15368,assay_description,26314807,Inhibition of hERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,15369,assay_description,26314808,Inhibition of hERG (unknown origin),{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,17518,assay_description,29264816,Inhibition of hERG extracted from membrane (unknown origin) incubated for 4 hrs by fluorescence polarization assay,{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,17519,assay_description,29264821,Inhibition of hERG extracted from membrane (unknown origin) incubated for 4 hrs by fluorescence polarization assay,{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,17520,assay_description,29264823,Inhibition of hERG extracted from membrane (unknown origin) incubated for 4 hrs by fluorescence polarization assay,{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,17521,assay_description,29264824,Inhibition of hERG extracted from membrane (unknown origin) incubated for 4 hrs by fluorescence polarization assay,{}
herg,ambiguous_assay_context,warning,row,Assay description explicitly leaves biological context unspecified.,17522,assay_description,29264836,Inhibition of hERG extracted from membrane (unknown origin) incubated for 4 hrs by fluorescence polarization assay,{}
