table,severity,code,scope,finding_count,affected_row_count
pk,error,missing_numeric_value,row,67,67
pk,error,missing_unit,row,46,46
pk,warning,conflicting_repeated_measurement,row,20,20
pk,warning,missing_unit,row,53,53
pk,warning,unknown_unit,row,3,3
pk,info,mass_concentration_requires_molecular_weight,row,2,2
