table,code,severity,scope,message,row_number,column,identifier,value,context
menin,missing_numeric_value,error,row,'value_raw' is missing.,561,value_raw,28232607,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,562,value_raw,28232608,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,564,value_raw,28232610,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,565,value_raw,28232611,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,567,value_raw,28232613,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,568,value_raw,28232614,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,570,value_raw,28232616,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,571,value_raw,28232617,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,573,value_raw,28232619,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,574,value_raw,28232620,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,576,value_raw,28232622,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,577,value_raw,28232623,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,579,value_raw,28232625,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,580,value_raw,28232626,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,582,value_raw,28232628,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,583,value_raw,28232629,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,585,value_raw,28232631,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,586,value_raw,28232632,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,588,value_raw,28232634,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,589,value_raw,28232635,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,591,value_raw,28232637,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,592,value_raw,28232638,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,594,value_raw,28232640,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,595,value_raw,28232641,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,597,value_raw,28232643,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,598,value_raw,28232644,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,600,value_raw,28232646,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,601,value_raw,28232647,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,603,value_raw,28232649,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,604,value_raw,28232650,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,606,value_raw,28232652,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,607,value_raw,28232653,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,609,value_raw,28232655,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,610,value_raw,28232656,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,612,value_raw,28232658,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,613,value_raw,28232659,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,615,value_raw,28232661,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,616,value_raw,28232662,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,618,value_raw,28232664,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,619,value_raw,28232665,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,621,value_raw,28232667,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,622,value_raw,28232668,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,624,value_raw,28232670,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,625,value_raw,28232671,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,627,value_raw,28232673,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,628,value_raw,28232674,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,630,value_raw,28232676,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,631,value_raw,28232677,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,633,value_raw,28232679,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,634,value_raw,28232680,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,636,value_raw,28232682,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,637,value_raw,28232683,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,639,value_raw,28232685,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,640,value_raw,28232686,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,642,value_raw,28232688,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,643,value_raw,28232689,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,645,value_raw,28232691,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,646,value_raw,28232692,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,648,value_raw,28232694,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,649,value_raw,28232695,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,651,value_raw,28232697,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,652,value_raw,28232698,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,654,value_raw,28232700,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,655,value_raw,28232701,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,657,value_raw,28232703,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,658,value_raw,28232704,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,660,value_raw,28232706,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,661,value_raw,28232707,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,663,value_raw,28232709,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,664,value_raw,28232710,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,666,value_raw,28232712,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,667,value_raw,28232713,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,669,value_raw,28232715,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,670,value_raw,28232716,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,672,value_raw,28232718,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,673,value_raw,28232719,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,675,value_raw,28232721,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,676,value_raw,28232722,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,678,value_raw,28232724,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,679,value_raw,28232725,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,681,value_raw,28232727,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,682,value_raw,28232728,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,684,value_raw,28232730,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,685,value_raw,28232731,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,687,value_raw,28232733,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,688,value_raw,28232734,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,690,value_raw,28232736,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,691,value_raw,28232737,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,693,value_raw,28232739,,{}
menin,missing_numeric_value,error,row,'value_raw' is missing.,694,value_raw,28232740,,{}
