table,field,evidence_domain,missing_rows,denominator_rows,missing_rate
observations,p_activity_relation,other,0,325961,0.0
observations,p_activity_relation,pk_adme,0,864223,0.0
observations,p_activity_relation,qt,0,1200,0.0
observations,potential_leakage,binding,0,2706128,0.0
observations,potential_leakage,herg,0,40860,0.0
observations,potential_leakage,other,0,325961,0.0
observations,potential_leakage,pk_adme,0,864223,0.0
observations,potential_leakage,qt,0,1200,0.0
observations,protein_id,binding,0,2706128,0.0
observations,protein_id,herg,0,40860,0.0
observations,protein_id,other,0,325961,0.0
observations,protein_id,pk_adme,0,864223,0.0
observations,protein_id,qt,0,1200,0.0
observations,quality_grade,binding,0,2706128,0.0
observations,quality_grade,herg,0,40860,0.0
observations,quality_grade,other,0,325961,0.0
observations,quality_grade,pk_adme,0,864223,0.0
observations,quality_grade,qt,0,1200,0.0
observations,raw_file_ids,binding,0,2706128,0.0
observations,raw_file_ids,herg,0,40860,0.0
observations,raw_file_ids,other,0,325961,0.0
observations,raw_file_ids,pk_adme,0,864223,0.0
observations,raw_file_ids,qt,0,1200,0.0
observations,relation,binding,0,2706128,0.0
observations,relation,herg,0,40860,0.0
observations,relation,other,0,325961,0.0
observations,relation,pk_adme,0,864223,0.0
observations,relation,qt,0,1200,0.0
observations,result_status,binding,0,2706128,0.0
observations,result_status,herg,0,40860,0.0
observations,result_status,other,0,325961,0.0
observations,result_status,pk_adme,0,864223,0.0
observations,result_status,qt,0,1200,0.0
observations,snapshot_id,binding,0,2706128,0.0
observations,snapshot_id,herg,0,40860,0.0
observations,snapshot_id,other,0,325961,0.0
observations,snapshot_id,pk_adme,0,864223,0.0
observations,snapshot_id,qt,0,1200,0.0
observations,source_id,binding,0,2706128,0.0
observations,source_id,herg,0,40860,0.0
observations,source_id,other,0,325961,0.0
observations,source_id,pk_adme,0,864223,0.0
observations,source_id,qt,0,1200,0.0
observations,source_record_id,binding,0,2706128,0.0
observations,source_record_id,herg,0,40860,0.0
observations,source_record_id,other,0,325961,0.0
observations,source_record_id,pk_adme,0,864223,0.0
observations,source_record_id,qt,0,1200,0.0
observations,unit_conversion_status,binding,0,2706128,0.0
observations,unit_conversion_status,herg,0,40860,0.0
observations,unit_conversion_status,other,0,325961,0.0
observations,unit_conversion_status,pk_adme,0,864223,0.0
observations,unit_conversion_status,qt,0,1200,0.0
observations,upper_bound,binding,463460,2706128,0.17126314793683078
observations,upper_bound,herg,17920,40860,0.438570729319628
observations,upper_bound,other,87757,325961,0.2692254594874847
observations,upper_bound,pk_adme,267926,864223,0.3100195204247052
observations,upper_bound,qt,429,1200,0.3575
observations,value_numeric,binding,6879,2706128,0.00254200836028451
observations,value_numeric,herg,10398,40860,0.25447870778267256
observations,value_numeric,other,595,325961,0.0018253717469267797
observations,value_numeric,pk_adme,80154,864223,0.09274689518793182
observations,value_numeric,qt,354,1200,0.295
observations,value_provenance,binding,0,2706128,0.0
observations,value_provenance,herg,0,40860,0.0
observations,value_provenance,other,0,325961,0.0
observations,value_provenance,pk_adme,0,864223,0.0
observations,value_provenance,qt,0,1200,0.0
observations,value_raw,binding,67817,2706128,0.025060529287602065
observations,value_raw,herg,10436,40860,0.25540871267743515
observations,value_raw,other,97,325961,0.0002975816125241977
observations,value_raw,pk_adme,77938,864223,0.0901827421857553
observations,value_raw,qt,354,1200,0.295
protein_constructs,component_accession,<all>,0,9071,0.0
protein_constructs,component_id,<all>,0,9071,0.0
protein_constructs,component_order,<all>,0,9071,0.0
protein_constructs,component_type,<all>,0,9071,0.0
protein_constructs,construct_description,<all>,0,9071,0.0
protein_constructs,construct_id,<all>,0,9071,0.0
protein_constructs,parent_target_id,<all>,0,9071,0.0
protein_constructs,protein_id,<all>,0,9071,0.0
protein_constructs,quality_status,<all>,0,9071,0.0
protein_constructs,sequence,<all>,0,9071,0.0
protein_constructs,sequence_sha256,<all>,0,9071,0.0
protein_constructs,source_id,<all>,0,9071,0.0
protein_constructs,source_record_id,<all>,0,9071,0.0
proteins,canonical_target_id,<all>,0,9411,0.0
proteins,component_protein_ids,<all>,548,9411,0.05822973116565721
proteins,entity_type,<all>,0,9411,0.0
proteins,gene_symbol,<all>,9411,9411,1.0
proteins,identity_resolution_status,<all>,0,9411,0.0
proteins,isoform,<all>,9411,9411,1.0
proteins,protein_id,<all>,0,9411,0.0
proteins,sequence,<all>,397,9411,0.042184677505047286
proteins,sequence_sha256,<all>,397,9411,0.042184677505047286
proteins,species,<all>,22,9411,0.002337689937307406
proteins,target_name,<all>,0,9411,0.0
proteins,uniprot_accession,<all>,306,9411,0.03251514185527574
source_files,immutability_status,<all>,0,15,0.0
source_files,media_type,<all>,0,15,0.0
source_files,origin_path,<all>,15,15,1.0
source_files,relative_path,<all>,0,15,0.0
source_files,row_count,<all>,15,15,1.0
source_files,sha256,<all>,0,15,0.0
source_files,size_bytes,<all>,0,15,0.0
source_files,snapshot_id,<all>,0,15,0.0
source_files,source_file_id,<all>,0,15,0.0
source_files,source_id,<all>,0,15,0.0
sources,access_class,<all>,0,1,0.0
sources,citation,<all>,0,1,0.0
sources,license_name,<all>,0,1,0.0
sources,license_status,<all>,0,1,0.0
sources,license_url,<all>,0,1,0.0
sources,limitations,<all>,0,1,0.0
sources,query_json,<all>,0,1,0.0
sources,redistribution_status,<all>,0,1,0.0
sources,retrieval_date_utc,<all>,0,1,0.0
sources,retrieval_status,<all>,0,1,0.0
sources,snapshot_id,<all>,0,1,0.0
sources,source_id,<all>,0,1,0.0
sources,source_name,<all>,0,1,0.0
sources,source_record_scope,<all>,0,1,0.0
sources,source_url,<all>,0,1,0.0
sources,source_version,<all>,0,1,0.0
task_registry,assay_family,<all>,0,28,0.0
task_registry,default_task_eligible,<all>,0,28,0.0
task_registry,endpoint,<all>,0,28,0.0
task_registry,evidence_domain,<all>,0,28,0.0
