year_band,holdout_rows,mae,median_absolute_error
2010-2014,17,0.6799486590574342,0.6456099832761355
2015-2019,51,0.8319241920416653,0.7978432590991478
2020-2024,95,0.7070940644000283,0.6335152321102022
2025-2029,6,0.8535431549886634,0.4926383715896465
