structure_id,standard_inchi_key,smiles,compound_ids,endpoint,assay_family,p_activity_median,value_nm_median,n_measurements,sources,activity_range_log10
STR-D4B228AA42C515EFF74F,NEYHMGVJGXSGLB-YFTHYISFSA-N,C=CC(=O)Nc1cccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)c1,506337,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
STR-E4F36A98E00A8B27E8BD,UDCCIJLZCSLTOS-ANCAAGCLSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](Cn1ccnn1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,CHEMBL4454017,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL;PubChem,0.0
STR-F10D2D8306F0D924B76B,LXSIPWFLROWVOQ-VJZJJTPSSA-N,C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,CHEMBL5886290,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL;PubChem,0.0
STR-F10D2D8306F0D924B76B,LXSIPWFLROWVOQ-VJZJJTPSSA-N,C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,506340,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
STR-F32727EFAF81D38C7334,LKWDPBUNZKEQDA-WNGYSACNSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCC5)C4)cc3)C2)CC1,CHEMBL4588924,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL,0.0
STR-F32727EFAF81D38C7334,LKWDPBUNZKEQDA-WNGYSACNSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCC5)C4)cc3)C2)CC1,50511903,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
STR-B0D08E157DE9D6B7ECDB,AOGPBKJKSGZHDZ-ISMFANLDSA-N,CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1C/C=C\C[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(F)c2)NC1=O,162670123,IC50,biochemical_inhibition,8.628932137728263,2.35,1,PubChem,0.0
STR-5D9D18A659624B9D4D9E,DHTUDUJUVDDGLA-UHFFFAOYSA-N,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCCC1,CHEMBL4578509,Ki,biochemical_binding,8.619788758288394,2.4,1,BindingDB;ChEMBL,0.0
STR-5D9D18A659624B9D4D9E,DHTUDUJUVDDGLA-UHFFFAOYSA-N,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCCC1,132104382,Ki,cellular_functional,8.619788758288394,2.4,1,PubChem,0.0
STR-C6C7319A2332D2316F26,HMBDDYNLCGJMBR-JPWMAOOBSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)C5)C4)cc3)C2)CC1,155525699,IC50,in_vivo,8.610924374808178,2.5,4,PubChem,3.3010299956639813
STR-F32727EFAF81D38C7334,LKWDPBUNZKEQDA-WNGYSACNSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCC5)C4)cc3)C2)CC1,155567300,IC50,in_vivo,8.610924374808178,2.5,4,PubChem,3.0211892990699383
STR-4B2666E7A6862E420991,HWMVEUVCYTZXSW-YSJNHPSYSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2(OC)CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,CHEMBL5085940,IC50,biochemical_binding,8.602059991327963,2.5,1,ChEMBL,0.0
STR-4B2666E7A6862E420991,HWMVEUVCYTZXSW-YSJNHPSYSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2(OC)CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,50582744,IC50,biochemical_inhibition,8.602059991327963,2.5,1,BindingDB,0.0
STR-CC119FD289E2F37C242E,BTSUNSRQYLVGIS-ADTYUTHVSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1,CHEMBL4438797,IC50,biochemical_binding,8.585026652029182,2.6,1,ChEMBL,0.0
STR-CC119FD289E2F37C242E,BTSUNSRQYLVGIS-ADTYUTHVSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1,50511904,IC50,biochemical_inhibition,8.585026652029182,2.6,1,BindingDB,0.0
STR-A814A4A72CF8681234C9,FZCLCVXNMVHYFD-BSGLOOBLSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2(OC)CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,166628336,IC50,in_vivo,8.568636235841012,2.7,3,PubChem,1.334628552715739
