structure_id,standard_inchi_key,smiles,compound_ids,endpoint,assay_family,p_activity_median,value_nm_median,n_measurements,sources,activity_range_log10
STR-DC80B2DAE37FF4BEDB8F,MBFYNGBMAACLAT-UHFFFAOYSA-N,CNc1nc(NC2CCN(Cc3ccc4c(cc(C#N)n4CC45CC(NC=O)(C4)C5)c3C)CC2)c2cc(CC(F)(F)F)sc2n1,130443890,IC50,biochemical_inhibition,9.30102999566398,0.5,1,PubChem,0.0
STR-073AD85CF5EE1E9C87AB,MIDBFVUJIVFIOM-UHFFFAOYSA-N,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,CHEMBL4585198,Ki,biochemical_binding,9.0,1.0,1,BindingDB;ChEMBL,0.0
STR-073AD85CF5EE1E9C87AB,MIDBFVUJIVFIOM-UHFFFAOYSA-N,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,132090541,Ki,cellular_functional,9.0,1.0,1,PubChem,0.0
STR-34DA364C524542BAF54B,LAHJBSUOBULURD-HHKHNSFJSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,CHEMBL4530300,IC50,biochemical_binding,9.0,1.0,1,ChEMBL,0.0
STR-34DA364C524542BAF54B,LAHJBSUOBULURD-HHKHNSFJSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,50511905,IC50,biochemical_inhibition,9.0,1.0,1,BindingDB,0.0
STR-34FE1D5BDCFE7B2EB7FE,MCMLLYNXDSNKTO-PALXJHBUSA-N,O=c1cccc2n1[C@@H]1C[C@H](C2)CN(CC(O)CCCc2ccccc2)C1,CHEMBL4211366,IC50,biochemical_binding,9.0,1.0,1,ChEMBL,0.0
STR-34FE1D5BDCFE7B2EB7FE,MCMLLYNXDSNKTO-PALXJHBUSA-N,O=c1cccc2n1[C@@H]1C[C@H](C2)CN(CC(O)CCCc2ccccc2)C1,50454121,IC50,biochemical_inhibition,9.0,1.0,1,BindingDB;PubChem,0.0
STR-723FB71024F547E2C9C5,QJWOBZCZCISQBL-VXSFFCHMSA-N,C[C@@]12CN(CC(O)CCCc3ccccc3)C[C@@](C)(C1)c1cccc(=O)n1C2,171354227,IC50,biochemical_inhibition,9.0,1.0,1,PubChem,0.0
STR-BB3373616F96D1625E90,BCTIJYSCGDNKEE-OKOZNKHASA-N,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2(F)CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,CHEMBL6053681,IC50,biochemical_binding,9.0,1.0,1,ChEMBL;PubChem,0.0
STR-BB3373616F96D1625E90,BCTIJYSCGDNKEE-OKOZNKHASA-N,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2(F)CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,506357,IC50,biochemical_inhibition,9.0,1.0,1,BindingDB,0.0
STR-ECA04B71ABBECE5B5C4C,SHNAIZGISNDQJQ-UHFFFAOYSA-N,O=S(=O)(NCB(O)O)c1ccc(-c2nn[nH]n2)cc1,71549452,Ki,biochemical_binding,8.920818753952375,1.2,1,PubChem,0.0
STR-052D31B0B659EBB9473E,LPPRDZVYQRJOOO-SXOMAYOGSA-N,CCN(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@@H]3CC[C@@H](NC(=O)NCC4CC4)CO3)CC2)C1)C(C)C,656647,Ki,biochemical_binding,8.903089986991944,1.25,1,BindingDB;PubChem,0.0
STR-2D8843254F92027CB324,QURMPJZYPCSXKN-SXOMAYOGSA-N,CCN(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@@H]3CC[C@@H](NS(=O)(=O)CCN(C)C)CO3)CC2)C1)C(C)C,656824,Ki,biochemical_binding,8.903089986991944,1.25,1,BindingDB;PubChem,0.0
STR-495577E2F7FD7CFA736E,LRUVGLUJXLOGAW-FTJBHMTQSA-N,CCN(C(=O)c1cc(F)ccc1Oc1cnc(C)nc1N1CC2(CCN(C[C@@H]3CC[C@@H](NS(=O)(=O)CC)CO3)CC2)C1)C(C)C,656820,Ki,biochemical_binding,8.903089986991944,1.25,1,BindingDB;PubChem,0.0
STR-5FD5B7D1231F811AD204,MLNCDQCPBWERBE-FTJBHMTQSA-N,CCCNC(=O)N[C@@H]1CC[C@@H](CN2CCC3(CC2)CN(c2ncncc2Oc2ccc(F)cc2C(=O)N(CC)C(C)C)C3)OC1,656643,Ki,biochemical_binding,8.903089986991944,1.25,1,BindingDB;PubChem,0.0
STR-147A63755BE965C495DD,CYJSKFFTBNCOKD-MOTFGSSMSA-N,N=C(N)NCCC[C@H](NC(=O)COCCOCCOCCNC(=O)c1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cc(F)cc(F)c2)NC1=O,CHEMBL2314822,Kd,biochemical_binding,8.853871964321762,1.4,1,BindingDB;ChEMBL;PubChem,0.0
STR-1E41EA89AAF9C5AE998F,JHWOZNHPOMQEEW-UHFFFAOYSA-N,CC(C)N1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,CHEMBL4551865,Ki,biochemical_binding,8.853871964321762,1.4,1,BindingDB;ChEMBL,0.0
STR-1E41EA89AAF9C5AE998F,JHWOZNHPOMQEEW-UHFFFAOYSA-N,CC(C)N1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,132104365,Ki,cellular_functional,8.853871964321762,1.4,1,PubChem,0.0
STR-A70185AE5063299B6804,RSSRSCZYQVYTTR-UHFFFAOYSA-N,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CN(CC5CC5)Cc5ccccc54)CC3)C2)cc1,CHEMBL4592636,Ki,biochemical_binding,8.853871964321762,1.4,1,BindingDB;ChEMBL,0.0
STR-A70185AE5063299B6804,RSSRSCZYQVYTTR-UHFFFAOYSA-N,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CN(CC5CC5)Cc5ccccc54)CC3)C2)cc1,132104736,Ki,cellular_functional,8.853871964321762,1.4,1,PubChem,0.0
