modeling_row,structure_id,smiles,p_activity_median,endpoints,assay_families,sources,document_year,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
61,STR-74AB0C5D40C92C89D385,CO[C@@H]1CCC[C@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,5.214670164989233,Ki,biochemical_binding,BindingDB;ChEMBL,2019.0,STR-74AB0C5D40C92C89D385,c1ccc(C(C2CCCC2)C2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
62,STR-7CB5FC4DF2338F3CCE69,CC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,7.756961951313706,Ki,biochemical_binding,PubChem,2013.0,STR-7CB5FC4DF2338F3CCE69,O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2c[nH]c3ccccc23)CCCCCCNC(=O)C2CCCN2C(=O)CN1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
63,STR-7CFBCFB6478602919F29,CC1(C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)NC1=O,7.173925197299173,Ki,biochemical_binding,PubChem,2013.0,STR-7CFBCFB6478602919F29,O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)CCCCCCCCCNC(=O)C2CCCN2C(=O)CN1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,test
64,STR-7D0031746A963BBE8268,Cc1cccc(C[C@@H]2NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCNC(=N)N)NC(=O)C3(CCC3)NC(=O)[C@@H]3CCCN3C2=O)c1,6.478861916295964,Ki,biochemical_binding,BindingDB;ChEMBL,2013.0,STR-7D0031746A963BBE8268,O=C1CCCCCCCCCNC(=O)C2CCCN2C(=O)CNC(=O)C2(CCC2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)N1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
65,STR-7E4ED37C470579BF6D9F,NC(N)=NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(-c3ccccc3)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,4.853871964321762,Ki,biochemical_binding,PubChem,2013.0,STR-7E4ED37C470579BF6D9F,O=C1CCCCCCCCCNC(=O)C2CCCN2C(=O)CNC(=O)C2(CCC2)NC(=O)C2CCCN2C(=O)C(Cc2cccc(-c3ccccc3)c2)N1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,test
66,STR-841FC2EFD5AAF36FB504,N#Cc1ccc(N2CCC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,7.568636235841012,Ki,biochemical_binding,BindingDB;ChEMBL,2019.0,STR-841FC2EFD5AAF36FB504,c1ccc(N2CCC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
67,STR-84E68E67151229290F47,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2F)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,7.556754637413759,Ki,biochemical_binding,BindingDB;ChEMBL,2013.0,STR-84E68E67151229290F47,O=C1CCCCCCCCCNC(=O)C2CCCN2C(=O)CNC(=O)C2(CCC2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)N1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
68,STR-8D1D574EA81427A5B151,NC(N)=NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(Cl)cc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,6.260427655549908,Ki,biochemical_binding,PubChem,2013.0,STR-8D1D574EA81427A5B151,O=C1CCCCCCCCCNC(=O)C2CCCN2C(=O)CNC(=O)C2(CCC2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)N1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
69,STR-8DBCFA5C6EA9A1C4BD26,NC(N)=NCCC[C@@H]1NC(=O)C2(CC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,7.255707016877324,Ki,biochemical_binding,PubChem,2013.0,STR-8DBCFA5C6EA9A1C4BD26,O=C1CCCCCCCCCNC(=O)C2CCCN2C(=O)CNC(=O)C2(CC2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)N1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
70,STR-8DCD47D32448DCC8311A,NC(N)=NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC2CCCCC2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,6.064492734175287,Ki,biochemical_binding,PubChem,2013.0,STR-8DCD47D32448DCC8311A,O=C1CCCCCCCCCNC(=O)C2CCCN2C(=O)CNC(=O)C2(CCC2)NC(=O)C2CCCN2C(=O)C(CC2CCCCC2)N1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,test
