smiles,n_measurements,n_sources,p_activity_median,p_activity_best,value_nm_median,value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM,predicted_herg_blocker_probability,predicted_herg_risk
CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccncc2)CC1)c1ccccc1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,BindingDB,480125,Menin,,high_potency_<=100nM,True,True,0.7499376168913543,high
CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,ChEMBL,CHEMBL5769793,Menin,2021,high_potency_<=100nM,True,True,0.7685226640096916,high
CC(C)N(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CN(C(=O)C3NC4CCC3CC4)C2)C1)C(C)C,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,ChEMBL,CHEMBL5956903,Menin,2020,high_potency_<=100nM,True,True,0.29523324627028413,low
CC(C)N(C(C)C)C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CN(C2)C(=O)C2NC3CCC2CC3)C1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,BindingDB,470586,Histone-lysine N-methyltransferase 2A/Menin,,high_potency_<=100nM,True,True,0.3420111083384125,medium
CCN1Cc2ccccc2C(C1)(C1CCCC1)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccncc2C)CC1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,BindingDB,480098,Menin,,high_potency_<=100nM,True,True,0.8364115744580066,high
CCN1Cc2ccccc2C(C1)([C@H]1CCC[C@@H]1NC(=O)NC)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2cnn(C)c2)CC1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,BindingDB,480230,Menin,,high_potency_<=100nM,True,True,0.709002239374128,high
CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5C)cc4)C3)CC2)C1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,ChEMBL,CHEMBL5843849,Menin,2021,high_potency_<=100nM,True,True,0.8367311409372779,high
CCN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5cnn(C)c5)cc4)C3)CC2)([C@H]2CCC[C@@H]2NC(=O)NC)C1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,ChEMBL,CHEMBL5859938,Menin,2021,high_potency_<=100nM,True,True,0.6760754245915891,medium
CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccn(C)n2)CC1)c1ccccc1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,BindingDB,480169,Menin,,high_potency_<=100nM,True,True,0.7702468895606558,high
CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccn(C)n4)cc3)C2)CC1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,ChEMBL,CHEMBL5777937,Menin,2021,high_potency_<=100nM,True,True,0.7831170062191048,high
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccc(cc2)C(N)=O)CC1)c1ccccc1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,BindingDB,480334,Menin,,high_potency_<=100nM,True,True,0.8327495851016258,high
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccc(C(N)=O)cc4)cc3)C2)CC1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,ChEMBL,CHEMBL5935610,Menin,2021,high_potency_<=100nM,True,True,0.8202277689976413,high
COC(=O)N[C@H]1CCC[C@@H]1C(Cn1ccnc1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2cnn(C)c2)CC1)c1ccccc1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,BindingDB,480327,Menin,,high_potency_<=100nM,True,True,0.8174387554690227,high
COC(=O)N[C@H]1CCC[C@@H]1C(Cn1ccnc1)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cnn(C)c4)cc3)C2)CC1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,ChEMBL,CHEMBL5783978,Menin,2021,high_potency_<=100nM,True,True,0.81624776509393,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C(F)(F)F)CC1)c1ccccc1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,BindingDB,480338,Menin,,high_potency_<=100nM,True,True,0.7832226944644237,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C1CCN(CCCOc2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN(C)C)CC1)c1cccc(F)c1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,BindingDB,506359,Menin,,high_potency_<=100nM,True,True,0.8045314958571638,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CCCOc2ccc(S(=O)(=O)C3CN(C(=O)/C=C/CN(C)C)C3)cc2)CC1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,ChEMBL,CHEMBL5819310,Menin,2021,high_potency_<=100nM,True,True,0.7183976508836614,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C(F)(F)F)cc3)C2)CC1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,ChEMBL,CHEMBL5899857,Menin,2021,high_potency_<=100nM,True,True,0.8343786878499929,high
Fc1cccc(c1)[C@@](C#N)([C@H]1CCC[C@@H]1NC(=O)C=C)C1CCN(CC2CN(C2)c2ccc(cc2)C#N)CC1,1,1,8.154901959985743,8.154901959985743,7.0,7.0,IC50,BindingDB,506371,Menin,,high_potency_<=100nM,True,True,0.8325884151850976,high
CC(C)N(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C(=O)[C@H]3N[C@H]4CC[C@@H]3C[C@H]4CC3CC3)CC2)C1)C(C)C,1,1,8.148741651280925,8.148741651280925,7.1,7.1,IC50,ChEMBL,CHEMBL6067936,Menin,2020,high_potency_<=100nM,True,True,0.46673468673372287,medium
CC(C)N(C(C)C)C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(C1)CCN(CC2)C(=O)[C@H]1N[C@H]2CC[C@@H]1C[C@H]2CC1CC1,1,1,8.148741651280925,8.148741651280925,7.1,7.1,IC50,BindingDB,470579,Histone-lysine N-methyltransferase 2A/Menin,,high_potency_<=100nM,True,True,0.4247628469816463,medium
CC1=C(C=CC2=C1C=C(N2CC3CNC(=O)CO3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,1,1,8.1249387366083,8.1249387366083,7.5,7.5,IC50,PubChem,118886386.0,,,high_potency_<=100nM,True,True,0.8205184453909588,high
Cc1c(CN2CCC(CC2)Nc2ncnc3sc(CC(F)(F)F)cc23)ccc2n(CC3CNC(=O)CO3)c(cc12)C#N,1,1,8.1249387366083,8.1249387366083,7.5,7.5,IC50,BindingDB,50455856,Menin,,high_potency_<=100nM,True,True,0.9172630777491665,high
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CC1CNC(=O)CO1,1,1,8.1249387366083,8.1249387366083,7.5,7.5,IC50,ChEMBL,CHEMBL4218724,Menin,2018,high_potency_<=100nM,True,True,0.8589553250814739,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CC(C7)(F)F)C8=CC(=CC=C8)F,4,1,8.110924374808178,9.0,9.5,1.0,IC50,PubChem,155545749.0,,,high_potency_<=100nM,True,True,0.8487918862072822,high
CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)C[C@@H](C(=O)C6)C(C)(C)O,1,1,8.10790539730952,8.10790539730952,7.8,7.8,IC50,PubChem,176456330.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True,0.6297064518559445,medium
C=C1C[C@H]2CC[C@@H]1N[C@@H]2C(=O)N1CCC2(CC1)CN(c1ncncc1Oc1ccc(F)cc1C(=O)N(C(C)C)C(C)C)C2,1,1,8.102372908709558,8.102372908709558,7.9,7.9,IC50,ChEMBL,CHEMBL5803279,Menin,2020,high_potency_<=100nM,True,True,0.6088754851488575,medium
CC(C)N(C(C)C)C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(C1)CCN(CC2)C(=O)[C@H]1N[C@H]2CC[C@@H]1CC2=C,1,1,8.102372908709558,8.102372908709558,7.9,7.9,IC50,BindingDB,470583,Histone-lysine N-methyltransferase 2A/Menin,,high_potency_<=100nM,True,True,0.2920593758251817,low
C1CCC(C1)C2(CNCC3=CC=CC=C32)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,3,1,8.096910013008056,8.769551078621726,8.0,1.7,IC50;Ki,PubChem,132104737.0,,,high_potency_<=100nM,True,True,0.8556240704122446,high
O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,3,1,8.096910013008056,8.769551078621726,8.0,1.7,IC50;Ki,ChEMBL,CHEMBL4449199,Menin,2019;2021,high_potency_<=100nM,True,True,0.8236963300378406,high
O=S(=O)(c1ccncc1)c1ccc(cc1)N1CC(CN2CCC(CC2)C2(CNCc3ccccc23)C2CCCC2)C1,3,1,8.096910013008056,8.769551078621726,8.0,1.7,IC50;Ki,BindingDB,50516567,Menin,,high_potency_<=100nM,True,True,0.9097668042469028,high
CCN1Cc2ccccc2C(C1)(C1CCCC1)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CC2)CC1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,BindingDB,480083,Menin,,high_potency_<=100nM,True,True,0.8267652224026583,high
CCN1Cc2ccccc2C(C1)(C1CCCC1)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CCCC2)CC1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,BindingDB,480088,Menin,,high_potency_<=100nM,True,True,0.8476700525453877,high
CCN1Cc2ccccc2C(C1)(C1CCCC1)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccc(cc2)C(O)=O)CC1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,BindingDB,480105,Menin,,high_potency_<=100nM,True,True,0.7638581875912865,high
CCN1Cc2ccccc2C(C1)(C1CCCC1)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccnc3cnccc23)CC1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,BindingDB,480103,Menin,,high_potency_<=100nM,True,True,0.8774540974292294,high
CCN1Cc2ccccc2C(C1)(C1CCCC1)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccncc2CC)CC1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,BindingDB,480101,Menin,,high_potency_<=100nM,True,True,0.8501220855943862,high
CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)C1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,ChEMBL,CHEMBL5893826,Menin,2021,high_potency_<=100nM,True,True,0.7966125670807789,high
CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CCCC5)cc4)C3)CC2)C1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,ChEMBL,CHEMBL5836021,Menin,2021,high_potency_<=100nM,True,True,0.8357832532682407,high
CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccc(C(=O)O)cc5)cc4)C3)CC2)C1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,ChEMBL,CHEMBL5936667,Menin,2021,high_potency_<=100nM,True,True,0.5470391463020489,medium
CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccnc6cnccc56)cc4)C3)CC2)C1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,ChEMBL,CHEMBL5769865,Menin,2021,high_potency_<=100nM,True,True,0.8742612667823099,high
CCc1cnccc1S(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CN(CC)Cc5ccccc54)CC3)C2)cc1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,ChEMBL,CHEMBL5820786,Menin,2021,high_potency_<=100nM,True,True,0.8528943720640233,high
CNC(=O)N[C@H]1CCC[C@@H]1C1(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)CN(C)Cc2ccccc21,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,ChEMBL,CHEMBL5848603,Menin,2021,high_potency_<=100nM,True,True,0.6988795776366982,medium
CNC(=O)N[C@H]1CCC[C@@H]1C1(CN(C)Cc2ccccc12)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccncc2)CC1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,BindingDB,480216,Menin,,high_potency_<=100nM,True,True,0.8002177943291782,high
CNC(=O)O[C@H]1CCC[C@@H]1C(Cn1ccnc1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2cnn(C)c2)CC1)c1ccccc1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,BindingDB,480177,Menin,,high_potency_<=100nM,True,True,0.7307459641481429,high
CNC(=O)O[C@H]1CCC[C@@H]1C(Cn1ccnc1)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cnn(C)c4)cc3)C2)CC1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,ChEMBL,CHEMBL6029944,Menin,2021,high_potency_<=100nM,True,True,0.7251082834568051,high
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C(F)(F)F)CC1)c1ccccc1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,BindingDB,480328,Menin,,high_potency_<=100nM,True,True,0.8505682070419337,high
COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C(F)(F)F)cc3)C2)CC1,1,1,8.096910013008056,8.096910013008056,8.0,8.0,IC50,ChEMBL,CHEMBL5962223,Menin,2021,high_potency_<=100nM,True,True,0.8687606730790153,high
N#Cc1cc2cc(CN3CCC(Nc4ncnc5sc(CC(F)(F)F)cc45)CC3)c(O)cc2n1Cc1cn[nH]c1,2,1,8.093543321678572,8.187086643357144,8.25,6.5,Kd,ChEMBL,CHEMBL3781030,Menin,2016;2019,high_potency_<=100nM,True,True,0.5279373100510766,medium
Oc1cc2n(Cc3cn[nH]c3)c(cc2cc1CN1CCC(CC1)Nc1ncnc2sc(CC(F)(F)F)cc12)C#N,2,1,8.093543321678572,8.187086643357144,8.25,6.5,Kd,BindingDB,50156122,Menin,,high_potency_<=100nM,True,True,0.9163941718602324,high
CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(C(=O)N6)(CO)CO,1,1,8.080921907623926,8.080921907623926,8.3,8.3,IC50,PubChem,169979515.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True,0.3978515104926512,medium
FC(F)(F)Cc1cc2c(N3CC4(CN(C4)C(=O)[C@@H]4N[C@@H]5CC[C@H]4C5)C3)c(cnc2s1)C#N,1,1,8.075720713938118,8.075720713938118,8.4,8.4,IC50,BindingDB,554134,Histone-lysine N-methyltransferase 2A/Menin,,high_potency_<=100nM,True,True,0.6243656301535135,medium
[2H]C([2H])([2H])C1(CC2(CCC(CC2)CN3CCC4(CC3)CN(C4)C5=C(N=NC=N5)OC6=C(C=C(C=C6)F)C(=O)N(CC)C(C)C)CC1=O)C,1,1,8.075720713938118,8.075720713938118,8.4,8.4,IC50,PubChem,176456294.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True,0.7410723219852673,high
CN(C)C/C=C/C(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)[C@](CN5CCCC5)([C@H]6CCC[C@@H]6NC(=O)OC)C7=CC(=CC=C7)F,4,1,8.06246936830415,8.698970004336019,10.0,2.0,IC50,PubChem,155544954.0,,,high_potency_<=100nM,True,True,0.6803190896020006,medium
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CCC(CC7)(F)F)C8=CC(=CC=C8)F,4,1,8.048455006504028,8.698970004336019,12.0,2.0,IC50,PubChem,155521881.0,,,high_potency_<=100nM,True,True,0.8954554691097892,high
C1CCC(C1)C2(CN(CC3=CC=CC=C32)C4CCC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,3,1,8.045757490560675,8.698970004336019,9.0,2.0,IC50;Ki,PubChem,132104363.0,,,high_potency_<=100nM,True,True,0.9339883951419016,high
CC1=C(C=CC2=C1C=C(N2C[C@@H]3CNC(=O)CO3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,3,1,8.045757490560675,8.443697499232712,9.0,3.6,IC50;Kd,PubChem,130376005.0,,,high_potency_<=100nM,True,True,0.8874472527850708,high
Cc1c(CN2CCC(CC2)Nc2ncnc3sc(CC(F)(F)F)cc23)ccc2n(C[C@@H]3CNC(=O)CO3)c(cc12)C#N,3,1,8.045757490560675,8.443697499232712,9.0,3.6,IC50;Kd,BindingDB,50455873,Menin,,high_potency_<=100nM,True,True,0.9154734676382446,high
Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2C[C@@H]1CNC(=O)CO1,3,1,8.045757490560675,8.443697499232712,9.0,3.6,IC50;Kd,ChEMBL,CHEMBL4216801,Menin,2018;2019,high_potency_<=100nM,True,True,0.9001594010734664,high
O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CN(C5CCC5)Cc5ccccc54)CC3)C2)cc1,3,1,8.045757490560675,8.698970004336019,9.0,2.0,IC50;Ki,ChEMBL,CHEMBL4522767,Menin,2019;2021,high_potency_<=100nM,True,True,0.8709795056885784,high
O=S(=O)(c1ccncc1)c1ccc(cc1)N1CC(CN2CCC(CC2)C2(CN(Cc3ccccc23)C2CCC2)C2CCCC2)C1,3,1,8.045757490560675,8.698970004336019,9.0,2.0,IC50;Ki,BindingDB,50516554,Menin,,high_potency_<=100nM,True,True,0.9485461061633587,high
CC(=O)O[C@H]1CCC[C@@H]1C1(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)CN(C)Cc2ccccc21,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,ChEMBL,CHEMBL5794080,Menin,2021,high_potency_<=100nM,True,True,0.6103023002577779,medium
CCN1Cc2ccccc2C(C1)(C1CCCC1)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)CC)CC1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,BindingDB,480082,Menin,,high_potency_<=100nM,True,True,0.8019383696493856,high
CCN1Cc2ccccc2C(C1)(C1CCCC1)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccccc2)CC1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,BindingDB,480093,Menin,,high_potency_<=100nM,True,True,0.863414844399009,high
CCN1Cc2ccccc2C(C1)(C1CCCC1)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2cccnc2)CC1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,BindingDB,480097,Menin,,high_potency_<=100nM,True,True,0.8335738913880146,high
CCN1Cc2ccccc2C(C1)([C@H]1CCC[C@@H]1NC(=O)NC)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccccc2)CC1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,BindingDB,480229,Menin,,high_potency_<=100nM,True,True,0.7848530542297166,high
CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)CC)cc4)C3)CC2)C1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,ChEMBL,CHEMBL5768069,Menin,2021,high_potency_<=100nM,True,True,0.8093706114468419,high
CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccccc5)cc4)C3)CC2)C1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,ChEMBL,CHEMBL5835328,Menin,2021,high_potency_<=100nM,True,True,0.8520975883001703,high
CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5cccnc5)cc4)C3)CC2)C1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,ChEMBL,CHEMBL6062360,Menin,2021,high_potency_<=100nM,True,True,0.8377748789537831,high
CCN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccccc5)cc4)C3)CC2)([C@H]2CCC[C@@H]2NC(=O)NC)C1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,ChEMBL,CHEMBL5970007,Menin,2021,high_potency_<=100nM,True,True,0.7753454525105196,high
CN1Cc2ccccc2C(C1)([C@H]1CCC[C@@H]1OC(C)=O)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CC2)CC1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,BindingDB,480143,Menin,,high_potency_<=100nM,True,True,0.6878612413458888,medium
CNC(=O)N[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccncc2)CC1)c1ccccc1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,BindingDB,480208,Menin,,high_potency_<=100nM,True,True,0.8062982850264307,high
CNC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,ChEMBL,CHEMBL5740449,Menin,2021,high_potency_<=100nM,True,True,0.8217218721383334,high
CNC(=O)N[C@H]1CCC[C@@H]1C1(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)CNCc2ccccc21,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,ChEMBL,CHEMBL5754145,Menin,2021,high_potency_<=100nM,True,True,0.5836823561871245,medium
CNC(=O)N[C@H]1CCC[C@@H]1C1(CNCc2ccccc12)C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CC2)CC1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,BindingDB,480224,Menin,,high_potency_<=100nM,True,True,0.7231880971833266,high
CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccccc2)CC1)c1ccccc1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,BindingDB,480164,Menin,,high_potency_<=100nM,True,True,0.8076046037555671,high
CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2cnn(C)c2)CC1)c1ccccc1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,BindingDB,480179,Menin,,high_potency_<=100nM,True,True,0.7436329482332479,high
CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,ChEMBL,CHEMBL5765474,Menin,2021,high_potency_<=100nM,True,True,0.8446883588962645,high
CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cnn(C)c4)cc3)C2)CC1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,ChEMBL,CHEMBL5775978,Menin,2021,high_potency_<=100nM,True,True,0.7388536507483786,high
CNC(=O)O[C@H]1CCC[C@@H]1C(Cn1ccnc1)(C1CCN(CC2CN(C2)c2ccc(cc2)C#N)CC1)c1ccccc1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,BindingDB,480304,Menin,,high_potency_<=100nM,True,True,0.8267183505902037,high
CNC(=O)O[C@H]1CCC[C@@H]1C(Cn1ccnc1)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,ChEMBL,CHEMBL6052096,Menin,2021,high_potency_<=100nM,True,True,0.818498681359951,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C1CCN(CC2(F)CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN(C)C)CC1)c1cccc(F)c1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,BindingDB,506360,Menin,,high_potency_<=100nM,True,True,0.7774238761592296,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2(F)CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,ChEMBL,CHEMBL6021917,Menin,2021,high_potency_<=100nM,True,True,0.6708959508454442,medium
Fc1cccc(c1)[C@@](C#N)([C@H]1CCC[C@@H]1NC(=O)CCl)C1CCN(CC2CN(C2)c2ccc(cc2)C#N)CC1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,BindingDB,506372,Menin,,high_potency_<=100nM,True,True,0.8318098603952858,high
N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1OC(N)=O,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,ChEMBL,CHEMBL5865073,Menin,2021,high_potency_<=100nM,True,True,0.7543490128550158,high
N#Cc1ccc(N2CC(CN3CCC([C@@](C#N)(c4cccc(F)c4)[C@H]4CCC[C@@H]4NC(=O)CCl)CC3)C2)cc1,1,1,8.045757490560675,8.045757490560675,9.0,9.0,IC50,ChEMBL,CHEMBL6035946,Menin,2021,high_potency_<=100nM,True,True,0.7753744362782371,high
