structure_id,endpoint,assay_family,n_measurements,n_source_rows,n_cross_source_mirror_rows_collapsed,n_sources,n_exact_measurements,n_censored_measurements,n_approximate_measurements,p_activity_median,p_activity_best,p_activity_min,value_nm_median,value_nm_best,endpoints,n_endpoints,endpoint_families,n_endpoint_families,assay_families,n_assay_families,sources,compound_ids,target_names,document_years,relations,smiles,original_smiles,canonical_smiles,standardized_smiles,inchi_key,standard_inchi_key,structure_standardization_status,activity_range_log10,is_activity_heterogeneous,heterogeneity_log_spread_threshold,censoring_policy,aggregation_value_semantics,potency_class,active_100nM,active_1uM,scored_menin_endpoint,scored_menin_assay_family,has_observed_primary_herg_record,predicted_herg_blocker_probability,predicted_herg_probability_entropy_bits,herg_max_training_tanimoto,herg_nearest_training_smiles,herg_inside_applicability_domain,predicted_herg_risk
STR-D31C7512712D5C2245CC,IC50,biochemical_binding,1,2,1,2,1,0,0,6.359518563029578,6.359518563029578,6.359518563029578,437.0,437.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL6006742,Menin,2021,=,CS(=O)(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,CS(=O)(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,CS(=O)(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,CS(=O)(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,UDTODHMYBSKRKC-FFXLMVMDSA-N,UDTODHMYBSKRKC-FFXLMVMDSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.7692934762291399,0.7792409014136672,0.2450980395078659,CS(=O)(=O)NC1CCN(c2ccc(-c3nc4ccncc4n3-c3ccc(Cl)cc3)cn2)CC1,False,high
STR-DCA3434F85B70F7DA7D4,IC50,biochemical_binding,1,2,1,2,1,0,0,6.357535479757878,6.357535479757878,6.357535479757878,439.0,439.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5847549,Menin,2021,=,N#Cc1ccc(OCCCN2CCC(C3(C4CCCC4)NCCc4cc(F)ccc43)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C3(C4CCCC4)NCCc4cc(F)ccc43)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C3(C4CCCC4)NCCc4cc(F)ccc43)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C3(C4CCCC4)NCCc4cc(F)ccc43)CC2)cc1,CMHBGEQIKCAZMO-UHFFFAOYSA-N,CMHBGEQIKCAZMO-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.9638401100628754,0.22439948612685798,0.35227271914482117,CN1CCc2ccc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2C1=O,True,high
STR-38F6752F49BCD366F11A,IC50,biochemical_binding,1,2,1,2,1,0,0,6.347753658996677,6.347753658996677,6.347753658996677,449.0,449.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5778287,Menin,2021,=,N#Cc1ccc(OCCCN2CCC(C(CO)(c3ccccc3)C3CCCC3)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C(CO)(c3ccccc3)C3CCCC3)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C(CO)(c3ccccc3)C3CCCC3)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C(CO)(c3ccccc3)C3CCCC3)CC2)cc1,HEYVOFYYNVPUMS-UHFFFAOYSA-N,HEYVOFYYNVPUMS-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.9629454653800473,0.2286203840958328,0.38983049988746643,c1ccc(-c2ccc(OCCCCCN3CCCCCC3)cc2)cc1,True,high
STR-9F2105675ED616901558,IC50,biochemical_binding,1,1,0,1,1,0,0,6.346787486224656,6.346787486224656,6.346787486224656,450.0,450.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL,CHEMBL5555656,Menin,2024,=,CCS(=O)(=O)c1ccc(N2CC(CN3CCC(n4cc(-c5ccc(F)cc5)c5c(N)ncnc54)CC3)C2)cc1,CCS(=O)(=O)c1ccc(N2CC(CN3CCC(n4cc(-c5ccc(F)cc5)c5c(N)ncnc54)CC3)C2)cc1,CCS(=O)(=O)c1ccc(N2CC(CN3CCC(n4cc(-c5ccc(F)cc5)c5c(N)ncnc54)CC3)C2)cc1,CCS(=O)(=O)c1ccc(N2CC(CN3CCC(n4cc(-c5ccc(F)cc5)c5c(N)ncnc54)CC3)C2)cc1,UOBAUSQATQTFAH-UHFFFAOYSA-N,UOBAUSQATQTFAH-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.7808019387292935,0.7587004806601954,0.37078651785850525,COC(=O)N[C@H]1CC[C@@H](n2cc(-c3ccc(Cl)c(N)c3)c3c(N)ncnc32)CC1,True,high
STR-4E0D965820718397652B,IC50,biochemical_binding,1,2,1,2,1,0,0,6.342944147142896,6.342944147142896,6.342944147142896,454.0,454.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5854653,Menin,2021,=,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@@H]1CCC[C@H]1OC(N)=O,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@@H]1CCC[C@H]1OC(N)=O,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@@H]1CCC[C@H]1OC(N)=O,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@@H]1CCC[C@H]1OC(N)=O,SDGOMCIESMUDGQ-OLPGJYTKSA-N,SDGOMCIESMUDGQ-OLPGJYTKSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.7815042278175803,0.7574112999478134,0.25773194432258606,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,True,high
STR-57B02C455F0090B0D259,IC50,biochemical_binding,1,1,0,1,1,0,0,6.327902142064282,6.327902142064282,6.327902142064282,470.0,470.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL,CHEMBL5557085,Menin,2024,=,Nc1ncnc2c1c(-c1ccc(F)cc1)cn2C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,Nc1ncnc2c1c(-c1ccc(F)cc1)cn2C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,Nc1ncnc2c1c(-c1ccc(F)cc1)cn2C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,Nc1ncnc2c1c(-c1ccc(F)cc1)cn2C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,TWHTYNNCJTZICG-UHFFFAOYSA-N,TWHTYNNCJTZICG-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.7904868087421585,0.740551191867385,0.3595505654811859,COC(=O)N[C@H]1CC[C@@H](n2cc(-c3ccc(Cl)c(N)c3)c3c(N)ncnc32)CC1,True,high
STR-EC66806C5F5D2CD819CB,IC50,biochemical_binding,1,2,1,2,1,0,0,6.325138859262188,6.325138859262188,6.325138859262188,473.0,473.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5968452,Menin,2021,=,N#Cc1ccc(OCCCN2CCC(C3(C4CCCC4)NCCc4ccc(F)cc43)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C3(C4CCCC4)NCCc4ccc(F)cc43)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C3(C4CCCC4)NCCc4ccc(F)cc43)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C3(C4CCCC4)NCCc4ccc(F)cc43)CC2)cc1,UHLGBZUDHODLLD-UHFFFAOYSA-N,UHLGBZUDHODLLD-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.9635910915650874,0.2255776397045578,0.3563218414783478,CN1CCc2ccc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2C1=O,True,high
STR-4F507812C726BEF9FE1F,IC50,biochemical_binding,1,1,0,1,1,0,0,6.309803919971486,6.309803919971486,6.309803919971486,490.0,490.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,PubChem,168720871,Menin,2026,=,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](C[C@@H](O)CN(C)C(C)C)C(C)C)C2)C(C)C,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CCC4(C3)CN(C4)[C@H](C[C@H](CN(C)C(C)C)O)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](C[C@@H](O)CN(C)C(C)C)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](C[C@@H](O)CN(C)C(C)C)C(C)C)C2)C(C)C,BAJNALQCHSQUMV-XNMGPUDCSA-N,BAJNALQCHSQUMV-XNMGPUDCSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.8271392953384381,0.6642072074384306,0.2429906576871872,O=C(CCc1ccccc1)c1cc(F)ccc1OCC(O)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,False,high
STR-6D83836432314425AF74,IC50,biochemical_binding,1,1,0,1,1,0,0,6.309803919971486,6.309803919971486,6.309803919971486,490.0,490.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,PubChem,156531761,Menin,2026,=,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCO)C(C)C)C2)C(C)C,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CCC4(C3)CN(C4)[C@H](CCO)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCO)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCO)C(C)C)C2)C(C)C,TZVOKEYLSRSBPK-JOCHJYFZSA-N,TZVOKEYLSRSBPK-JOCHJYFZSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.8226609549406241,0.6742211301512885,0.23529411852359772,O=C(CCc1ccccc1)c1cc(F)ccc1OCC(O)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,False,high
STR-080A59F9B1BCF4DFA65B,IC50,biochemical_binding,1,2,1,2,1,0,0,6.302770657240282,6.302770657240282,6.302770657240282,498.0,498.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5800298,Menin,2021,=,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,CREKPRIJPIEMSU-NNTSECMXSA-N,CREKPRIJPIEMSU-NNTSECMXSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,moderate_100nM_to_1uM,False,True,IC50,biochemical_binding,False,0.8170278229935529,0.6865360717250758,0.25773194432258606,CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,True,high
