panel,evidence_domain,rows,year_bins,stage_levels,status,reason,chi_square,p_value,q_value,cramers_v_bias_corrected,assumptions,multiple_testing
document_decade_x_evidence_stage_within_domain,binding,511730,5,3,not_tested,minimum_expected_cell_below_5,,,,,"descriptive source-snapshot association; independent-cell chi-square approximation; all expected cells >=5; no causal, temporal-trend, or population-generalization claim",Benjamini-Hochberg across all tested evidence domains
document_decade_x_evidence_stage_within_domain,herg,8463,3,2,not_tested,minimum_expected_cell_below_5,,,,,"descriptive source-snapshot association; independent-cell chi-square approximation; all expected cells >=5; no causal, temporal-trend, or population-generalization claim",Benjamini-Hochberg across all tested evidence domains
document_decade_x_evidence_stage_within_domain,other,27446,5,2,not_tested,minimum_expected_cell_below_5,,,,,"descriptive source-snapshot association; independent-cell chi-square approximation; all expected cells >=5; no causal, temporal-trend, or population-generalization claim",Benjamini-Hochberg across all tested evidence domains
document_decade_x_evidence_stage_within_domain,pk_adme,31752,5,3,not_tested,minimum_expected_cell_below_5,,,,,"descriptive source-snapshot association; independent-cell chi-square approximation; all expected cells >=5; no causal, temporal-trend, or population-generalization claim",Benjamini-Hochberg across all tested evidence domains
document_decade_x_evidence_stage_within_domain,qt,292,3,2,tested,,74.145737827969484,7.9333680409866478e-17,7.9333680409866478e-17,0.49789839036897482,"descriptive source-snapshot association; independent-cell chi-square approximation; all expected cells >=5; no causal, temporal-trend, or population-generalization claim",Benjamini-Hochberg across all tested evidence domains
