dataset,dimension,value,rows
observations,unit,nmol/g.min,5
observations,unit,nmol/g/min,5
observations,unit,nmol/hr,14
observations,unit,nmol/hr/l,10
observations,unit,nmol/kg,1
observations,unit,nmol/l.min,4
observations,unit,nmol/mg,4
observations,unit,nmol/mg.min,36
observations,unit,nmol/mg/hr,3
observations,unit,nmol/mg/min,61
observations,unit,nmol/min,348
observations,unit,nmol/min*mgofprotein,2
observations,unit,nmol/min/kg,29
observations,unit,nmol/min/mg,461
observations,unit,nmol/sec,4
observations,unit,nms-1,478
observations,unit,none,110
observations,unit,not_given,5
observations,unit,omegacm2,8
observations,unit,pM,28
observations,unit,papp*10e6cm/s,7
observations,unit,pcms-1,1
observations,unit,pg/g,2
observations,unit,pg/ml,19
observations,unit,pgmin-1(mgofprotein)-1,8
observations,unit,ph7.4,7
observations,unit,pi,2
observations,unit,pl/min,12
observations,unit,pm/mg,4
observations,unit,pm/mg/hr,1
observations,unit,pm/mg/minute,1
observations,unit,pm/min/mg,1
observations,unit,pm/min/ml,1
observations,unit,pm30min-1(mgofdna)-1,18
observations,unit,pmhr-1g-1,6
observations,unit,pmhr-1mg-1,1
observations,unit,pmkg-1,8
observations,unit,pmmg-1,3
observations,unit,pmmin-1,26
observations,unit,pmmin-1(mgofprotein)-1,22
observations,unit,pmmin-1mg-1,97
observations,unit,pmml-1,12
observations,unit,pmnm-1,40
observations,unit,pmol,294
observations,unit,pmol.hr,2
observations,unit,pmol.hr/g,17
observations,unit,pmol.min,10
observations,unit,pmol.min.mg-1,10
observations,unit,pmol.min/mg,6
observations,unit,pmol/10^6cells,5
observations,unit,pmol/g,12
observations,unit,pmol/hr,11
observations,unit,pmol/mg,47
observations,unit,pmol/mg.hr,22
observations,unit,pmol/mg.min,4
observations,unit,pmol/mg/hr,106
observations,unit,pmol/mg/min,16
observations,unit,pmol/min,211
observations,unit,pmol/min.mg,8
observations,unit,pmol/min/10^6cells,4
observations,unit,pmol/min/cm2,9
observations,unit,pmol/min/g,8
observations,unit,pmol/min/mg,145
observations,unit,pmol/min/ug,24
observations,unit,pmol/ml,6
observations,unit,pmol/s,32
observations,unit,pmolequiv,4
observations,unit,pmolequiv/mg,23
observations,unit,ppb,1
observations,unit,ppm,29
observations,unit,rfu,3
observations,unit,s,7
observations,unit,s^-1,16337
observations,unit,suv.min,13
observations,unit,u,2
observations,unit,u-1hr-1ml-1,6
observations,unit,u/l,13
observations,unit,uM,121634
observations,unit,ua.cm'-2,3
observations,unit,ucm,6
observations,unit,ucm/s,7366
observations,unit,ug,84
observations,unit,ug.h/g,4
observations,unit,ug.hr/g,72
observations,unit,ug.hr/kg,27
observations,unit,ug.hr/ml,4
observations,unit,ug.hr/ml/day,2
observations,unit,ug.hr/ml/mg/kg,18
observations,unit,ug.min/g,9
observations,unit,ug/(min.mg),10
observations,unit,ug/10^6cells,4
observations,unit,ug/cm2.hr,11
observations,unit,ug/g,94
observations,unit,ug/g.hr,10
observations,unit,ug/g.min,2
observations,unit,ug/hr,9
observations,unit,ug/hr.kg,18
observations,unit,ug/kg,7
observations,unit,ug/l,5
observations,unit,ug/mL,29928
observations,unit,ug/mg/day,1
observations,unit,ug/min,179
observations,unit,ug/min/mg,36
observations,unit,ug/ml.hr,1
observations,unit,ug/ml/hr,3
observations,unit,ug/ml/min,17
observations,unit,uga/ml,2
observations,unit,ugequiv.hr/g,18
observations,unit,ugequiv/g,9
observations,unit,ugequiv/l.hr,21
observations,unit,ugg-1,13
observations,unit,ugh/g,5
observations,unit,ughml-1kg-1,2
observations,unit,ughr-1g-1,18
observations,unit,ughrml-1,2
observations,unit,ughrum-1,23
observations,unit,ugm-1min-1,1
observations,unit,ugmin/ml,1
observations,unit,ugming-1,2
observations,unit,ugml-1,254
observations,unit,ugweight-1,8
observations,unit,uhml-1,3
observations,unit,ul,168
observations,unit,ul.min-1.(10^6cells)-1,1737
observations,unit,ul.min.nmol-1,9
observations,unit,ul/(min.pmol),2
observations,unit,ul/hr,1
observations,unit,ul/hr/10^6cells,4
observations,unit,ul/hr/cm2,92
observations,unit,ul/mg/min,97
observations,unit,ul/min,9845
observations,unit,ul/min.mg,88
observations,unit,ul/min.ml,4
observations,unit,ul/min/10e6cells,6
observations,unit,ul/min/1e6cells,39
observations,unit,ul/min/kg,61
observations,unit,ul/min/mgprotein,46
observations,unit,ul/min/ml,18
observations,unit,ul/min/pmol,17
observations,unit,ul/ml,37
observations,unit,ul/ml.millig,40
observations,unit,ul/ml/kg,50
observations,unit,ulmin-1mg-1,7
observations,unit,ulml-1,2
observations,unit,um-1kg-1,13
observations,unit,um.h.kg/mg,6
observations,unit,um.h/l,2
observations,unit,um.hr,320
observations,unit,um.hr.kg,1
observations,unit,um.hr.kg/mg,225
observations,unit,um.hr/mg,1
observations,unit,um.hr/mg.kg,58
observations,unit,um.hr/ml,74
observations,unit,um.kg/mg,4
observations,unit,um.min/ml,4
observations,unit,um/hr/kg/mg,1
observations,unit,um/min.mg,24
observations,unit,um/ml,29
observations,unit,um/s,23
observations,unit,umh/(mg/kg),4
observations,unit,umh/dose,3
observations,unit,umh/mpk,11
observations,unit,umhkg/mg,16
observations,unit,umhr-1ml-1,7
observations,unit,umhrl-1,12
observations,unit,umhrml-1,5
observations,unit,umkg-1,2
observations,unit,uml,9
observations,unit,umminl-1,10
observations,unit,umminum-1,5
observations,unit,umol,14
observations,unit,umol.hr/kg,5
observations,unit,umol/cm2/hr,7
observations,unit,umol/kg,6
observations,unit,umol/l.min,2
observations,unit,umol/l/s,6
observations,unit,umol/min/g,1
observations,unit,umol/min/kg,1
observations,unit,umol/min/mg,35
observations,unit,umol/min/ml,6
observations,unit,umol/ml,16
observations,unit,umolcm2/hr,6
observations,unit,unhkg/mg,1
tasks/default,assay_family,binding,2117384
tasks/default,assay_family,herg_functional,265
tasks/default,assay_family,other_bioactivity,430527
tasks/default,assay_family,pk_adme,22
tasks/default,domain,binding,2247340
tasks/default,domain,herg,265
tasks/default,domain,other,300593
tasks/default,endpoint,EC50,222746
tasks/default,endpoint,IC50,1569928
tasks/default,endpoint,Kd,164153
tasks/default,endpoint,Ki,591371
tasks/default,label_kind,categorical,120
tasks/default,label_kind,continuous_censored,603727
tasks/default,label_kind,continuous_exact,1944351
tasks/default,observation_kind,experimental_summary,2548198
tasks/default,relation,<,113691
tasks/default,relation,<=,5613
tasks/default,relation,=,1944471
tasks/default,relation,>,474398
tasks/default,relation,>=,3409
tasks/default,relation,interval,6616
tasks/default,source,SRC-AF728821208AC735AEE2E0D1,2548198
tasks/default,task,TASK-0F150248605B06D35054AB3A,57001
tasks/default,task,TASK-16651799910722449EFC3A06,74298
tasks/default,task,TASK-16D26014A6EE2CCBB0F180D8,21736
tasks/default,task,TASK-185C1D81F9F284D5C0B37F92,137
tasks/default,task,TASK-1B148EB4AA206DC14BAAAE7C,360
tasks/default,task,TASK-24FCDD605CA028A5E5121026,5458
tasks/default,task,TASK-28F030031D94BE74C58104B5,95999
tasks/default,task,TASK-3170A418BCD7BD16A41B2DA6,1
tasks/default,task,TASK-4CF2E06E5EFAC79EBC548ADE,49818
tasks/default,task,TASK-57C6160C66621BD45C149F77,407926
tasks/default,task,TASK-5D547122E1CE24483AB2BE65,15
tasks/default,task,TASK-66C4C3DD1BBEBB893306A8E1,4
tasks/default,task,TASK-6ADA59E8239A06F9F9A019FE,91936
tasks/default,task,TASK-719C577BE05E84FE7F1DC58E,62334
tasks/default,task,TASK-8985AC2B746DC2CF410D1ACE,1107075
tasks/default,task,TASK-924B30B89C80EF491174298D,129920
tasks/default,task,TASK-951CAD2EF4E7E86B42C1E78F,59314
tasks/default,task,TASK-9EF0A903755F8DBA39DDDDC2,120
tasks/default,task,TASK-A321BAA914C0B898F1266C70,89725
tasks/default,task,TASK-B0CCA81C5B5A3FAB84D62599,275666
tasks/default,task,TASK-C2411CFAB88F5910697EFE06,19345
tasks/default,task,TASK-D1C8BFE0C4E8D334ADE27710,2
tasks/default,task,TASK-F29117C07D35D4825719C634,8
tasks/default,task_type,default__binding__ec50__binding__nm__continuous_censored,19345
tasks/default,task_type,default__binding__ec50__binding__nm__continuous_exact,89725
tasks/default,task_type,default__binding__ec50__pk_adme__nm__continuous_exact,4
tasks/default,task_type,default__binding__ic50__binding__nm__continuous_censored,275666
tasks/default,task_type,default__binding__ic50__binding__nm__continuous_exact,1107075
tasks/default,task_type,default__binding__ic50__pk_adme__nm__continuous_exact,1
tasks/default,task_type,default__binding__kd__binding__nm__continuous_censored,95999
tasks/default,task_type,default__binding__kd__binding__nm__continuous_exact,62334
tasks/default,task_type,default__binding__kd__other_bioactivity__nm__continuous_censored,360
tasks/default,task_type,default__binding__kd__other_bioactivity__nm__continuous_exact,5458
tasks/default,task_type,default__binding__kd__pk_adme__nm__continuous_exact,2
tasks/default,task_type,default__binding__ki__binding__nm__continuous_censored,59314
tasks/default,task_type,default__binding__ki__binding__nm__continuous_exact,407926
tasks/default,task_type,default__binding__ki__other_bioactivity__nm__continuous_censored,74298
tasks/default,task_type,default__binding__ki__other_bioactivity__nm__continuous_exact,49818
tasks/default,task_type,default__binding__ki__pk_adme__nm__continuous_exact,15
tasks/default,task_type,default__herg__ic50__herg_functional__binary_exact__blocker_le_10000nm__nonblocker_ge_30000nm,120
tasks/default,task_type,default__herg__ic50__herg_functional__nm__continuous_censored,8
tasks/default,task_type,default__herg__ic50__herg_functional__nm__continuous_exact,137
tasks/default,task_type,default__other__ec50__other_bioactivity__nm__continuous_censored,21736
tasks/default,task_type,default__other__ec50__other_bioactivity__nm__continuous_exact,91936
tasks/default,task_type,default__other__ic50__other_bioactivity__nm__continuous_censored,57001
tasks/default,task_type,default__other__ic50__other_bioactivity__nm__continuous_exact,129920
tasks/default,unit,class,120
tasks/default,unit,nM,2548078
tasks/derived_sensitivity,assay_family,binding,62334
tasks/derived_sensitivity,assay_family,herg_binding,1
tasks/derived_sensitivity,assay_family,herg_other,44
tasks/derived_sensitivity,assay_family,other_bioactivity,5458
tasks/derived_sensitivity,assay_family,pk_adme,2
tasks/derived_sensitivity,domain,binding,67794
tasks/derived_sensitivity,domain,herg,45
tasks/derived_sensitivity,endpoint,standard_binding_free_energy,67839
tasks/derived_sensitivity,label_kind,continuous_exact,67839
tasks/derived_sensitivity,observation_kind,derived,67839
tasks/derived_sensitivity,relation,=,67839
tasks/derived_sensitivity,source,SRC-AF728821208AC735AEE2E0D1,67839
tasks/derived_sensitivity,task,TASK-004A87834A39CAE50167DE09,1
tasks/derived_sensitivity,task,TASK-1DCA90F0D65AD70DE64631D2,5458
tasks/derived_sensitivity,task,TASK-862A7CCDB5290EB3CD6BF292,44
tasks/derived_sensitivity,task,TASK-9039BC395D75BD7807787ADB,2
tasks/derived_sensitivity,task,TASK-B46765EBACEE985CE4DCB23A,62334
tasks/derived_sensitivity,task_type,sensitivity__binding__standard_binding_free_energy__binding__kcal_mol__continuous_exact,62334
tasks/derived_sensitivity,task_type,sensitivity__binding__standard_binding_free_energy__other_bioactivity__kcal_mol__continuous_exact,5458
tasks/derived_sensitivity,task_type,sensitivity__binding__standard_binding_free_energy__pk_adme__kcal_mol__continuous_exact,2
tasks/derived_sensitivity,task_type,sensitivity__herg__standard_binding_free_energy__herg_binding__kcal_mol__continuous_exact,1
tasks/derived_sensitivity,task_type,sensitivity__herg__standard_binding_free_energy__herg_other__kcal_mol__continuous_exact,44
tasks/derived_sensitivity,unit,kcal/mol,67839
