feature_family,resolved_column,n_records,n_present,fraction_present,status
molecule,standardized_smiles,12,12,1.0,available
protein_sequence,protein_sequence,12,12,1.0,available
protein_id,protein_id,12,12,1.0,available
assay_text,,12,0,0.0,column_unavailable
