aid,description_downloaded,csv_downloaded
2061541,True,False
2061141,True,True
1963621,True,True
1852582,True,True
1852581,True,True
1852580,True,True
1852579,True,True
1852578,True,True
1852577,True,True
1852576,True,True
1852575,True,True
1852574,True,True
1852573,True,True
1852572,True,True
1852571,True,True
1852570,True,True
1852569,True,True
1852568,True,True
1852567,True,True
1852566,True,True
1852565,True,True
1852564,True,True
1852563,True,True
1852562,True,True
1852561,True,True
1852560,True,True
1852559,True,True
1852558,True,True
1852557,True,True
1852556,True,True
1852555,True,True
1852554,True,True
1852553,True,True
1852552,True,True
1852551,True,True
1852550,True,True
1852549,True,True
1852548,True,True
1852547,True,True
1852546,True,True
1852545,True,True
1852544,True,True
1852543,True,True
1852542,True,True
1852541,True,True
1852540,True,True
1852539,True,True
1852538,True,True
1852537,True,True
1852536,True,True
1852535,True,True
1852534,True,True
1852533,True,True
1852532,True,True
1852531,True,True
1852530,True,True
1852529,True,True
1852528,True,True
1852527,True,True
1852526,True,True
1852525,True,True
1852524,True,True
1852523,True,True
1852522,True,True
1852521,True,True
1852520,True,True
1852519,True,True
1852518,True,True
1817618,True,True
1817617,True,True
1817616,True,True
1817615,True,True
1817614,True,True
1817613,True,True
1817612,True,True
1817611,True,True
1817610,True,True
1817609,True,True
1817608,True,True
1817607,True,True
1817606,True,True
1817605,True,True
1817604,True,True
1817603,True,True
1817602,True,True
1817601,True,True
1817600,True,True
1817599,True,True
1817598,True,True
1817597,True,True
1817596,True,True
1817595,True,True
1817594,True,True
1817593,True,True
1817592,True,True
1817591,True,True
1817590,True,True
1817589,True,True
1817588,True,True
1817587,True,True
1817586,True,True
1817585,True,True
1817584,True,True
1817583,True,True
1817582,True,True
1817581,True,True
1817580,True,True
1817579,True,True
1817578,True,True
1817577,True,True
1743095,True,True
1743094,True,True
1572510,True,True
1568970,True,True
1568969,True,True
1568968,True,True
1568967,True,True
1568966,True,True
1568965,True,True
1568964,True,True
1568963,True,True
1568962,True,True
1568961,True,True
1568960,True,True
1568959,True,True
1568958,True,True
1568957,True,True
1568956,True,True
1568955,True,True
1568954,True,True
1568953,True,True
1568952,True,True
1568951,True,True
1568950,True,True
1568949,True,True
1568948,True,True
1549075,True,True
1549074,True,True
1549073,True,True
1549072,True,True
1549071,True,True
1549070,True,True
1549069,True,True
1549068,True,True
1549067,True,True
1549066,True,True
1549065,True,True
1549064,True,True
1549063,True,True
1549062,True,True
1549061,True,True
1549060,True,True
1549059,True,True
1549058,True,True
1549057,True,True
1416307,True,True
1416306,True,True
1416305,True,True
1375635,True,True
1375634,True,True
1375633,True,True
1375632,True,True
1375631,True,True
1375630,True,True
1375629,True,True
1375628,True,True
1375627,True,True
1375626,True,True
1375625,True,True
1375624,True,True
1375623,True,True
1375622,True,True
1375621,True,True
1375620,True,True
1375619,True,True
1375618,True,True
1375617,True,True
1375616,True,True
1375615,True,True
1375614,True,True
1375613,True,True
1375612,True,True
1375611,True,True
1375610,True,True
1272636,True,True
1244932,True,True
1244931,True,True
1244930,True,True
1244929,True,True
1075506,True,True
1075505,True,True
1075504,True,True
1075503,True,True
1075502,True,True
1075501,True,True
1075500,True,True
1075499,True,True
1075498,True,True
1075497,True,True
1075496,True,True
1075495,True,True
1075494,True,True
1075493,True,True
1075492,True,True
1075491,True,True
1075490,True,True
1075489,True,True
1075488,True,True
1075487,True,True
1075486,True,True
1075485,True,True
720505,True,False
686938,True,False
652243,True,False
504804,True,False
504537,True,True
