series_id,scaffold_key,scaffold_method,series_size,structure_id,standardized_smiles,p_activity_median,sources,compound_ids,qed,mol_wt,logp,tpsa
SER-269877A1B43BE0C2,C=C1CC2CCC1NC2C(=O)N1CC2(C1)CN(c1ncncc1Oc1ccccc1)C2,bemis_murcko,1,STR-801FAB4C61D8E9427A35,C=C1C[C@H]2CC[C@@H]1N[C@@H]2C(=O)N1CC2(C1)CN(c1ncncc1Oc1ccc(F)cc1C(=O)N(C(C)C)C(C)C)C2,8.207608310501746,ChEMBL,CHEMBL5808345,0.510201243088222,562.69,4.012300000000003,90.89999999999999
SER-28F2E0A8B1FA2DC8,O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2c[nH]c3ccccc23)CCCCCNC(=O)C2CCCN2C(=O)CN1,bemis_murcko,1,STR-D669A219C022A29B5DB1,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,6.289036881004725,ChEMBL,CHEMBL2314831,0.044354870642776954,1095.3209999999995,-0.8995600000000046,383.90999999999985
SER-2941DC416E74ECE2,c1nc(C2CCCCC2)cs1,bemis_murcko,1,STR-17FFA0BF8D560B02685C,COC(=O)Cc1nc(C2CCCCC2)cs1,2.721246399047171,PubChem,51001637,0.7612771581257218,239.33999999999995,2.9063000000000017,39.19
SER-2A92C2964EFB3335,O=C(CCC1CCCC1)N1CCN(CCn2ccc3cc(CN4CCC(Nc5ncnc6sccc56)CC4)ccc32)CC1,bemis_murcko,1,STR-49FE1FCFAE0956BB85D0,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C(=O)CCC2CCCC2)CC1,7.376750709602099,ChEMBL,CHEMBL4213678,0.17647873491474148,720.9099999999995,7.122000000000008,93.32
SER-2AA1793B3CEE12BF,c1ccc(OCCCN2CCC(C3(C4CCCC4)COCc4ccccc43)CC2)cc1,bemis_murcko,1,STR-919E61E523A8F795DCEC,N#Cc1ccc(OCCCN2CCC(C3(C4CCCC4)COCc4ccccc43)CC2)cc1,5.494850021680094,ChEMBL;PubChem,CHEMBL5979427,0.5142149969867721,444.61900000000026,5.6975800000000065,45.489999999999995
SER-2BD9ED0A7165EEA0,c1ccc(N2CCC(N3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)CC2)cc1,bemis_murcko,1,STR-6B0BEC7CA952AA3F373C,N#Cc1ccc(N2CCC(N3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)CC2)cc1,6.180830262794661,ChEMBL;PubChem,132104734;CHEMBL4537683,0.6460657329629428,468.6890000000003,5.470480000000006,42.300000000000004
SER-324E93418AE652BC,c1cnc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)nc1,bemis_murcko,1,STR-695C2B9D19FE30A6368D,c1cnc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)nc1,4.335358024443875,ChEMBL;PubChem,CHEMBL5815678,0.7789331333419376,431.6280000000002,3.856200000000003,44.290000000000006
SER-34097CAD672182D1,c1ccc(NCCCN2CCC(C3(C4CCCC4)NCCc4ccccc43)CC2)cc1,bemis_murcko,1,STR-F3CF2B91B4EE3E2B7CA5,N#Cc1ccc(NCCCN2CCC(C3(C4CCCC4)NCCc4ccccc43)CC2)cc1,6.617982957425132,ChEMBL;PubChem,CHEMBL5899790,0.5711972055998562,442.6510000000002,5.303680000000005,51.09
SER-36A0390F29B709E0,c1ccc(-c2csc3ncnc(N4CCN(c5nccs5)CC4)c23)cc1,bemis_murcko,1,STR-8C145BCDAF9049DB2CD5,Fc1ccc(-c2csc3ncnc(N4CCN(c5nccs5)CC4)c23)cc1,3.903089986991944,PubChem,24574432,0.5163001439075491,397.50400000000013,4.2805000000000035,45.150000000000006
SER-37297CCED8240F68,O=S(=O)(c1ccc(N2CC(CN3CCC(C(CN4CCCCC4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CC1,bemis_murcko,1,STR-29F00BB941CE28B9FDF5,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC(C)(O)CC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,8.455931955649724,ChEMBL,CHEMBL5082413,0.32773875977444705,710.957,5.219500000000005,102.41999999999999
