structure_id_a,structure_id_b,core_smiles,variable_fragment_a,variable_fragment_b,transformation,core_heavy_atoms,variable_heavy_atoms_a,variable_heavy_atoms_b,p_activity_a,p_activity_b,absolute_delta_pactivity,achiral_morgan_tanimoto,is_activity_cliff,shared_assay_id,shared_document_id,evidence_context_grade
STR-CB98D7BBE456411A25E7,STR-EE1ECC6B864815D20E60,N#Cc1ccc(OCCCN2CCC(C3([*:1])NCCc4ccccc43)CC2)cc1,C1CCC([*:1])CC1,c1ccc(C[*:1])cc1,C1CCC([*:1])CC1>>c1ccc(C[*:1])cc1,28,6,7,6.522878745280337,5.376750709602099,1.1461280356782382,0.703125,False,True,True,same_assay
STR-4D89EA9F20765D09F97C,STR-86534CE59FD1A258EC1F,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([*:1])C2)C(C)C,CC(C)[C@@H](CCN(C)C)[*:1],CC(C)[C@H](CCCCN)[*:1],CC(C)[C@@H](CCN(C)C)[*:1]>>CC(C)[C@H](CCCCN)[*:1],30,9,9,6.3979400086720375,5.254144804826272,1.143795203845765,0.8395061728395061,False,True,True,same_assay
STR-00A1D39E2CC2B5C8F906,STR-88BBF77299762B038C6D,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CS(=O)(=O)C[C@@H]1CCC[C@H]1[*:1],CC(C)C(=O)O[C@H]1CCC[C@@H]1[*:1],CS(=O)(=O)C[C@@H]1CCC[C@H]1[*:1]>>CC(C)C(=O)O[C@H]1CCC[C@@H]1[*:1],35,10,11,5.481486060122112,6.625251653989896,1.1437655938677835,0.7073170731707317,False,True,True,same_assay
STR-6C0290A40DE07CB70C53,STR-82F62D7E24DAAC315910,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([*:1])C2)C(C)C,CC(C)[C@H](CCCN(C)C)[*:1],CNCCC[C@H](C(C)C)[*:1],CC(C)[C@H](CCCN(C)C)[*:1]>>CNCCC[C@H](C(C)C)[*:1],30,10,9,5.645891560852599,6.789198036565084,1.1433064757124853,0.8536585365853658,False,True,True,same_assay
STR-6F1C926A5BCCC888A7D5,STR-D8497B8DD5B2F916727A,N#Cc1ccc(N2CC(CN3CCC([C@@](C#N)(c4ccccc4)[C@H]4CCC[C@@H]4[*:1])CC3)C2)cc1,CO[*:1],CCCC(=O)O[*:1],CO[*:1]>>CCCC(=O)O[*:1],33,2,6,4.815308569182402,5.958607314841775,1.143298745659373,0.7571428571428571,False,True,True,same_assay
STR-8271C886AE561654AC45,STR-F56D36E1BD6B0DD11077,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@@H]1CCC[C@H]1[*:1],CS(=O)(=O)CO[*:1],CC(=O)O[*:1],CS(=O)(=O)CO[*:1]>>CC(=O)O[*:1],40,6,4,4.634512015109101,5.77642098432889,1.1419089692197897,0.7948717948717948,False,True,True,same_assay
STR-080A59F9B1BCF4DFA65B,STR-08A590BAA6ADDB004EDA,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1)[C@@H]1CCC[C@H]1[*:1],CNC(=O)O[*:1],CC(=O)OC[*:1],CNC(=O)O[*:1]>>CC(=O)OC[*:1],37,5,5,6.302770657240282,5.161150909262744,1.141619747977538,0.7215189873417721,False,True,True,same_assay
STR-4963BC6466091AE476AA,STR-C52DE5B6B6E8022BCAB7,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1[*:1],CN1COCN([*:1])C1=O,OCC[*:1],CN1COCN([*:1])C1=O>>OCC[*:1],40,8,3,7.187086643357144,6.047207556955907,1.139879086401237,0.6904761904761905,False,True,True,same_assay
STR-0929C2100723D6B883C0,STR-9DDC4364CC264A5D1AE9,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCC[*:1])C(C)C)C2)C(C)C,COC(=O)N(C)[*:1],N[*:1],COC(=O)N(C)[*:1]>>N[*:1],37,6,1,5.747146969020107,6.886056647693163,1.1389096786730564,0.8235294117647058,False,True,True,same_assay
STR-D4CCFA73123FE6C43206,STR-E963AE7E2CFE53ED5D83,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([*:1])C2)C(C)C,CC(=O)NCCC[C@H](C(C)C)[*:1],CC(C)[C@H](CCN(C)C)[*:1],CC(=O)NCCC[C@H](C(C)C)[*:1]>>CC(C)[C@H](CCN(C)C)[*:1],30,11,9,6.214670164989233,5.080398976215889,1.1342711887733437,0.8095238095238095,False,True,True,same_assay
STR-9DDC4364CC264A5D1AE9,STR-FF0D357DDF873BD2A7D4,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CC[*:1])C(C)C)C2)C(C)C,NC[*:1],CN(CC(N)=O)[*:1],NC[*:1]>>CN(CC(N)=O)[*:1],36,2,6,6.886056647693163,5.752026733638193,1.1340299140549703,0.8117647058823529,False,True,True,same_assay
STR-B714BC7381C3BA11A1BD,STR-F27337C7FFCA9EF1AAB4,CN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)([*:1])C1,CC(=O)O[C@H]1CCC[C@@H]1[*:1],CC(=O)O[C@@H]1CCC[C@H]1[*:1],CC(=O)O[C@H]1CCC[C@@H]1[*:1]>>CC(=O)O[C@@H]1CCC[C@H]1[*:1],34,9,9,8.045757490560675,6.913640169325252,1.1321173212354232,1.0,False,True,True,same_assay
STR-73C772FB7948E1F95E72,STR-B51853407B4A9AF321D2,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([*:1])C2)C(C)C,CNCCC[C@@H](C(C)C)[*:1],CC(C)[C@@H](CCCO)[*:1],CNCCC[C@@H](C(C)C)[*:1]>>CC(C)[C@@H](CCCO)[*:1],30,9,8,5.377785977033705,6.508638306165727,1.130852329132022,0.8641975308641975,False,True,True,same_assay
STR-90F148C381A6FE28921A,STR-A4B78F32EC254E4C66A8,CC(=O)N1c2ccccc2NC2=C(C(=O)CC([*:1])C2)C1c1cccnc1,Cc1ccc([*:1])cc1,Clc1ccc([*:1])cc1Cl,Cc1ccc([*:1])cc1>>Clc1ccc([*:1])cc1Cl,25,7,8,4.0,5.130768280269024,1.1307682802690238,0.8,False,True,True,same_assay
STR-241F2E6DC7BEF8AE2212,STR-8F7CBFDB7C53A966A008,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCC[*:1])C(C)C)C2)C(C)C,CNC(=O)N[*:1],N[*:1],CNC(=O)N[*:1]>>N[*:1],37,5,1,4.350081281264581,5.480172006224281,1.1300907249597003,0.813953488372093,False,True,True,same_assay
STR-3056BAB95CE288C931AB,STR-9AB451B80BF4E04E2781,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([*:1])C2)C(C)C,COC(=O)NCCC[C@H](C(C)C)[*:1],CC(=O)NCCC(C(C)C)[*:1],COC(=O)NCCC[C@H](C(C)C)[*:1]>>CC(=O)NCCC(C(C)C)[*:1],30,12,10,6.7447274948966935,5.616184634019569,1.1285428608771246,0.8255813953488372,False,True,True,same_assay
STR-6B610F98DBC51ED4955E,STR-751E14E3FB418B1577CE,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CCCC(=O)O[C@@H]1CCC[C@H]1[*:1],CNC(=O)C[C@H]1CCC[C@@H]1[*:1],CCCC(=O)O[C@@H]1CCC[C@H]1[*:1]>>CNC(=O)C[C@H]1CCC[C@@H]1[*:1],35,11,10,4.552841968657781,5.6807553715226815,1.127913402864901,0.6976744186046512,False,True,True,same_assay
