structure_id,objective,desirability_column,desirability,weight,included_in_complete_score,weighted_contribution,missing_policy
STR-03825B6A51D0B0744A5D,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-03825B6A51D0B0744A5D,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-0385B7365D2BE1443660,potency,potency_desirability,0.36383832704045016,0.35,True,0.12734341446415756,observed_or_in_domain
STR-0385B7365D2BE1443660,qed,qed_desirability,0.2686361015852185,0.15,True,0.040295415237782774,observed_or_in_domain
STR-0385B7365D2BE1443660,property,property_desirability,0.6666666666666667,0.15,True,0.1,observed_or_in_domain
STR-0385B7365D2BE1443660,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-0385B7365D2BE1443660,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-03A6B3C8922F75633A24,potency,potency_desirability,0.6666666666666666,0.35,True,0.2333333333333333,observed_or_in_domain
STR-03A6B3C8922F75633A24,qed,qed_desirability,0.4081377691997914,0.15,True,0.0612206653799687,observed_or_in_domain
STR-03A6B3C8922F75633A24,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-03A6B3C8922F75633A24,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-03A6B3C8922F75633A24,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-0449028356C19D0EDA3B,potency,potency_desirability,0.44892916207488537,0.35,True,0.15712520672620986,observed_or_in_domain
STR-0449028356C19D0EDA3B,qed,qed_desirability,0.37372004780682117,0.15,True,0.056058007171023175,observed_or_in_domain
STR-0449028356C19D0EDA3B,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-0449028356C19D0EDA3B,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-0449028356C19D0EDA3B,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-04F547F3C923840AF4FD,potency,potency_desirability,0.6666666666666666,0.35,True,0.2333333333333333,observed_or_in_domain
STR-04F547F3C923840AF4FD,qed,qed_desirability,0.527932707540526,0.15,True,0.0791899061310789,observed_or_in_domain
STR-04F547F3C923840AF4FD,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-04F547F3C923840AF4FD,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-04F547F3C923840AF4FD,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-062343CE45A5FA8286D4,potency,potency_desirability,0.49828334056003126,0.35,True,0.17439916919601092,observed_or_in_domain
STR-062343CE45A5FA8286D4,qed,qed_desirability,0.3891495034252596,0.15,True,0.05837242551378894,observed_or_in_domain
STR-062343CE45A5FA8286D4,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-062343CE45A5FA8286D4,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-062343CE45A5FA8286D4,herg,herg_desirability,0.1544354803597393,0.25,True,0.03860887008993483,observed_or_in_domain
STR-06E53FF33324D9B1A44A,potency,potency_desirability,0.5663233347786729,0.35,True,0.1982131671725355,observed_or_in_domain
STR-06E53FF33324D9B1A44A,qed,qed_desirability,0.48532682734627747,0.15,True,0.07279902410194161,observed_or_in_domain
STR-06E53FF33324D9B1A44A,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-06E53FF33324D9B1A44A,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-06E53FF33324D9B1A44A,herg,herg_desirability,0.06290643668280382,0.25,True,0.015726609170700956,observed_or_in_domain
STR-070A2DB3A5A9041ED5EA,potency,potency_desirability,0.7993133362240125,0.35,True,0.2797596676784043,observed_or_in_domain
STR-070A2DB3A5A9041ED5EA,qed,qed_desirability,0.4188212705599909,0.15,True,0.06282319058399863,observed_or_in_domain
STR-070A2DB3A5A9041ED5EA,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-070A2DB3A5A9041ED5EA,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-070A2DB3A5A9041ED5EA,herg,herg_desirability,,0.25,False,,unknown_no_credit
