series_id,scaffold_key,scaffold_method,series_size,median_p_activity,best_p_activity,minimum_p_activity,median_qed,median_mol_wt,median_logp,source_count,representative_structure_id,activity_span_log10,meets_series_minimum
SER-BF278505F68AD0A8,c1ccc(-c2cscn2)cc1,bemis_murcko,7,3.668621084159213,4.3277056287106435,2.6989700043360187,0.8975412509409462,252.72600000000003,2.4913000000000007,2,STR-161DEB8746E0069E7832,1.6287356243746247,True
SER-7D8EB39B423AE666,O=S(=O)(c1ccccc1)c1ccc(N2CC(CN3CCC(C(Cn4ccnc4)(c4ccccc4)C4CCCC4)CC3)C2)cc1,bemis_murcko,6,7.903437700822769,8.698970004336019,7.376750709602099,0.19167119596127674,703.9075000000001,6.027000000000007,2,STR-298210A977B1E814E254,1.3222192947339195,True
SER-42BAE6DB7A4F0675,O=S(=O)(c1ccc(N2CC(CN3CCC(C(CN4CCC4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CC1,bemis_murcko,6,8.475390988664909,8.602059991327963,7.372634143407267,0.34724529993575154,669.8715,4.962900000000005,1,STR-3F32DD5F6BE1258722C6,1.2294258479206954,True
SER-7A71BD39A789D797,c1ccc(-c2cncnc2C2CC2)c(Oc2nncnc2N2CCC3(CNC3)C2)c1,bemis_murcko,6,6.097589660639419,6.920818753952375,4.224025668870631,0.3901674069206251,560.6779999999999,4.200300000000003,1,STR-077D7D9C480B1958E4A3,2.696793085081744,True
SER-A92B484A90BD37D0,c1nc(NC2CCN(Cc3ccc4c(ccn4CCC4CCNCC4)c3)CC2)c2ccsc2n1,bemis_murcko,5,7.397940008672037,7.853871964321762,6.886056647693163,0.23263565801623368,637.776,6.265900000000007,1,STR-9DAEE3412AFCC35E2A05,0.9678153166285988,True
SER-788354EC2A8EE709,O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)CCCCCCCCCNC(=O)C2CCCN2C(=O)CN1,bemis_murcko,5,5.665546248849069,6.645891560852599,4.97061622231479,0.1117641384928491,766.9889999999998,0.5265700000000078,1,STR-45F69269A2FAE7DAA4C0,1.6752753385378085,True
SER-6405F81075E095E8,O=C1CC(c2ccccc2)CC2=C1C(c1cccnc1)Nc1ccccc1N2,bemis_murcko,5,4.142667503568732,5.130768280269024,4.0,0.6051284019287918,439.51500000000016,5.310520000000005,2,STR-4710DC80E0B9C6B4C724,1.1307682802690238,True
SER-01C7163C23A2198D,O=S(=O)(c1ccc(N2CC(CN3CCC(C(Cn4ccnc4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,4,8.716615272907445,9.0,8.698970004336019,0.2243357734921005,798.5199999999998,5.078150000000005,2,STR-7A321275AB46AC4BC765,0.30102999566398125,True
SER-1425063A81B06E97,O=S(=O)(c1ccc(N2CC(CN3CCC(C(CN4CCC4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,4,8.560739102249396,8.698970004336019,8.522878745280337,0.29271423424296705,765.5009999999997,4.163200000000005,1,STR-72BC2AEC0C9B5FB0C4A6,0.17609125905568135,True
SER-8207B72B2003740B,O=S(=O)(c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1)c1cc[nH]n1,bemis_murcko,4,7.661196523639753,8.397940008672037,6.795880017344075,0.34707653714095155,670.263,4.768630000000004,2,STR-1764644935E711FBFE13,1.6020599913279625,True
