source,activity_id,molecule_chembl_id,structure_id,smiles,original_smiles,inchi_key,standard_type,standard_relation,standard_value,relation,value_raw,value_numeric,standard_units,admet_category,admet_endpoint,admet_directionality,admet_inclusion_rule,species,matrix,administration_route,experimental_context,assay_description,assay_type,target_chembl_id,target_pref_name,document_chembl_id,document_year,is_admet_analysis_ready,admet_quality_flags,structure_standardization_status
ChEMBL,18052121,CHEMBL841,STR-E504CB05601073D27DA6,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Cmax,=,8.0,=,8.0,8.0,nM,pharmacokinetics,maximum_concentration,higher_is_more_exposure,type:Cmax,human,,,in_vivo,Total Cmax in human administered as single dose,A,CHEMBL372,Homo sapiens,CHEMBL4011582,2014.0,True,,standardized
ChEMBL,18132414,CHEMBL841,STR-E504CB05601073D27DA6,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,DILI_severity_class,=,0.0,=,0.0,0.0,,toxicity,hepatotoxicity,lower_is_safer,type:hepatotoxicity,human,,,unspecified,Liver toxicity in human assessed as induction of drug-induced liver injury by measuring severity class index,T,CHEMBL372,Homo sapiens,CHEMBL4028802,2016.0,False,missing_unit,standardized
ChEMBL,18133014,CHEMBL841,STR-E504CB05601073D27DA6,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,DILI_Concern,=,,=,,,,toxicity,hepatotoxicity,lower_is_safer,type:hepatotoxicity,human,,,unspecified,Liver toxicity in human assessed as induction of drug-induced liver injury by measuring verified drug-induced liver injury concern status,T,CHEMBL372,Homo sapiens,CHEMBL4028802,2016.0,False,missing_or_non_numeric_value;missing_unit,standardized
ChEMBL,18479625,CHEMBL841,STR-E504CB05601073D27DA6,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,IC50,=,33.0,=,33.0,33.0,nM,safety_pharmacology,herg_inhibition,higher_is_safer,endpoint+target:hERG,human,,,in_vitro,Inhibition of human ERG expressed in HEK293 cells at holding potential of -80 mV by whole cell patch clamp assay,A,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL4184096,2018.0,True,,standardized
ChEMBL,18479633,CHEMBL841,STR-E504CB05601073D27DA6,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,PPB,=,95.0,=,95.0,95.0,%,distribution,plasma_protein_binding,lower_is_more_unbound,type+description:protein_binding,human,plasma,,in_vitro,Protein binding to human plasma at 30 to 1000 ng/ml after 2 to 6 hrs by LC-MS/MS based rapid equilibrium dialysis method,A,CHEMBL612558,ADMET,CHEMBL4184096,2018.0,True,,standardized
ChEMBL,18503197,CHEMBL3780895,STR-062343CE45A5FA8286D4,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2[nH]c(C#N)cc12,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2[nH]c(C#N)cc12,DZACSLYTXLZAAF-UHFFFAOYSA-N,T1/2,=,0.2333,=,0.2333,0.2333,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
ChEMBL,18503198,CHEMBL4217916,STR-829AE7B5DD995022C5B7,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2Cc1cc[nH]n1,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2Cc1cc[nH]n1,BSMIWEIIPZVSNS-UHFFFAOYSA-N,T1/2,=,0.35,=,0.35,0.35,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
ChEMBL,18503199,CHEMBL4203695,STR-90EE5A397527C889888A,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCNCC1,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCNCC1,MRTDAGRWCGGOBC-UHFFFAOYSA-N,T1/2,>,1.0,>,1.0,1.0,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
ChEMBL,18503200,CHEMBL4209476,STR-F4FB2C42DC3E185E6101,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCC1CCNCC1,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCC1CCNCC1,IHEGJOXPFIOCCT-UHFFFAOYSA-N,T1/2,>,1.0,>,1.0,1.0,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
ChEMBL,18503201,CHEMBL4218853,STR-9625696A93C79A8B7AB2,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCOCC1,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCOCC1,XATXQHDSZYADKX-UHFFFAOYSA-N,T1/2,<,0.05,<,0.05,0.05,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
