schema_version,task_id,task_type,split_name,evaluation_partition,feature_set,model_name,seed,outcome_kind_counts_train,outcome_kind_counts_evaluation,prediction_origin,interpretation,suspicion_flags,metric_schema_version,n,mae,median_absolute_error,mse,rmse,r2,pearson_r,spearman_r,concordance_correlation_coefficient,mean_signed_error_prediction_minus_observation,calibration_slope_observation_on_prediction,calibration_intercept_observation_on_prediction
1.0.0,TASK-24FCDD605CA028A5E5121026,regression,molecule_hash_stream_v1,validation,capped_rdkit_morgan_r2_2048,dummy_median,20260804,"{""experimental_summary"": 3932}","{""experimental_summary"": 707}",computational_prediction,lightweight_diagnostic_not_scientific_or_prospective_evidence,,1.0.0,707,2027.7313337340877,39.2477,87659470.20921455,9362.663627900693,-0.04748165198081522,,,4.004085534675343e-35,-1993.3755120933524,34.76096181046676,649.3516224186703
1.0.0,TASK-24FCDD605CA028A5E5121026,regression,molecule_hash_stream_v1,validation,capped_rdkit_morgan_r2_2048,ridge_fixed,20260804,"{""experimental_summary"": 3932}","{""experimental_summary"": 707}",computational_prediction,lightweight_diagnostic_not_scientific_or_prospective_evidence,,1.0.0,707,12299.078694271127,4605.2610575,501506472.46544915,22394.34018821383,-4.992721915879885,0.13304063228613813,0.1580114585219756,0.09516451742072302,-1007.2026551162479,0.05616542429113183,1975.5607496158052
