dimension,value,count
endpoint,Metabolic stability,115
endpoint,Metabolic turnover,18
endpoint,Metabolism,230
endpoint,Metabolite levels,30
endpoint,Microsomal stability,8
endpoint,NA,2
endpoint,NADPH oxidation,4
endpoint,ND,2
endpoint,NOAEL,19
endpoint,NOEC,27
endpoint,NOL,2
endpoint,NT,16
endpoint,Net grain counts,14
endpoint,O2 consumption,10
endpoint,OD,20
endpoint,OSAV,12
endpoint,Observed at,12
endpoint,Oral activity,1
endpoint,Oxidation,1
endpoint,P,78
endpoint,PB,78
endpoint,PCaco-2,1
endpoint,PDR,9
endpoint,PPB,14720
endpoint,Papp,20796
endpoint,Papp A to B (mean),274
endpoint,Papp A to B plus inhibitor (mean),30
endpoint,Papp B to A (mean),94
endpoint,Papp B to A plus inhibitor (mean),30
endpoint,Papp e-6,8
endpoint,Papps,7
endpoint,Pc,110
endpoint,Pcaco2,14
endpoint,Pe,11
endpoint,Peff,2463
endpoint,Percent remaining,4
endpoint,Permeability,577
endpoint,Permeability coefficient,31
endpoint,Permeability index,2
endpoint,Permeability limited,1
endpoint,Permeability rate,4
endpoint,Phospholipidosis_index,4
endpoint,Plasma level,76
endpoint,Pm,103
endpoint,Potency,16882
endpoint,Prolonged QT,1
endpoint,Propioaldehyde generated,9
endpoint,Protein bound,1
endpoint,Pt,9
endpoint,QH,299
endpoint,QT,18
endpoint,QT interval,21
endpoint,QTc Interval,3
endpoint,QTc delta,12
endpoint,QTc interval,20
endpoint,Quantity,3
endpoint,R,8
endpoint,R%,240
endpoint,RBA,6
endpoint,RHA,37
endpoint,RPF,40
endpoint,Rate,39
endpoint,Rate of formation,26
endpoint,Rate of hydrolysis,27
endpoint,Rate of metabolism,1
endpoint,Rate of oxidation,18
endpoint,Ratio,13353
endpoint,Ratio AUC,25
endpoint,Ratio AUC(inf),2
endpoint,Ratio CC50/EC50,24
endpoint,Ratio CC50/IC50,16
endpoint,Ratio Cmax,18
endpoint,Ratio EC50,28
endpoint,Ratio IC50,1887
endpoint,Ratio Ki,54
endpoint,Ratio LC50/IC50,1
endpoint,Ratio LD50/IC50,1
endpoint,Ratio_Papp,66
endpoint,Recovered,89
endpoint,Recovery,29
endpoint,Recovery A to B (mean),274
endpoint,Recovery A to B plus inhibitor (mean),30
endpoint,Recovery B to A (mean),94
endpoint,Recovery B to A plus inhibitor (mean),30
endpoint,Relative Bioavailability,16
endpoint,Relative F%,45
endpoint,Relative Potency,11
endpoint,Relative activity,6
endpoint,Relative bioavailability,13
endpoint,Relative metabolic rate,8
endpoint,Relative oncentration,1
endpoint,Relative permiability,6
endpoint,Relative peroxidation,1
endpoint,Relative potency,90
endpoint,Relative protection,19
endpoint,Relative rate metabolism,11
endpoint,Relative rate of hydrolysis,41
endpoint,Remaining,538
endpoint,Remaining (without cofactor),427
endpoint,Remaining compound,15
endpoint,Remaining rate,18
endpoint,Remaining ratio,16
endpoint,Retention_index,1
endpoint,Retention_time,495
endpoint,Rmax,3
endpoint,S50,4
endpoint,SUV,1
endpoint,SUVmax,3
endpoint,Selectivity,9
endpoint,Selectivity Index,241
endpoint,Selectivity ratio,25
endpoint,Solubility,62193
endpoint,Stability,35344
endpoint,Stabilty,183
endpoint,Stimulation,1
endpoint,Substrate metabolized at 1hr,4
endpoint,Survival,55
endpoint,T,1
endpoint,T1/2,98991
endpoint,T1/29,11
endpoint,T50,12
endpoint,TC50,39
endpoint,TDI,736
endpoint,TI,6
endpoint,TIME,360
endpoint,Time,1
endpoint,Tlag,11
endpoint,Tmax,15142
endpoint,Total CL,2
endpoint,Turnover,4
endpoint,Unchanged,3
endpoint,V0,10
endpoint,V1/2,2
endpoint,Vc/F,21
endpoint,Vd,5351
endpoint,Vd app,1
endpoint,Vd(app),1
endpoint,Vd/F,69
endpoint,Vdss,16644
endpoint,Vdss/F,6
endpoint,Viability,4
endpoint,Vmax,398
endpoint,Vmax(app),15
endpoint,Vmax/Km,61
endpoint,VmaxH,10
endpoint,VmaxL,10
endpoint,Vp/F,4
endpoint,Vss,8
endpoint,Vss/F,9
endpoint,Weight,6
endpoint,XC50,4
endpoint,[A],11
endpoint,[EA],11
endpoint,[GSH],18
endpoint,delta pIC50 wt-mutant,200
endpoint,deltaA,14
endpoint,effect,1
endpoint,fEC50,5
endpoint,fLOAEL,2
endpoint,fNOAEL,2
endpoint,k_off,16337
endpoint,kin,44
endpoint,kinact,1
endpoint,kon,16337
endpoint,log K,2
endpoint,log Kp,200
endpoint,log Pe,1201
endpoint,log(activity),1
endpoint,log(permeability),163
endpoint,log(ratio),31
endpoint,logBB,15
endpoint,logCL,50
endpoint,logD,7
endpoint,logP,2
endpoint,logPapp,950
endpoint,logPeff,185
endpoint,logPm,48
endpoint,max activation,8
endpoint,pBBB,22
endpoint,pCC50,5
endpoint,pIC50,130
endpoint,pKa,25
endpoint,pKi,31
endpoint,pXC50,2
endpoint,permeability,17941
endpoint,solubility,8506
endpoint,standard_binding_free_energy,67848
evidence_domain,binding,2706128
evidence_domain,herg,40860
evidence_domain,other,325961
evidence_domain,pk_adme,864223
evidence_domain,qt,1200
inclusion_status,included,2758395
inclusion_status,quarantined,734448
inclusion_status,review,445529
observation_kind,derived,67848
observation_kind,experimental_summary,3870524
quality_grade,identity_resolved,445529
quality_grade,protocol_sufficient,2758395
quality_grade,quarantined,734448
