dimension,value,count,fraction_of_observations
molecule_id,MOL-95C729D9CB98D1A1C12E8732,2335,0.0005928845726102055
molecule_id,MOL-D06164C1D12F8E89589E234D,2232,0.0005667316342894983
molecule_id,MOL-AF15B3A3BC18E1A0BC5A86CE,1970,0.0005002066843863404
molecule_id,MOL-917B6BD05163C956C52E17F6,1805,0.0004583112006687027
molecule_id,MOL-A335C516CC8645BD277F5EF3,1769,0.0004491703678575818
molecule_id,MOL-D1FFB07FFE98DC56048DCF4B,1760,0.00044688515965480153
molecule_id,MOL-8023625A7FE005AACBF1CC40,1727,0.000438506062911274
molecule_id,MOL-10175975D065A926EFF1BDA7,1711,0.0004344434705507758
molecule_id,MOL-A2C13C7C530076B88CF621D9,1700,0.0004316504383029333
molecule_id,MOL-AF1B8A6EC5BF0B5FE0083C0F,1665,0.0004227635175143435
molecule_id,MOL-4C325B5184470F75E20E0B5E,1585,0.0004024505557118525
molecule_id,MOL-76CF178129DAFB2724723C30,1553,0.0003943253709908561
molecule_id,MOL-90684AFE14D8FCFF88745ECD,1546,0.00039254798683313814
molecule_id,MOL-CC19EE5B6876E672F7722376,1539,0.0003907706026754202
molecule_id,MOL-2D1C273ED25B152258F40B02,1469,0.0003729967610982406
molecule_id,MOL-34764721CD5621F114D95DDD,1430,0.0003630941922195262
molecule_id,MOL-8967DEDFF59BA4D8B2A2E4CF,1375,0.0003491290309803137
molecule_id,MOL-215C055C9DBDF1C250EC259D,1371,0.00034811338289018916
molecule_id,MOL-4F7628D0786C52FCE7D4EEE3,1363,0.00034608208670994006
molecule_id,MOL-CFE5A6530E59D587F4561372,1335,0.0003389725500790682
molecule_id,MOL-96483D1E6695154F57B4479F,1331,0.00033795690198894365
molecule_id,MOL-41814130DA238CC445B5B01F,1330,0.0003377029899664125
molecule_id,MOL-FA4E6C539B4D78B9F7D37246,1324,0.0003361795178312257
molecule_id,MOL-C88A7614241FC3560DBFA932,1317,0.00033440213367350773
molecule_id,MOL-5FD869C3A7AE2639E5658BDB,1304,0.00033110127738060296
molecule_id,MOL-A8C5E0339E624BFF8C7522C0,1280,0.00032500738883985565
molecule_id,MOL-C16345614E3C755BD3C76466,1270,0.0003224682686145443
molecule_id,MOL-EB539811C8378620F9A6EDA1,1266,0.00032145262052441973
molecule_id,MOL-9784ECC747539FA10923F03E,1212,0.00030774137130773835
molecule_id,MOL-FD80E3D413BDAE093BD59B01,1205,0.0003059639871500204
molecule_id,MOL-C436F97166904C1F0A5F7776,1201,0.0003049483390598958
molecule_id,MOL-C3D2959E8C9AB8DF8DF0CC4E,1189,0.0003019013947895222
molecule_id,MOL-B3CF50B1C9BEBDDD5884C7C9,1176,0.0002986005384966174
molecule_id,MOL-7E645B87607FDD44D79F13EB,1174,0.0002980927144515551
molecule_id,MOL-BE280200A8A34F31EA5E1CD8,1158,0.0002940301220910569
molecule_id,MOL-1681D63FEB8E293AA003F8A5,1143,0.00029022144175308985
molecule_id,MOL-317C7743E80D00F1AB073375,1129,0.00028666667343765393
molecule_id,MOL-D22CF2B14D46E6F6E920302B,1126,0.0002859049373700605
molecule_id,MOL-EF972645517A6051634F3725,1093,0.000277525840626533
molecule_id,MOL-8BDAB5B463953D6F2736FCEA,1086,0.00027574845646881503
molecule_id,MOL-8973BA33EF427443DE4B6F2A,1063,0.00026990847995059887
molecule_id,MOL-42EE74E5353560E4970B9EAB,1050,0.0002666076236576941
molecule_id,MOL-171E82D4FB7D641F370ED44B,1048,0.0002660997996126318
molecule_id,MOL-460B0E2E275EBA6A66F7B77D,1031,0.0002617832952296025
assay_id,ASSAY-9CB241B0AD0B78D041BC3A1C,39956,0.010145308772254119
assay_id,ASSAY-E92506D880CF17C055D59F09,39956,0.010145308772254119
assay_id,ASSAY-5EC4F22D9F65A5A8F00F37A5,19978,0.005072654386127059
assay_id,ASSAY-EC25718DCE99614D25DA5F9E,19978,0.005072654386127059
assay_id,ASSAY-09CBB0BBE4726029ED05573C,11448,0.002906784833936459
assay_id,ASSAY-72CB77EA800740B65AC7B056,4707,0.001195163890054063
assay_id,ASSAY-C0BED7F269EB3A5BF0540008,3226,0.0008191201846854487
assay_id,ASSAY-6246906248BBBF385157B65C,3160,0.0008023619911983937
assay_id,ASSAY-AF397702FEABDD6890E3E7DE,2993,0.0007599586834356937
assay_id,ASSAY-2401BD24A85473109BCADEED,2509,0.0006370652645306233
assay_id,ASSAY-D2EF25A55E096D66D9CFC9BA,2494,0.0006332565841926563
assay_id,ASSAY-9B24A5421BD45C1DEDB32296,2368,0.0006012636693537329
assay_id,ASSAY-FEEB93C7F49D7151219DE6C9,2264,0.0005748568190104947
assay_id,ASSAY-968477BDF53826D23031122A,2242,0.0005692707545148097
assay_id,ASSAY-176EA55AED595E4A76314E90,2123,0.0005390552238336043
assay_id,ASSAY-44DDD2F73F1D7BB13BED73B2,2057,0.0005222970303465493
assay_id,ASSAY-B4CFF72BD8CBF1C0FE4C6E0F,2034,0.0005164570538283332
assay_id,ASSAY-5A55E7EBE6DB697BF9CFC212,1949,0.0004948745319131864
assay_id,ASSAY-B21E450947232D29D4E404B9,1941,0.0004928432357329374
assay_id,ASSAY-C55CECE54604D16B68BF1260,1941,0.0004928432357329374
assay_id,ASSAY-9457670A18108CA49847C140,1902,0.000482940666854223
assay_id,ASSAY-5F0C0CC7AD35C86D78FDFBF5,1871,0.0004750693941557578
assay_id,ASSAY-1F66A447A585BFEE67492E35,1828,0.00046415117718691883
assay_id,ASSAY-BAD03C83A7519EB9DF0F1E0F,1822,0.000462627705051732
assay_id,ASSAY-15D9256B43547569F0B2ABA8,1763,0.0004476468957223949
assay_id,ASSAY-48713278B827D7CE6293EED6,1742,0.00044231474324924104
assay_id,ASSAY-1296D37C603579BA434F8729,1690,0.00042911131807762195
assay_id,ASSAY-11589B69D475CE11BC5E00FA,1689,0.0004288574060550908
assay_id,ASSAY-74721BD51A4FA7AE9788BCE9,1676,0.000425556549762186
assay_id,ASSAY-C409CEBE19DBF34CB05692A8,1629,0.00041362268470322255
assay_id,ASSAY-64A3401FCB38E0C87DF33FDF,1615,0.00041006791638778663
assay_id,ASSAY-61B58A07BE401B08D56B033B,1614,0.0004098140043652555
assay_id,ASSAY-2A9D427F14694670B39EA4FF,1590,0.0004037201158245082
assay_id,ASSAY-3E4D48954216579E7BC0BE01,1590,0.0004037201158245082
assay_id,ASSAY-A048D3F3C5EA23A287E700C2,1584,0.00040219664368932136
assay_id,ASSAY-EA60F272C6C02DE8F52567E4,1501,0.000381121945819237
assay_id,ASSAY-FD584056EE88288091985417,1450,0.000368172432670149
assay_id,ASSAY-5BE281086310ACC040926E3E,1448,0.0003676646086250867
assay_id,ASSAY-9FB31DD9E2682E7CC8303A17,1438,0.0003651254883997753
assay_id,ASSAY-9A8F5454CA24F2563C5AD10B,1431,0.00036334810424205736
assay_id,ASSAY-83F48C2A77743145DE0F9555,1425,0.00036182463210687055
assay_id,ASSAY-318AE54E8534BCAE4630DB48,1381,0.0003506525031155005
assay_id,ASSAY-2B8F4BD0D82164077F3AD001,1378,0.0003498907670479071
assay_id,ASSAY-E23CB6C92F0FE7F8E22C6507,1370,0.000347859470867658
assay_id,ASSAY-27B4485C27C8203BFC4C47C2,1344,0.0003412577582818484
assay_id,ASSAY-4CF0E32A389C86CD1F55E592,1344,0.0003412577582818484
assay_id,ASSAY-60883CB1CF63F311E6A33E23,1298,0.00032957780524541614
assay_id,ASSAY-B8FDE5FAA06DCDEF398B3457,1285,0.0003262769489525113
assay_id,ASSAY-0DE8374E9D8D0E98AF11D674,1273,0.0003232300046821377
assay_id,ASSAY-5C876721BA83E68408B76DE0,1269,0.00032221435659201316
document_id,CHEMBL1201862,241404,0.06129537788710665
document_id,CHEMBL3991601,74205,0.018841541631923038
document_id,CHEMBL4229301,59934,0.015217963158381179
document_id,CHEMBL4483862,59934,0.015217963158381179
document_id,CHEMBL1908390,38305,0.009726100023055212
document_id,CHEMBL1150977,14964,0.0037995395051559377
document_id,CHEMBL3879910,8442,0.0021435252942078606
document_id,CHEMBL1909046,7720,0.0019602008139403796
document_id,CHEMBL3301361,6938,0.00176164161232103
document_id,CHEMBL5649169,6511,0.0016532211787002346
document_id,CHEMBL3988442,5118,0.0012995217313143603
document_id,CHEMBL5604063,5027,0.0012764157372640269
document_id,CHEMBL3885861,4773,0.001211922083541118
document_id,CHEMBL3431459,3507,0.0008904694630166983
document_id,CHEMBL1240346,3445,0.0008747269176197678
document_id,CHEMBL4312038,3416,0.0008673634689663648
document_id,CHEMBL5604062,3312,0.0008409566186231265
document_id,CHEMBL5728833,3305,0.0008391792344654086
document_id,CHEMBL5727500,3210,0.0008150575923249505
document_id,CHEMBL5727864,3210,0.0008150575923249505
document_id,CHEMBL5728695,3210,0.0008150575923249505
document_id,CHEMBL5726798,3069,0.0007792559971480602
document_id,CHEMBL5725593,2922,0.000741930929835983
document_id,CHEMBL5727410,2922,0.000741930929835983
document_id,CHEMBL3301562,2800,0.0007109536630871843
document_id,CHEMBL5729568,2707,0.0006873398449917885
document_id,CHEMBL1614632,2561,0.0006502686897022424
document_id,CHEMBL4028801,2555,0.0006487452175670557
document_id,CHEMBL5726773,2542,0.0006454443612741508
document_id,CHEMBL5727722,2542,0.0006454443612741508
document_id,CHEMBL5360622,2534,0.0006434130650939017
document_id,CHEMBL5465560,2424,0.0006154827426154767
